base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
69.59	87.58	83.15	0.0	[82.75, 79.01, 77.01, 76.8, 72.26, 70.79, 70.59, 70.59, 69.79, 69.59]	[nan, 98.31, 91.98, 75.3, 78.68, 82.38, 86.77, 86.88, 87.39, 87.58]	[82.76, 83.5, 82.02, 76.11, 76.11, 78.26, 82.23, 82.3, 82.71, 83.15]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline	caltech101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/caltech101_baseline	[224, 224]
72.26	87.12	83.47	0.0	[82.29, 80.41, 78.14, 78.01, 74.67, 73.93, 73.8, 73.73, 72.46, 72.26]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[82.29, 84.55, 82.63, 76.35, 76.43, 78.77, 82.79, 82.82, 82.99, 83.47]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline	caltech101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/caltech101_baseline	[224, 224]
70.19	88.39	83.9	0.0	[82.09, 80.35, 77.74, 77.74, 74.53, 73.13, 72.86, 72.53, 70.32, 70.19]	[nan, 98.31, 92.39, 77.27, 80.22, 83.73, 87.68, 87.71, 88.28, 88.39]	[82.08, 84.5, 82.62, 77.79, 77.87, 79.95, 83.51, 83.46, 83.48, 83.9]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline_fscit	caltech101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_baseline_fscit	[224, 224]
70.19	88.39	83.9	0.0	[82.09, 80.35, 77.74, 77.74, 74.53, 73.13, 72.86, 72.53, 70.32, 70.19]	[nan, 98.31, 92.39, 77.27, 80.22, 83.73, 87.68, 87.71, 88.28, 88.39]	[82.08, 84.5, 82.62, 77.79, 77.87, 79.95, 83.51, 83.46, 83.48, 83.9]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline_fscit	caltech101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_baseline_fscit	[224, 224]
70.79	89.04	84.55	0.0	[84.69, 79.95, 76.34, 76.07, 74.0, 71.79, 71.52, 71.52, 71.06, 70.79]	[nan, 98.79, 94.57, 77.71, 80.74, 83.95, 87.93, 88.05, 88.74, 89.04]	[84.69, 84.75, 82.5, 77.08, 78.05, 79.62, 83.3, 83.42, 84.04, 84.55]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline	caltech101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/caltech101_baseline	[224, 224]
71.97	88.81	84.66	0.14	[83.16, 78.79, 75.85, 75.62, 74.07, 72.93, 72.75, 72.57, 72.04, 71.97]	[nan, 97.42, 91.99, 77.55, 80.58, 84.04, 87.96, 87.98, 88.6, 88.81]	[83.16, 83.3, 81.23, 76.9, 77.9, 80.08, 83.71, 83.67, 84.18, 84.66]	[0.45, 1.03, 0.92, 0.66, 0.49, 0.21, 0.17, 0.1, 0.14, 0.14]	caltech101_baseline_fscit	caltech101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_baseline_fscit	[384, 384]
71.66	89.17	84.86	0.0	[82.02, 77.47, 75.2, 75.13, 73.53, 72.46, 72.19, 72.06, 71.79, 71.66]	[nan, 97.1, 92.93, 78.92, 81.63, 84.96, 88.65, 88.6, 89.12, 89.17]	[82.02, 81.65, 81.05, 77.21, 78.17, 80.48, 84.0, 83.93, 84.48, 84.86]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline	caltech101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/caltech101_baseline	[384, 384]
69.85	86.18	82.17	0.0	[81.62, 80.61, 77.94, 77.74, 73.06, 72.26, 71.99, 71.86, 69.85, 69.85]	[nan, 96.86, 93.07, 73.38, 76.58, 80.66, 85.5, 85.08, 85.85, 86.18]	[81.62, 84.4, 83.07, 75.7, 75.17, 77.71, 81.85, 81.43, 81.62, 82.17]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_baseline	caltech101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/caltech101_baseline	[224, 224]
71.77	88.69	84.52	0.11	[83.31, 78.72, 75.89, 75.74, 74.04, 72.86, 72.68, 72.57, 71.99, 71.77]	[nan, 97.5, 91.62, 77.6, 80.49, 83.87, 87.85, 87.87, 88.53, 88.69]	[83.32, 83.27, 81.15, 76.85, 77.77, 79.94, 83.59, 83.56, 84.1, 84.52]	[0.85, 1.02, 0.52, 0.3, 0.18, 0.08, 0.11, 0.13, 0.09, 0.11]	caltech101_baseline_fscit	caltech101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_baseline_fscit	[384, 384]
71.3	88.51	84.28	0.25	[82.89, 78.76, 75.58, 75.33, 73.67, 72.12, 71.99, 71.9, 71.41, 71.3]	[nan, 97.99, 92.8, 76.74, 79.87, 83.25, 87.41, 87.47, 88.18, 88.51]	[82.89, 83.55, 81.32, 76.24, 77.34, 79.29, 83.08, 83.1, 83.72, 84.28]	[0.29, 0.25, 0.34, 0.01, 0.08, 0.1, 0.12, 0.16, 0.22, 0.25]	caltech101_baseline_fscit	caltech101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_baseline_fscit	[224, 224]
