base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
69.03	87.43	82.91	1.48	[89.11, 78.39, 76.49, 75.65, 71.03, 70.46, 70.23, 70.03, 69.21, 69.03]	[nan, 98.55, 91.8, 74.83, 78.03, 81.85, 86.43, 86.58, 87.13, 87.43]	[89.11, 82.93, 81.62, 75.45, 75.17, 77.82, 81.95, 81.98, 82.36, 82.91]	[0.45, 7.45, 5.57, 3.64, 3.07, 2.5, 2.02, 1.91, 1.63, 1.48]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
75.82	85.58	83.18	1.31	[90.69, 85.76, 83.65, 83.2, 78.01, 77.36, 77.18, 77.05, 76.0, 75.82]	[nan, 90.98, 85.96, 73.99, 77.14, 80.5, 84.96, 85.1, 85.6, 85.58]	[90.69, 87.03, 84.47, 78.43, 77.54, 79.42, 82.9, 82.87, 83.06, 83.18]	[1.08, 4.0, 4.01, 2.06, 2.9, 2.36, 1.76, 1.7, 1.55, 1.31]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
1.14	0.89	0.95	0.41	[41.35, 13.41, 13.35, 13.35, 1.8, 1.8, 1.14, 1.14, 1.14, 1.14]	[nan, 6.12, 3.58, 2.72, 1.67, 1.67, 6.97, 6.3, 0.91, 0.89]	[41.37, 11.9, 10.07, 7.47, 1.69, 1.72, 5.28, 4.84, 0.97, 0.95]	[5.39, 12.41, 10.38, 6.55, 0.82, 0.37, 5.62, 5.55, 0.52, 0.41]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
0.0	1.87	1.41	0.69	[51.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 10.95, 6.43, 3.7, 3.1, 3.8, 2.39, 2.25, 2.08, 1.87]	[51.45, 2.27, 2.18, 2.06, 1.83, 2.43, 1.67, 1.62, 1.52, 1.41]	[0.03, 0.68, 0.62, 0.44, 0.35, 1.51, 0.82, 0.76, 0.73, 0.69]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
41.42	81.51	71.66	5.51	[92.58, 56.31, 52.68, 50.73, 44.34, 42.73, 42.2, 42.05, 41.87, 41.42]	[nan, 93.96, 86.64, 69.75, 73.41, 76.28, 80.81, 81.02, 81.47, 81.51]	[92.58, 64.57, 63.87, 61.17, 61.41, 64.28, 69.68, 70.05, 70.95, 71.66]	[4.1, 1.81, 4.6, 6.77, 4.97, 5.36, 5.35, 5.4, 5.71, 5.51]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
72.35	86.99	83.4	1.19	[91.84, 85.45, 82.8, 81.97, 75.42, 74.55, 74.18, 73.93, 72.52, 72.35]	[nan, 98.23, 90.85, 74.21, 77.48, 81.38, 85.98, 86.13, 86.67, 86.99]	[91.84, 88.45, 85.54, 78.01, 76.69, 78.99, 82.81, 82.77, 82.93, 83.4]	[2.38, 2.85, 2.85, 1.48, 2.08, 1.71, 1.38, 1.33, 1.26, 1.19]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
62.92	87.05	81.12	1.93	[90.62, 72.93, 70.9, 70.39, 64.08, 63.81, 63.68, 63.44, 63.01, 62.92]	[nan, 98.47, 92.07, 75.81, 78.62, 82.18, 86.52, 86.43, 86.88, 87.05]	[90.62, 78.53, 77.92, 73.49, 72.58, 75.63, 80.07, 79.94, 80.5, 81.12]	[2.51, 6.08, 4.53, 2.85, 3.09, 2.61, 2.24, 2.33, 2.08, 1.93]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
89.57	84.84	85.99	0.36	[93.83, 93.36, 93.16, 92.4, 91.62, 90.62, 90.27, 90.15, 89.69, 89.57]	[nan, 87.84, 81.61, 71.91, 75.41, 79.37, 83.99, 84.03, 84.72, 84.84]	[93.83, 92.22, 89.45, 81.29, 82.08, 83.44, 86.05, 85.76, 86.02, 85.99]	[0.84, 0.93, 0.85, 0.4, 0.36, 0.31, 0.39, 0.35, 0.31, 0.36]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
62.37	87.48	81.31	1.15	[88.68, 71.21, 69.72, 68.87, 63.3, 63.08, 62.95, 62.88, 62.37, 62.37]	[nan, 98.55, 90.9, 75.25, 78.35, 82.04, 86.43, 86.63, 87.16, 87.48]	[88.68, 77.42, 76.77, 72.52, 72.13, 75.28, 79.82, 79.95, 80.57, 81.31]	[0.93, 5.14, 3.7, 2.87, 2.08, 1.75, 1.52, 1.47, 1.24, 1.15]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
74.51	87.26	84.12	2.8	[94.23, 82.93, 82.29, 81.35, 77.07, 76.31, 75.91, 75.6, 74.73, 74.51]	[nan, 97.5, 89.04, 74.88, 78.18, 81.9, 86.24, 86.47, 87.08, 87.26]	[94.23, 86.27, 84.54, 77.92, 77.68, 79.93, 83.45, 83.41, 83.78, 84.12]	[0.55, 10.26, 8.48, 5.94, 5.15, 4.36, 3.52, 3.36, 3.08, 2.8]	caltech101_contrast_and_calibration	caltech101	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/caltech101_contrast_and_calibration	[224, 224]
