base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
70.99	83.74	80.61	0.0	[81.68, 79.55, 78.41, 77.81, 73.93, 73.33, 72.79, 72.19, 71.32, 70.99]	[nan, 92.75, 85.33, 71.08, 74.61, 78.64, 83.18, 83.23, 83.9, 83.74]	[81.7, 82.75, 80.89, 74.29, 74.33, 76.78, 80.46, 80.12, 80.55, 80.61]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[224, 224]
72.26	87.12	83.47	0.0	[82.29, 80.41, 78.14, 78.01, 74.67, 73.93, 73.8, 73.73, 72.46, 72.26]	[nan, 98.31, 91.3, 74.37, 77.56, 81.41, 86.1, 86.25, 86.79, 87.12]	[82.29, 84.55, 82.63, 76.35, 76.43, 78.77, 82.79, 82.82, 82.99, 83.47]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[224, 224]
70.93	89.8	85.16	0.16	[83.36, 77.21, 73.82, 73.69, 72.41, 71.91, 71.7, 71.63, 71.01, 70.93]	[nan, 97.83, 92.57, 79.63, 82.44, 85.32, 88.86, 88.86, 89.55, 89.8]	[83.35, 82.5, 80.04, 77.13, 78.28, 80.52, 84.0, 84.02, 84.62, 85.16]	[0.27, 0.83, 0.53, 0.27, 0.11, 0.13, 0.12, 0.16, 0.14, 0.16]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[384, 384]
70.86	88.07	83.83	0.11	[81.44, 76.03, 74.71, 74.18, 73.5, 72.3, 72.13, 71.77, 71.17, 70.86]	[nan, 96.78, 91.17, 76.43, 79.71, 83.09, 87.03, 87.12, 87.93, 88.07]	[81.44, 80.8, 80.11, 75.36, 77.11, 79.24, 82.82, 82.76, 83.46, 83.83]	[0.3, 0.94, 0.64, 0.21, 0.14, 0.16, 0.23, 0.2, 0.15, 0.11]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[384, 384]
70.05	85.44	81.66	0.0	[81.95, 79.41, 77.61, 77.41, 71.99, 71.19, 70.92, 70.79, 70.25, 70.05]	[nan, 96.14, 88.45, 72.56, 75.97, 79.99, 84.5, 84.69, 85.32, 85.44]	[81.96, 83.35, 81.37, 75.01, 74.38, 76.88, 80.75, 80.8, 81.32, 81.66]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[224, 224]
70.72	86.9	82.92	0.0	[81.22, 79.01, 76.94, 76.54, 73.53, 72.53, 72.33, 72.26, 70.86, 70.72]	[nan, 98.31, 90.35, 74.42, 77.61, 81.37, 86.05, 86.18, 86.57, 86.9]	[81.22, 83.5, 81.54, 75.52, 75.95, 78.23, 82.23, 82.26, 82.38, 82.92]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[224, 224]
71.34	89.59	85.11	0.32	[83.42, 78.96, 76.05, 75.85, 74.44, 72.17, 72.03, 71.99, 71.52, 71.34]	[nan, 98.71, 94.65, 78.82, 81.77, 84.84, 88.48, 88.61, 89.34, 89.59]	[83.42, 83.7, 82.15, 77.55, 78.71, 80.31, 83.84, 83.91, 84.58, 85.11]	[0.66, 0.55, 0.71, 0.78, 0.83, 0.53, 0.4, 0.41, 0.37, 0.32]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[384, 384]
70.05	87.64	83.32	0.0	[79.81, 77.67, 75.27, 74.87, 72.26, 71.12, 71.06, 71.06, 70.19, 70.05]	[nan, 98.55, 93.48, 75.79, 79.01, 82.49, 86.93, 87.03, 87.39, 87.64]	[79.82, 82.55, 81.46, 75.73, 76.3, 78.45, 82.48, 82.57, 82.83, 83.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[224, 224]
71.86	84.04	81.05	0.25	[77.81, 76.11, 75.47, 75.2, 73.73, 72.66, 72.53, 72.53, 72.17, 71.86]	[nan, 92.59, 86.41, 71.72, 74.05, 78.39, 83.3, 82.9, 83.89, 84.04]	[77.81, 80.15, 79.17, 73.59, 73.96, 76.39, 80.4, 80.0, 80.78, 81.05]	[0.61, 0.45, 0.18, 0.15, 0.25, 0.28, 0.29, 0.26, 0.26, 0.25]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[384, 384]
69.99	90.72	85.62	0.21	[78.85, 73.1, 71.34, 71.28, 70.59, 70.3, 70.19, 70.19, 70.03, 69.99]	[nan, 98.63, 93.97, 81.73, 84.27, 87.0, 90.16, 90.07, 90.68, 90.72]	[78.85, 79.15, 78.82, 77.1, 78.63, 81.03, 84.48, 84.47, 85.19, 85.62]	[0.82, 0.46, 0.25, 0.48, 0.41, 0.34, 0.23, 0.28, 0.24, 0.21]	caltech101_prototype_fscit_different_shots	caltech101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/caltech101_prototype_fscit_different_shots	[384, 384]
