base_last	incremental_last	all_last	base	incremental	all	exp_name	dataset	dataroot	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	pre_trained_url	encoder	num_mlp	shot	way	session	base_class	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	gpu	distributed	distributed_launcher	distributed_backend	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	num_classes	sessions	save_path	size_crops
36.04	10.0	25.62	[41.09, 37.43, 37.32, 37.24, 37.24, 37.24, 37.19, 36.42, 36.04]	[nan, 23.0, 14.1, 12.8, 9.8, 7.88, 8.5, 9.57, 10.0]	[41.09, 36.32, 34.0, 32.36, 30.38, 28.61, 27.63, 26.53, 25.62]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	12	[]	0	1	-1	1	False	False	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	13.0	5.2	[27.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 69.8, 39.1, 24.91, 18.58, 14.65, 13.22, 13.05, 13.0]	[27.53, 5.37, 5.58, 4.98, 4.64, 4.31, 4.41, 4.81, 5.2]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	8	[]	0	1	-1	1	False	False	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
12.87	8.96	11.31	[40.25, 18.03, 18.03, 16.92, 16.73, 16.49, 16.49, 16.44, 12.87]	[nan, 8.4, 4.2, 7.49, 6.2, 6.36, 5.37, 4.7, 8.96]	[40.25, 17.29, 16.05, 15.04, 14.1, 13.51, 12.78, 12.11, 11.31]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	4	[]	0	1	-1	1	False	True	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	35.42	14.17	[89.93, 1.63, 0.09, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 85.0, 64.2, 43.98, 40.2, 38.89, 38.6, 33.43, 35.42]	[89.93, 8.04, 9.25, 8.87, 10.05, 11.44, 12.86, 12.31, 14.17]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	2	[]	0	1	-1	1	False	False	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
61.44	12.27	41.77	[83.49, 65.04, 64.7, 64.28, 64.25, 64.1, 64.1, 64.02, 61.44]	[nan, 4.27, 6.97, 10.82, 9.93, 9.85, 8.6, 8.97, 12.27]	[83.49, 60.36, 56.46, 53.59, 50.67, 48.14, 45.6, 43.74, 41.77]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	11	[]	0	1	-1	1	False	True	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
54.77	8.61	36.31	[81.03, 58.97, 58.9, 57.77, 57.7, 57.64, 57.64, 57.55, 54.77]	[nan, 4.4, 3.3, 8.11, 8.55, 7.44, 6.22, 5.75, 8.61]	[81.03, 54.78, 50.96, 47.84, 45.41, 42.87, 40.5, 38.47, 36.31]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	11	[]	0	1	-1	1	False	True	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	18.95	7.58	[6.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 43.8, 30.0, 20.0, 16.4, 14.2, 16.9, 17.03, 18.95]	[6.44, 3.37, 4.29, 4.0, 4.1, 4.18, 5.63, 6.27, 7.58]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	12	[]	0	1	-1	1	False	False	False	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
79.95	5.37	50.11	[89.31, 81.29, 81.29, 81.03, 81.03, 80.99, 80.99, 80.94, 79.95]	[nan, 3.87, 2.87, 5.85, 4.62, 4.51, 3.75, 3.64, 5.37]	[89.31, 75.34, 70.09, 66.0, 61.93, 58.49, 55.24, 52.46, 50.11]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	15	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	8	[]	0	1	-1	1	False	True	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	8.92	3.57	[16.78, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 41.53, 21.47, 13.69, 10.28, 8.31, 7.3, 8.17, 8.92]	[16.78, 3.19, 3.07, 2.74, 2.57, 2.44, 2.43, 3.01, 3.57]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	10	[]	0	1	-1	1	False	False	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
0.0	38.45	15.38	[85.11, 3.83, 0.54, 0.47, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 88.27, 66.77, 42.07, 38.73, 39.76, 39.93, 36.4, 38.45]	[85.11, 10.33, 10.0, 8.79, 9.68, 11.69, 13.31, 13.41, 15.38]	cifar100_baseline_10way10shot_finetune_base_inc_frozen	cifar100	./data	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	./checkpoint/moco_v3.pth	vit-b16	1	5	5	-1	60	False	100	15	8	2	3	0	False	pytorch	nccl	None	5	0	10	[]	0	1	-1	1	False	False	True	False	100	9	checkpoint/cifar100_baseline_10way10shot_finetune_base_inc_frozen	[224, 224]
