base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
81.0	70.78	71.8	0.0	[95.3, 90.8, 85.6, 84.8, 84.0, 83.5, 82.9, 81.8, 81.4, 81.0]	[nan, 85.3, 82.5, 79.7, 76.5, 72.64, 72.22, 71.54, 72.09, 70.78]	[95.3, 88.05, 83.53, 80.97, 78.0, 74.45, 73.74, 72.82, 73.12, 71.8]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[224, 224]
82.2	74.84	75.58	0.0	[95.8, 92.8, 88.0, 87.7, 85.9, 84.9, 84.1, 83.4, 82.6, 82.2]	[nan, 85.1, 83.25, 81.1, 78.65, 76.14, 75.93, 75.47, 75.94, 74.84]	[95.8, 88.95, 84.83, 82.75, 80.1, 77.6, 77.1, 76.46, 76.68, 75.58]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[224, 224]
87.5	77.74	78.72	0.0	[96.9, 95.3, 91.5, 90.9, 89.9, 89.4, 88.8, 88.3, 87.8, 87.5]	[nan, 88.7, 86.85, 84.27, 82.83, 79.62, 79.1, 78.69, 78.94, 77.74]	[96.9, 92.0, 88.4, 85.92, 84.24, 81.25, 80.49, 79.89, 79.92, 78.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[224, 224]
74.6	67.13	67.88	0.0	[94.4, 91.2, 82.0, 81.4, 79.2, 78.5, 77.7, 76.8, 75.7, 74.6]	[nan, 83.0, 79.8, 76.43, 73.7, 69.76, 69.3, 67.59, 68.14, 67.13]	[94.4, 87.1, 80.53, 77.67, 74.8, 71.22, 70.5, 68.74, 68.98, 67.88]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[384, 384]
77.0	73.99	74.29	0.0	[93.4, 91.0, 86.3, 84.9, 81.8, 80.4, 79.4, 78.7, 77.6, 77.0]	[nan, 83.0, 83.05, 80.87, 78.95, 76.7, 76.08, 75.59, 75.26, 73.99]	[93.4, 87.0, 84.13, 81.87, 79.52, 77.32, 76.56, 75.97, 75.52, 74.29]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[224, 224]
78.1	67.7	68.74	0.0	[94.5, 91.8, 86.5, 85.1, 82.4, 82.1, 81.0, 79.7, 79.0, 78.1]	[nan, 80.9, 80.35, 77.57, 75.38, 71.16, 69.75, 68.94, 69.43, 67.7]	[94.5, 86.35, 82.4, 79.45, 76.78, 72.98, 71.36, 70.29, 70.49, 68.74]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[384, 384]
78.9	74.99	75.38	0.0	[95.0, 92.2, 87.9, 86.1, 82.8, 81.8, 81.1, 80.2, 79.5, 78.9]	[nan, 82.4, 82.15, 80.4, 78.55, 76.92, 76.18, 76.07, 75.95, 74.99]	[95.0, 87.3, 84.07, 81.82, 79.4, 77.73, 76.89, 76.59, 76.34, 75.38]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[224, 224]
77.3	72.28	72.78	0.0	[96.2, 93.2, 86.3, 83.6, 81.4, 80.0, 79.6, 78.9, 77.4, 77.3]	[nan, 83.9, 82.35, 79.83, 77.43, 74.88, 73.97, 73.63, 73.53, 72.28]	[96.2, 88.55, 83.67, 80.77, 78.22, 75.73, 74.77, 74.29, 73.96, 72.78]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[384, 384]
67.8	68.44	68.38	0.0	[93.2, 89.3, 83.6, 80.2, 73.8, 72.3, 70.8, 70.0, 68.6, 67.8]	[nan, 84.5, 81.0, 78.43, 75.85, 73.06, 71.9, 70.04, 69.54, 68.44]	[93.2, 86.9, 81.87, 78.87, 75.44, 72.93, 71.74, 70.04, 69.43, 68.38]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[224, 224]
80.3	74.46	75.04	0.0	[95.8, 92.5, 87.2, 85.7, 84.4, 83.1, 82.5, 81.4, 80.7, 80.3]	[nan, 88.5, 86.05, 82.73, 81.05, 77.38, 76.57, 75.27, 75.73, 74.46]	[95.8, 90.5, 86.43, 83.47, 81.72, 78.33, 77.41, 76.04, 76.28, 75.04]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_baseline	cifar100	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/cifar100_baseline	[384, 384]
