base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
82.13	74.85	75.58	0.0	[95.9, 92.7, 87.9, 87.6, 85.8, 84.8, 84.0, 83.3, 82.53, 82.13]	[nan, 85.37, 83.38, 81.19, 78.7, 76.16, 75.96, 75.5, 75.96, 74.85]	[95.9, 89.03, 84.89, 82.79, 80.12, 77.6, 77.11, 76.47, 76.69, 75.58]	[0.0, 0.02, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.53	75.02	75.77	0.1	[96.27, 93.1, 88.33, 88.03, 86.1, 85.2, 84.33, 83.67, 82.9, 82.53]	[nan, 86.0, 83.73, 81.69, 78.99, 76.39, 76.14, 75.65, 76.13, 75.02]	[96.27, 89.55, 85.27, 83.27, 80.41, 77.86, 77.31, 76.65, 76.88, 75.77]	[0.12, 0.22, 0.19, 0.23, 0.16, 0.16, 0.11, 0.1, 0.11, 0.1]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.3	75.29	75.99	0.01	[96.4, 93.07, 88.53, 88.17, 85.97, 85.03, 84.03, 83.33, 82.67, 82.3]	[nan, 87.87, 84.62, 82.56, 79.54, 76.89, 76.53, 75.99, 76.48, 75.29]	[96.4, 90.47, 85.92, 83.95, 80.82, 78.25, 77.6, 76.91, 77.16, 75.99]	[0.08, 0.21, 0.19, 0.16, 0.07, 0.02, 0.02, 0.02, 0.02, 0.01]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.13	74.85	75.58	0.01	[95.9, 92.7, 87.9, 87.6, 85.8, 84.8, 84.0, 83.3, 82.53, 82.13]	[nan, 85.37, 83.38, 81.19, 78.69, 76.15, 75.96, 75.5, 75.96, 74.85]	[95.9, 89.03, 84.89, 82.79, 80.11, 77.59, 77.11, 76.47, 76.69, 75.58]	[0.0, 0.02, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.01, 0.01]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.37	75.16	75.88	0.04	[96.33, 93.2, 88.47, 88.13, 85.97, 85.07, 84.03, 83.4, 82.77, 82.37]	[nan, 87.07, 84.22, 82.19, 79.3, 76.68, 76.38, 75.86, 76.32, 75.16]	[96.33, 90.13, 85.63, 83.67, 80.63, 78.08, 77.48, 76.8, 77.03, 75.88]	[0.09, 0.1, 0.03, 0.02, 0.02, 0.03, 0.03, 0.04, 0.04, 0.04]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.03	76.1	76.69	0.49	[96.73, 92.83, 87.87, 87.5, 85.6, 84.87, 83.8, 83.1, 82.47, 82.03]	[nan, 88.07, 85.38, 83.4, 80.2, 77.76, 77.24, 76.82, 77.28, 76.1]	[96.73, 90.45, 86.21, 84.42, 81.27, 78.94, 78.18, 77.6, 77.85, 76.69]	[0.17, 0.11, 0.32, 0.29, 0.24, 0.44, 0.35, 0.39, 0.46, 0.49]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.7	75.13	75.88	0.08	[96.3, 93.3, 88.63, 88.27, 86.27, 85.3, 84.33, 83.73, 83.07, 82.7]	[nan, 86.63, 84.05, 82.01, 79.16, 76.55, 76.24, 75.78, 76.26, 75.13]	[96.3, 89.97, 85.58, 83.57, 80.58, 78.01, 77.4, 76.78, 77.02, 75.88]	[0.16, 0.37, 0.29, 0.29, 0.16, 0.13, 0.07, 0.08, 0.1, 0.08]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.47	75.01	75.76	0.02	[96.13, 93.0, 88.13, 87.8, 85.83, 85.1, 84.3, 83.67, 82.87, 82.47]	[nan, 86.13, 83.77, 81.71, 79.03, 76.42, 76.15, 75.67, 76.12, 75.01]	[96.13, 89.57, 85.22, 83.23, 80.39, 77.87, 77.31, 76.66, 76.87, 75.76]	[0.05, 0.02, 0.03, 0.01, 0.02, 0.03, 0.03, 0.03, 0.03, 0.02]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
81.4	75.22	75.84	0.11	[96.4, 92.47, 87.37, 86.97, 84.93, 84.13, 83.17, 82.4, 81.73, 81.4]	[nan, 86.97, 84.37, 82.26, 79.44, 76.82, 76.47, 75.96, 76.38, 75.22]	[96.4, 89.72, 85.37, 83.43, 80.53, 78.04, 77.42, 76.76, 76.97, 75.84]	[0.24, 0.13, 0.08, 0.21, 0.19, 0.22, 0.18, 0.17, 0.16, 0.11]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
82.33	74.89	75.63	0.02	[96.1, 92.97, 88.03, 87.73, 85.93, 84.93, 84.13, 83.43, 82.73, 82.33]	[nan, 85.43, 83.42, 81.31, 78.78, 76.2, 76.0, 75.53, 75.99, 74.89]	[96.1, 89.2, 84.95, 82.92, 80.21, 77.65, 77.16, 76.52, 76.74, 75.63]	[0.0, 0.04, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	cifar100_cap_contrast_only	cifar100	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_contrast_only	[224, 224]
