base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
68.33	78.17	77.18	0.68	[96.83, 89.3, 82.03, 80.13, 74.47, 73.07, 71.97, 70.73, 69.97, 68.33]	[nan, 91.03, 88.75, 86.22, 83.29, 81.33, 80.08, 79.17, 79.48, 78.17]	[96.83, 90.17, 86.51, 84.7, 81.53, 79.96, 78.92, 78.11, 78.43, 77.18]	[0.12, 0.47, 0.63, 0.75, 1.1, 1.08, 0.78, 0.58, 0.53, 0.68]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
72.23	78.37	77.76	0.85	[97.07, 89.9, 82.53, 80.97, 78.2, 76.93, 75.6, 74.6, 73.8, 72.23]	[nan, 90.77, 88.0, 85.3, 82.86, 80.81, 79.97, 79.24, 79.64, 78.37]	[97.07, 90.33, 86.18, 84.22, 81.93, 80.17, 79.35, 78.66, 78.99, 77.76]	[0.12, 0.57, 0.58, 0.39, 0.68, 0.95, 0.9, 0.9, 0.8, 0.85]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
76.77	76.92	76.9	0.67	[96.63, 91.13, 85.0, 83.67, 81.33, 80.3, 79.37, 78.43, 77.8, 76.77]	[nan, 89.53, 86.7, 84.4, 81.35, 78.97, 78.37, 77.73, 78.12, 76.92]	[96.63, 90.33, 86.13, 84.21, 81.35, 79.19, 78.51, 77.81, 78.08, 76.9]	[0.24, 0.51, 0.38, 0.42, 0.5, 0.9, 0.88, 0.73, 0.74, 0.67]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
77.17	78.01	77.93	0.74	[96.9, 91.1, 85.03, 84.03, 81.63, 80.6, 79.73, 78.77, 78.1, 77.17]	[nan, 89.57, 87.23, 84.82, 82.28, 80.07, 79.33, 78.75, 79.17, 78.01]	[96.9, 90.33, 86.5, 84.62, 82.15, 80.16, 79.39, 78.75, 79.04, 77.93]	[0.22, 0.44, 0.45, 0.24, 0.57, 0.9, 0.87, 0.72, 0.75, 0.74]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
78.0	76.84	76.96	0.58	[96.73, 91.97, 85.97, 85.1, 82.37, 81.5, 80.6, 79.87, 78.9, 78.0]	[nan, 88.83, 86.42, 84.12, 81.14, 78.68, 78.16, 77.55, 77.98, 76.84]	[96.73, 90.4, 86.26, 84.37, 81.39, 79.15, 78.5, 77.84, 78.08, 76.96]	[0.05, 0.19, 0.26, 0.27, 0.3, 0.49, 0.54, 0.55, 0.55, 0.58]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
73.33	77.13	76.75	0.58	[96.6, 89.27, 82.57, 81.5, 78.07, 77.23, 76.07, 75.2, 74.47, 73.33]	[nan, 90.57, 87.07, 84.65, 81.42, 79.31, 78.64, 77.93, 78.33, 77.13]	[96.6, 89.92, 85.57, 83.87, 80.75, 78.96, 78.28, 77.59, 77.9, 76.75]	[0.22, 0.31, 0.33, 0.15, 0.35, 0.6, 0.62, 0.61, 0.6, 0.58]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
70.63	78.27	77.51	1.79	[96.8, 89.63, 82.23, 80.13, 75.83, 75.03, 74.07, 72.63, 71.9, 70.63]	[nan, 90.53, 88.07, 85.83, 82.77, 80.69, 79.89, 79.16, 79.53, 78.27]	[96.8, 90.08, 86.12, 84.41, 81.38, 79.74, 79.06, 78.34, 78.68, 77.51]	[0.08, 0.65, 0.91, 1.12, 1.88, 1.67, 1.74, 1.86, 1.73, 1.79]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
79.53	78.04	78.19	0.79	[96.83, 92.17, 86.63, 85.9, 84.2, 83.1, 82.13, 81.4, 80.83, 79.53]	[nan, 89.23, 87.23, 85.1, 82.31, 80.0, 79.35, 78.71, 79.18, 78.04]	[96.83, 90.7, 87.03, 85.3, 82.69, 80.52, 79.75, 79.05, 79.36, 78.19]	[0.25, 0.2, 0.54, 0.5, 0.66, 0.96, 0.87, 0.79, 0.79, 0.79]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
78.83	76.65	76.87	0.64	[96.7, 92.5, 86.6, 85.83, 83.5, 82.53, 81.63, 80.63, 79.9, 78.83]	[nan, 88.9, 86.33, 84.28, 81.11, 78.71, 78.16, 77.57, 77.93, 76.65]	[96.7, 90.7, 86.42, 84.66, 81.59, 79.34, 78.66, 77.95, 78.15, 76.87]	[0.16, 0.47, 0.56, 0.67, 0.67, 0.84, 0.79, 0.75, 0.72, 0.64]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
71.23	77.75	77.1	0.11	[96.93, 89.13, 81.97, 80.13, 77.13, 76.0, 74.87, 73.6, 72.9, 71.23]	[nan, 90.67, 87.88, 85.38, 82.49, 80.21, 79.39, 78.66, 79.0, 77.75]	[96.93, 89.9, 85.91, 84.06, 81.41, 79.51, 78.74, 78.03, 78.33, 77.1]	[0.19, 0.66, 0.69, 0.81, 0.51, 0.06, 0.08, 0.1, 0.09, 0.11]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
71.17	78.28	77.57	0.74	[96.93, 89.9, 83.0, 81.37, 76.43, 75.43, 74.5, 73.4, 72.53, 71.17]	[nan, 91.17, 88.03, 85.71, 82.52, 80.39, 79.73, 79.1, 79.47, 78.28]	[96.93, 90.53, 86.35, 84.62, 81.3, 79.56, 78.98, 78.38, 78.7, 77.57]	[0.29, 1.05, 0.46, 0.27, 0.46, 0.83, 0.79, 0.73, 0.73, 0.74]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
72.6	78.33	77.76	0.44	[96.93, 89.7, 82.43, 81.2, 78.3, 77.2, 76.3, 74.97, 74.37, 72.6]	[nan, 90.6, 88.52, 86.02, 83.07, 80.9, 80.08, 79.13, 79.5, 78.33]	[96.93, 90.15, 86.49, 84.82, 82.11, 80.28, 79.54, 78.6, 78.93, 77.76]	[0.24, 0.47, 0.29, 0.31, 0.3, 0.31, 0.25, 0.35, 0.33, 0.44]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
84.43	75.97	76.82	0.45	[96.9, 91.33, 86.27, 86.0, 84.6, 84.47, 84.2, 84.27, 84.53, 84.43]	[nan, 88.97, 86.5, 84.2, 81.13, 78.58, 77.98, 77.17, 77.14, 75.97]	[96.9, 90.15, 86.42, 84.65, 81.82, 79.56, 78.87, 78.05, 77.96, 76.82]	[0.16, 0.49, 0.52, 0.44, 0.39, 0.62, 0.57, 0.38, 0.41, 0.45]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	0.01	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
74.7	77.9	77.58	1.17	[96.87, 90.63, 84.23, 82.9, 79.57, 78.43, 77.4, 76.3, 75.67, 74.7]	[nan, 89.83, 87.3, 85.03, 82.27, 80.01, 79.33, 78.63, 79.05, 77.9]	[96.87, 90.23, 86.28, 84.5, 81.73, 79.75, 79.06, 78.34, 78.68, 77.58]	[0.34, 0.08, 0.41, 0.51, 0.62, 1.16, 1.17, 1.1, 1.2, 1.17]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.01	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
3.03	0.74	0.97	0.04	[96.67, 42.37, 12.07, 11.83, 11.0, 10.03, 5.9, 0.0, 3.13, 3.03]	[nan, 24.73, 0.0, 0.0, 0.0, 0.0, 0.85, 1.47, 1.03, 0.74]	[96.67, 33.55, 4.02, 2.96, 2.2, 1.67, 1.57, 1.28, 1.27, 0.97]	[0.21, 35.7, 1.1, 0.65, 0.28, 0.0, 0.19, 0.05, 0.21, 0.04]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	0.01	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
9.13	0.0	0.91	0.12	[97.17, 12.73, 10.0, 11.4, 10.5, 10.2, 11.0, 10.23, 9.37, 9.13]	[nan, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[97.17, 6.37, 3.33, 2.85, 2.1, 1.7, 1.57, 1.28, 1.04, 0.91]	[0.4, 0.87, 0.0, 0.49, 0.14, 0.05, 0.2, 0.04, 0.1, 0.12]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	0.1	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
93.2	41.63	46.78	0.92	[96.67, 94.0, 91.03, 92.37, 90.87, 92.23, 92.67, 92.9, 92.6, 93.2]	[nan, 87.4, 81.73, 76.0, 66.71, 59.1, 54.45, 50.85, 47.53, 41.63]	[96.67, 90.7, 84.83, 80.09, 71.54, 64.62, 59.91, 56.11, 52.53, 46.78]	[0.12, 1.04, 1.18, 1.77, 1.42, 1.99, 1.16, 1.11, 0.89, 0.92]	cifar100_cap_incft	cifar100	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	0.1	100	15	8	2	3	LoRA	5	9	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.001	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_cap_incft	[224, 224]
