base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
81.57	75.47	76.08	0.08	[95.83, 91.93, 87.0, 86.53, 84.63, 83.97, 83.1, 82.47, 81.93, 81.57]	[nan, 87.13, 84.52, 82.72, 79.74, 77.21, 76.76, 76.31, 76.66, 75.47]	[95.83, 89.53, 85.35, 83.67, 80.72, 78.33, 77.67, 77.08, 77.24, 76.08]	[0.48, 0.54, 0.37, 0.34, 0.24, 0.15, 0.14, 0.17, 0.1, 0.08]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
52.0	78.51	75.86	1.68	[97.1, 80.73, 69.4, 66.6, 59.5, 58.23, 57.0, 55.5, 54.53, 52.0]	[nan, 93.33, 89.28, 86.51, 83.35, 81.29, 80.33, 79.47, 79.71, 78.51]	[97.1, 87.03, 82.65, 81.53, 78.57, 77.45, 77.0, 76.47, 76.91, 75.86]	[0.22, 2.63, 2.64, 2.37, 2.18, 2.02, 2.01, 1.95, 1.74, 1.68]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
76.77	73.52	73.84	3.14	[94.57, 90.63, 84.93, 83.63, 81.67, 80.87, 79.77, 78.9, 77.97, 76.77]	[nan, 86.47, 83.53, 81.62, 79.08, 76.89, 75.81, 74.83, 74.89, 73.52]	[94.57, 88.55, 84.0, 82.12, 79.59, 77.56, 76.37, 75.34, 75.24, 73.84]	[0.46, 2.07, 2.93, 2.82, 2.64, 2.41, 2.79, 2.88, 2.98, 3.14]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
79.87	75.4	75.85	1.65	[95.7, 91.3, 86.57, 85.57, 83.43, 82.7, 81.93, 81.13, 80.37, 79.87]	[nan, 87.97, 84.95, 82.97, 80.03, 77.3, 76.77, 76.14, 76.46, 75.4]	[95.7, 89.63, 85.49, 83.61, 80.71, 78.2, 77.51, 76.76, 76.89, 75.85]	[0.41, 1.65, 1.59, 1.52, 1.35, 1.69, 1.6, 1.62, 1.65, 1.65]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
81.4	75.9	76.45	0.49	[95.97, 92.23, 87.17, 86.5, 84.77, 83.9, 83.23, 82.43, 81.73, 81.4]	[nan, 88.07, 85.32, 83.12, 80.22, 77.68, 77.32, 76.79, 77.16, 75.9]	[95.97, 90.15, 85.93, 83.96, 81.13, 78.72, 78.16, 77.5, 77.67, 76.45]	[0.41, 0.71, 0.41, 0.28, 0.39, 0.43, 0.48, 0.52, 0.49, 0.49]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
74.87	76.78	76.59	0.47	[96.67, 90.07, 83.07, 81.73, 79.47, 78.67, 77.6, 76.7, 75.77, 74.87]	[nan, 89.83, 86.63, 84.31, 81.3, 78.78, 78.22, 77.62, 78.08, 76.78]	[96.67, 89.95, 85.44, 83.66, 80.93, 78.76, 78.13, 77.51, 77.82, 76.59]	[0.05, 0.92, 1.46, 1.22, 0.67, 0.47, 0.36, 0.39, 0.5, 0.47]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
81.53	75.24	75.87	0.05	[95.67, 92.37, 87.5, 86.93, 84.8, 84.13, 83.27, 82.3, 81.77, 81.53]	[nan, 88.43, 84.8, 82.74, 79.65, 77.01, 76.68, 76.14, 76.47, 75.24]	[95.67, 90.4, 85.7, 83.79, 80.68, 78.2, 77.62, 76.91, 77.05, 75.87]	[0.48, 0.12, 0.26, 0.21, 0.17, 0.19, 0.16, 0.16, 0.09, 0.05]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
69.73	73.8	73.39	1.61	[97.07, 92.27, 81.8, 80.17, 76.97, 75.23, 73.77, 72.77, 72.03, 69.73]	[nan, 88.13, 84.82, 83.01, 79.95, 77.25, 76.18, 75.01, 75.27, 73.8]	[97.07, 90.2, 83.81, 82.3, 79.35, 76.91, 75.84, 74.73, 74.91, 73.39]	[0.52, 1.09, 0.72, 0.61, 0.78, 1.09, 1.38, 1.52, 1.73, 1.61]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
76.43	76.13	76.16	0.09	[95.67, 89.8, 83.37, 82.07, 80.53, 79.83, 78.87, 77.9, 77.0, 76.43]	[nan, 89.27, 85.83, 83.68, 80.69, 78.07, 77.53, 76.98, 77.35, 76.13]	[95.67, 89.53, 85.01, 83.27, 80.66, 78.36, 77.72, 77.09, 77.32, 76.16]	[0.29, 0.84, 0.67, 0.5, 0.24, 0.12, 0.19, 0.16, 0.08, 0.09]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
70.63	72.48	72.29	3.01	[95.33, 87.93, 80.3, 77.63, 75.93, 75.0, 74.13, 73.47, 72.6, 70.63]	[nan, 87.47, 84.32, 81.6, 78.63, 76.09, 75.06, 74.04, 73.81, 72.48]	[95.33, 87.7, 82.98, 80.61, 78.09, 75.91, 74.93, 73.97, 73.68, 72.29]	[0.49, 0.99, 1.23, 1.87, 1.88, 2.28, 2.63, 2.7, 2.73, 3.01]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
24.77	69.74	65.24	3.52	[86.9, 53.2, 38.17, 33.63, 28.73, 27.47, 26.93, 26.2, 25.73, 24.77]	[nan, 91.43, 85.28, 81.31, 77.03, 73.56, 71.91, 71.09, 71.22, 69.74]	[86.9, 72.32, 69.58, 69.39, 67.37, 65.88, 65.49, 65.48, 66.16, 65.24]	[6.45, 8.31, 7.69, 6.44, 4.79, 4.83, 4.37, 4.24, 3.72, 3.52]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
77.37	72.77	73.23	6.47	[97.63, 92.83, 86.1, 85.03, 83.1, 80.9, 80.03, 79.07, 78.5, 77.37]	[nan, 82.07, 81.03, 79.78, 77.0, 75.58, 75.05, 73.96, 74.1, 72.77]	[97.63, 87.45, 82.72, 81.09, 78.22, 76.47, 75.76, 74.6, 74.59, 73.23]	[0.09, 5.83, 5.79, 5.7, 5.95, 5.83, 5.91, 6.05, 6.11, 6.47]	cifar100_contrast_and_calibration	cifar100	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/cifar100_contrast_and_calibration	[224, 224]
