base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
68.7	69.84	69.73	0.0	[93.8, 86.2, 78.6, 78.0, 72.6, 72.1, 71.6, 70.6, 69.9, 68.7]	[nan, 83.9, 80.35, 78.43, 75.43, 72.48, 70.65, 70.74, 70.6, 69.84]	[93.8, 85.05, 79.77, 78.32, 74.86, 72.42, 70.79, 70.72, 70.52, 69.73]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[224, 224]
79.3	72.76	73.41	0.0	[94.6, 91.3, 86.5, 86.0, 83.6, 82.7, 81.8, 81.1, 80.1, 79.3]	[nan, 84.8, 82.9, 80.3, 77.25, 74.1, 73.6, 73.43, 73.95, 72.76]	[94.6, 88.05, 84.1, 81.72, 78.52, 75.53, 74.77, 74.39, 74.63, 73.41]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[224, 224]
68.7	69.84	69.73	0.0	[93.8, 86.2, 78.6, 78.0, 72.6, 72.1, 71.6, 70.6, 69.9, 68.7]	[nan, 83.9, 80.35, 78.43, 75.43, 72.48, 70.65, 70.74, 70.6, 69.84]	[93.8, 85.05, 79.77, 78.32, 74.86, 72.42, 70.79, 70.72, 70.52, 69.73]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[224, 224]
83.5	75.72	76.5	0.0	[96.8, 93.9, 89.5, 88.8, 87.4, 86.4, 85.5, 84.9, 83.8, 83.5]	[nan, 85.3, 83.8, 82.33, 79.68, 77.12, 76.9, 76.47, 76.81, 75.72]	[96.8, 89.6, 85.7, 83.95, 81.22, 78.67, 78.13, 77.52, 77.59, 76.5]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[224, 224]
84.13	75.32	76.2	0.25	[96.13, 94.63, 90.27, 88.9, 87.4, 86.77, 85.9, 84.93, 84.5, 84.13]	[nan, 87.17, 85.7, 83.28, 81.5, 78.45, 77.7, 76.75, 76.79, 75.32]	[96.13, 90.9, 87.22, 84.68, 82.68, 79.84, 78.87, 77.77, 77.64, 76.2]	[0.26, 0.49, 0.36, 0.12, 0.2, 0.26, 0.22, 0.19, 0.23, 0.25]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[384, 384]
82.2	74.84	75.58	0.0	[95.8, 92.8, 88.0, 87.7, 85.9, 84.9, 84.1, 83.4, 82.6, 82.2]	[nan, 85.1, 83.25, 81.1, 78.65, 76.14, 75.93, 75.47, 75.94, 74.84]	[95.8, 88.95, 84.83, 82.75, 80.1, 77.6, 77.1, 76.46, 76.68, 75.58]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[224, 224]
80.47	73.95	74.6	0.3	[95.93, 93.3, 87.3, 85.67, 84.13, 83.17, 82.4, 81.2, 80.6, 80.47]	[nan, 87.33, 85.32, 82.49, 80.39, 77.27, 76.27, 75.03, 75.22, 73.95]	[95.93, 90.32, 85.98, 83.28, 81.14, 78.25, 77.15, 75.8, 75.82, 74.6]	[0.34, 0.34, 0.37, 0.65, 0.53, 0.38, 0.32, 0.18, 0.2, 0.3]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[384, 384]
56.63	57.29	57.22	0.08	[84.9, 76.4, 69.3, 67.67, 64.67, 64.0, 63.23, 62.3, 61.77, 56.63]	[nan, 67.77, 68.82, 68.99, 68.06, 64.19, 61.59, 60.45, 60.51, 57.29]	[84.9, 72.08, 68.98, 68.65, 67.38, 64.16, 61.83, 60.68, 60.65, 57.22]	[0.57, 1.23, 0.76, 0.21, 0.18, 0.26, 0.12, 0.11, 0.08, 0.08]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[384, 384]
52.4	63.19	62.11	0.0	[92.8, 79.5, 72.3, 69.4, 62.8, 61.7, 61.1, 59.9, 58.0, 52.4]	[nan, 79.9, 74.85, 74.2, 71.55, 68.78, 66.13, 65.77, 65.3, 63.19]	[92.8, 79.7, 74.0, 73.0, 69.8, 67.6, 65.41, 65.04, 64.49, 62.11]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[224, 224]
80.97	73.89	74.6	0.14	[95.93, 92.37, 87.03, 85.6, 84.37, 83.7, 82.87, 81.8, 81.3, 80.97]	[nan, 87.77, 85.63, 82.57, 80.72, 77.18, 76.06, 74.9, 75.15, 73.89]	[95.93, 90.07, 86.1, 83.32, 81.45, 78.26, 77.03, 75.77, 75.83, 74.6]	[0.12, 0.4, 0.52, 0.51, 0.46, 0.29, 0.24, 0.25, 0.18, 0.14]	cifar100_prototype_fscit_different_shots	cifar100	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/cifar100_prototype_fscit_different_shots	[384, 384]
