base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
6.77	6.71	6.72	0.0	[21.86, 17.32, 14.68, 13.32, 10.86, 9.77, 9.0, 8.23, 7.32, 6.77]	[nan, 13.76, 11.33, 9.32, 9.35, 8.1, 7.85, 7.27, 7.16, 6.71]	[21.86, 15.58, 12.48, 10.35, 9.66, 8.39, 8.02, 7.39, 7.18, 6.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[224, 224]
6.36	6.43	6.43	0.0	[21.05, 16.55, 14.32, 12.95, 10.32, 8.77, 8.36, 7.86, 7.05, 6.36]	[nan, 13.14, 11.4, 9.14, 9.18, 8.01, 7.57, 6.87, 6.83, 6.43]	[21.05, 14.88, 12.41, 10.13, 9.42, 8.14, 7.69, 7.0, 6.86, 6.43]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[224, 224]
7.86	7.37	7.42	0.0	[22.41, 18.05, 15.55, 13.55, 11.41, 10.32, 9.59, 9.18, 8.55, 7.86]	[nan, 15.86, 13.14, 10.71, 10.6, 9.39, 8.68, 7.92, 7.66, 7.37]	[22.41, 16.98, 13.97, 11.45, 10.76, 9.55, 8.82, 8.08, 7.76, 7.42]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[224, 224]
6.18	6.92	6.84	0.0	[20.45, 15.23, 13.14, 11.64, 9.23, 8.14, 7.45, 7.14, 6.68, 6.18]	[nan, 15.48, 12.55, 10.06, 9.87, 8.7, 8.23, 7.45, 7.29, 6.92]	[20.45, 15.35, 12.75, 10.47, 9.74, 8.61, 8.11, 7.41, 7.22, 6.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[224, 224]
7.73	7.14	7.2	0.0	[20.45, 16.64, 14.55, 13.14, 11.09, 10.05, 9.05, 8.64, 8.14, 7.73]	[nan, 13.62, 12.52, 10.44, 10.33, 9.04, 8.63, 7.92, 7.55, 7.14]	[20.45, 15.16, 13.22, 11.14, 10.49, 9.21, 8.7, 8.01, 7.62, 7.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[384, 384]
7.27	6.73	6.79	0.0	[21.5, 15.95, 13.95, 12.91, 10.95, 9.68, 9.09, 8.82, 7.91, 7.27]	[nan, 15.38, 12.83, 10.11, 9.67, 8.46, 7.99, 7.22, 6.96, 6.73]	[21.5, 15.67, 13.22, 10.84, 9.93, 8.67, 8.16, 7.43, 7.07, 6.79]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[224, 224]
7.44	7.1	7.14	0.07	[21.39, 17.06, 14.48, 13.24, 11.0, 9.5, 8.77, 8.18, 7.74, 7.44]	[nan, 14.73, 13.13, 10.58, 10.58, 9.31, 8.69, 7.89, 7.45, 7.1]	[21.39, 15.92, 13.59, 11.27, 10.67, 9.34, 8.71, 7.93, 7.49, 7.14]	[0.24, 0.13, 0.18, 0.07, 0.04, 0.09, 0.01, 0.04, 0.11, 0.07]	country211_baseline_fscit	country211	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_baseline_fscit	[384, 384]
7.48	7.1	7.14	0.07	[21.77, 17.24, 14.64, 12.98, 10.64, 9.39, 8.66, 8.2, 7.74, 7.48]	[nan, 14.79, 13.04, 10.65, 10.61, 9.15, 8.68, 7.87, 7.45, 7.1]	[21.77, 16.05, 13.59, 11.25, 10.61, 9.19, 8.68, 7.91, 7.48, 7.14]	[0.16, 0.12, 0.15, 0.07, 0.07, 0.12, 0.14, 0.07, 0.06, 0.07]	country211_baseline_fscit	country211	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_baseline_fscit	[384, 384]
6.41	6.36	6.36	0.0	[20.09, 14.5, 12.0, 11.14, 9.5, 8.36, 8.0, 7.77, 7.09, 6.41]	[nan, 14.1, 12.1, 9.89, 9.8, 8.32, 7.83, 6.97, 6.65, 6.36]	[20.09, 14.3, 12.06, 10.21, 9.74, 8.33, 7.85, 7.07, 6.71, 6.36]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline	country211	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	22	21	211	10	checkpoint/country211_baseline	[384, 384]
7.27	6.73	6.79	0.0	[21.5, 15.95, 13.95, 12.91, 10.95, 9.68, 9.09, 8.82, 7.91, 7.27]	[nan, 15.38, 12.83, 10.11, 9.67, 8.46, 7.99, 7.22, 6.96, 6.73]	[21.5, 15.67, 13.22, 10.84, 9.93, 8.67, 8.16, 7.43, 7.07, 6.79]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_baseline_fscit	country211	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_baseline_fscit	[224, 224]
