base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
4.38	7.71	7.36	0.05	[23.86, 13.82, 11.17, 8.9, 6.7, 5.77, 5.29, 5.01, 4.74, 4.38]	[nan, 19.4, 15.35, 12.31, 11.46, 10.24, 9.41, 8.45, 8.09, 7.71]	[23.86, 16.54, 13.91, 11.43, 10.47, 9.46, 8.8, 8.0, 7.7, 7.36]	[0.13, 0.84, 0.53, 0.25, 0.17, 0.08, 0.05, 0.04, 0.04, 0.05]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
4.92	7.56	7.29	0.13	[23.41, 13.83, 11.79, 9.76, 7.5, 6.5, 6.06, 5.68, 5.3, 4.92]	[nan, 18.49, 14.87, 11.9, 11.16, 9.92, 9.17, 8.24, 7.92, 7.56]	[23.41, 16.11, 13.81, 11.35, 10.4, 9.32, 8.71, 7.91, 7.61, 7.29]	[0.04, 0.95, 0.66, 0.23, 0.31, 0.22, 0.12, 0.18, 0.13, 0.13]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
4.48	7.65	7.32	0.08	[23.18, 13.24, 10.8, 8.58, 6.58, 5.73, 5.26, 4.94, 4.7, 4.48]	[nan, 19.02, 15.25, 12.33, 11.45, 10.14, 9.37, 8.44, 8.04, 7.65]	[23.18, 16.06, 13.72, 11.36, 10.44, 9.37, 8.76, 7.98, 7.66, 7.32]	[0.11, 1.05, 0.75, 0.31, 0.17, 0.1, 0.12, 0.1, 0.09, 0.08]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
2.77	7.73	7.21	0.21	[23.67, 9.8, 7.53, 5.92, 4.26, 3.62, 3.41, 3.21, 3.01, 2.77]	[nan, 21.06, 16.18, 13.05, 11.99, 10.55, 9.65, 8.61, 8.19, 7.73]	[23.67, 15.3, 13.21, 11.2, 10.38, 9.35, 8.72, 7.91, 7.59, 7.21]	[0.42, 0.85, 0.5, 0.19, 0.19, 0.1, 0.1, 0.18, 0.23, 0.21]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
6.12	7.53	7.38	0.0	[23.49, 17.23, 14.7, 12.11, 9.44, 8.11, 7.52, 7.24, 6.81, 6.12]	[nan, 16.87, 14.02, 11.28, 10.93, 9.79, 9.03, 8.18, 7.86, 7.53]	[23.49, 17.06, 14.26, 11.5, 10.62, 9.5, 8.8, 8.06, 7.74, 7.38]	[0.42, 0.01, 0.07, 0.14, 0.04, 0.03, 0.03, 0.05, 0.02, 0.0]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
4.99	7.51	7.25	0.14	[23.88, 13.73, 11.44, 9.68, 7.35, 6.42, 6.01, 5.7, 5.37, 4.99]	[nan, 19.19, 15.1, 11.99, 11.19, 10.01, 9.25, 8.26, 7.9, 7.51]	[23.88, 16.4, 13.84, 11.39, 10.39, 9.39, 8.77, 7.93, 7.61, 7.25]	[0.02, 0.56, 0.41, 0.18, 0.2, 0.1, 0.03, 0.13, 0.12, 0.14]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
6.4	7.4	7.29	0.05	[23.5, 17.83, 15.44, 12.82, 9.8, 8.31, 7.69, 7.37, 6.91, 6.4]	[nan, 16.0, 13.54, 10.93, 10.69, 9.6, 8.86, 8.04, 7.74, 7.4]	[23.5, 16.94, 14.19, 11.42, 10.51, 9.38, 8.69, 7.95, 7.64, 7.29]	[0.48, 0.29, 0.18, 0.13, 0.02, 0.04, 0.03, 0.04, 0.05, 0.05]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
6.21	7.56	7.42	0.14	[23.64, 16.73, 14.62, 12.2, 9.51, 8.18, 7.42, 7.06, 6.59, 6.21]	[nan, 16.13, 13.75, 11.16, 10.83, 9.69, 8.98, 8.17, 7.86, 7.56]	[23.64, 16.43, 14.05, 11.43, 10.56, 9.43, 8.75, 8.02, 7.72, 7.42]	[0.39, 0.28, 0.21, 0.04, 0.04, 0.04, 0.11, 0.11, 0.11, 0.14]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
5.41	7.6	7.37	0.06	[23.21, 15.73, 13.41, 10.84, 8.26, 7.04, 6.48, 6.14, 5.86, 5.41]	[nan, 17.87, 14.72, 11.7, 11.08, 9.97, 9.21, 8.31, 7.93, 7.6]	[23.21, 16.78, 14.27, 11.48, 10.49, 9.46, 8.81, 8.03, 7.69, 7.37]	[0.69, 0.29, 0.09, 0.16, 0.09, 0.11, 0.15, 0.1, 0.06, 0.06]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
6.42	7.46	7.35	0.04	[23.85, 17.14, 14.88, 12.58, 9.82, 8.58, 7.79, 7.41, 6.99, 6.42]	[nan, 16.63, 13.94, 11.08, 10.77, 9.67, 8.93, 8.09, 7.77, 7.46]	[23.85, 16.89, 14.27, 11.47, 10.57, 9.48, 8.75, 8.0, 7.68, 7.35]	[0.5, 0.17, 0.18, 0.13, 0.04, 0.02, 0.02, 0.03, 0.02, 0.04]	country211_cap_incft	country211	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	22	21	211	10	checkpoint/country211_cap_incft	[224, 224]
