base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
7.18	7.27	7.26	0.0	[22.05, 17.27, 14.55, 12.95, 10.82, 9.68, 8.45, 8.18, 7.82, 7.18]	[nan, 15.76, 13.26, 10.6, 10.48, 9.32, 8.72, 7.77, 7.51, 7.27]	[22.05, 16.53, 13.7, 11.21, 10.55, 9.39, 8.68, 7.82, 7.54, 7.26]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[224, 224]
8.32	8.04	8.07	0.0	[25.95, 19.18, 16.5, 14.5, 12.36, 11.18, 10.68, 9.77, 8.82, 8.32]	[nan, 18.14, 14.79, 12.33, 11.57, 10.62, 9.66, 8.76, 8.36, 8.04]	[25.95, 18.67, 15.37, 12.89, 11.74, 10.72, 9.81, 8.89, 8.42, 8.07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[224, 224]
7.86	7.37	7.42	0.0	[22.41, 18.05, 15.55, 13.55, 11.41, 10.32, 9.59, 9.18, 8.55, 7.86]	[nan, 15.86, 13.14, 10.71, 10.6, 9.39, 8.68, 7.92, 7.66, 7.37]	[22.41, 16.98, 13.97, 11.45, 10.76, 9.55, 8.82, 8.08, 7.76, 7.42]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[224, 224]
7.73	5.46	5.7	0.0	[19.95, 14.41, 12.91, 12.09, 10.0, 9.05, 8.5, 8.41, 8.05, 7.73]	[nan, 14.24, 11.02, 8.54, 8.65, 7.4, 6.89, 6.37, 5.84, 5.46]	[19.95, 14.33, 11.67, 9.46, 8.93, 7.69, 7.13, 6.63, 6.09, 5.7]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[224, 224]
3.51	3.6	3.59	0.06	[10.14, 7.43, 6.51, 5.85, 5.23, 4.65, 4.47, 4.3, 3.65, 3.51]	[nan, 8.6, 7.15, 5.69, 5.59, 4.95, 4.64, 4.33, 4.08, 3.6]	[10.14, 8.0, 6.93, 5.74, 5.51, 4.89, 4.62, 4.33, 4.03, 3.59]	[0.04, 0.11, 0.1, 0.09, 0.06, 0.05, 0.06, 0.08, 0.07, 0.06]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[384, 384]
3.91	3.26	3.33	0.0	[12.55, 8.32, 6.77, 6.0, 5.32, 4.77, 4.41, 4.23, 4.05, 3.91]	[nan, 9.48, 7.07, 5.49, 5.19, 4.67, 4.14, 3.91, 3.69, 3.26]	[12.55, 8.88, 6.97, 5.62, 5.22, 4.69, 4.18, 3.95, 3.73, 3.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[224, 224]
6.09	3.79	4.03	0.0	[17.27, 12.09, 10.5, 9.64, 8.64, 8.0, 7.5, 7.14, 6.45, 6.09]	[nan, 10.38, 8.88, 6.49, 6.31, 5.45, 5.01, 4.63, 4.3, 3.79]	[17.27, 11.26, 9.44, 7.31, 6.79, 5.89, 5.38, 4.95, 4.55, 4.03]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[224, 224]
6.97	7.15	7.13	0.08	[21.85, 17.55, 14.68, 13.06, 10.64, 9.23, 8.26, 7.62, 7.38, 6.97]	[nan, 14.91, 12.91, 10.7, 10.87, 9.46, 8.95, 8.11, 7.56, 7.15]	[21.85, 16.26, 13.52, 11.31, 10.83, 9.42, 8.85, 8.04, 7.54, 7.13]	[0.61, 0.43, 0.25, 0.14, 0.14, 0.09, 0.06, 0.09, 0.1, 0.08]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[384, 384]
7.12	5.81	5.95	0.17	[18.64, 13.77, 11.39, 10.68, 9.08, 8.46, 7.86, 7.58, 7.38, 7.12]	[nan, 14.86, 11.97, 9.47, 9.29, 7.78, 7.27, 6.68, 6.23, 5.81]	[18.64, 14.3, 11.78, 9.79, 9.24, 7.9, 7.36, 6.8, 6.36, 5.95]	[0.26, 0.12, 0.07, 0.04, 0.22, 0.28, 0.27, 0.22, 0.2, 0.17]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[384, 384]
7.77	7.73	7.74	0.11	[24.56, 19.44, 15.91, 14.18, 11.9, 10.63, 9.91, 9.03, 8.35, 7.77]	[nan, 15.86, 13.38, 11.55, 11.03, 9.81, 9.16, 8.5, 8.11, 7.73]	[24.56, 17.69, 14.25, 12.23, 11.21, 9.96, 9.27, 8.57, 8.14, 7.74]	[0.48, 0.23, 0.16, 0.03, 0.05, 0.08, 0.14, 0.14, 0.11, 0.11]	country211_prototype_fscit_different_shots	country211	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	22	21	211	10	checkpoint/country211_prototype_fscit_different_shots	[384, 384]
