base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
80.0	73.29	73.91	0.0	[84.66, 82.33, 81.36, 81.17, 80.58, 80.58, 80.19, 80.19, 80.0, 80.0]	[nan, 73.57, 78.99, 75.41, 77.61, 78.01, 76.2, 74.82, 72.35, 73.29]	[86.83, 77.47, 79.67, 76.9, 78.32, 78.76, 77.06, 75.61, 73.29, 73.91]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_baseline	cub200	data/CUB_200_2011	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	200	10	checkpoint/cub200_baseline	[224, 224]
81.17	73.39	74.1	0.0	[85.05, 84.27, 82.72, 82.52, 82.33, 82.14, 81.36, 81.36, 81.17, 81.17]	[nan, 72.87, 78.65, 75.36, 77.74, 77.77, 75.66, 73.9, 72.18, 73.39]	[87.17, 78.1, 79.92, 77.19, 78.77, 78.79, 76.74, 74.93, 73.55, 74.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_baseline	cub200	data/CUB_200_2011	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	200	10	checkpoint/cub200_baseline	[224, 224]
75.4	70.74	71.18	0.07	[79.54, 78.64, 76.76, 75.99, 75.92, 75.92, 75.6, 75.47, 75.4, 75.4]	[nan, 70.61, 77.11, 74.64, 76.01, 76.21, 73.91, 71.61, 69.25, 70.74]	[82.45, 74.27, 76.98, 75.12, 76.19, 76.45, 74.51, 72.38, 70.39, 71.18]	[0.39, 0.29, 0.19, 0.24, 0.14, 0.23, 0.13, 0.13, 0.04, 0.07]	cub200_baseline_fscit	cub200	data/CUB_200_2011	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_baseline_fscit	[384, 384]
79.61	68.29	69.32	0.0	[84.08, 82.52, 80.78, 80.19, 80.19, 79.81, 79.61, 79.61, 79.61, 79.61]	[nan, 65.39, 74.47, 70.97, 73.73, 73.76, 71.48, 69.31, 67.11, 68.29]	[86.33, 73.26, 76.49, 73.22, 75.11, 75.04, 72.94, 71.0, 68.91, 69.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_baseline_fscit	cub200	data/CUB_200_2011	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_baseline_fscit	[224, 224]
84.08	72.84	73.86	0.0	[86.21, 85.24, 84.47, 84.27, 84.08, 84.08, 84.08, 84.08, 84.08, 84.08]	[nan, 73.22, 77.97, 74.79, 77.65, 78.56, 76.35, 73.58, 71.31, 72.84]	[88.17, 78.65, 79.93, 77.17, 79.01, 79.67, 77.67, 75.21, 73.06, 73.86]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_baseline	cub200	data/CUB_200_2011	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	200	10	checkpoint/cub200_baseline	[224, 224]
81.17	73.39	74.1	0.0	[85.05, 84.27, 82.72, 82.52, 82.33, 82.14, 81.36, 81.36, 81.17, 81.17]	[nan, 72.87, 78.65, 75.36, 77.74, 77.77, 75.66, 73.9, 72.18, 73.39]	[87.17, 78.1, 79.92, 77.19, 78.77, 78.79, 76.74, 74.93, 73.55, 74.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_baseline_fscit	cub200	data/CUB_200_2011	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_baseline_fscit	[224, 224]
82.27	75.16	75.81	0.22	[84.98, 84.27, 83.24, 82.91, 82.85, 82.46, 82.33, 82.27, 82.27, 82.27]	[nan, 72.12, 78.37, 75.22, 77.66, 78.4, 76.68, 75.3, 73.96, 75.16]	[87.11, 77.66, 79.87, 77.18, 78.75, 79.36, 77.73, 76.51, 75.23, 75.81]	[0.21, 0.05, 0.29, 0.1, 0.05, 0.06, 0.29, 0.21, 0.14, 0.22]	cub200_baseline_fscit	cub200	data/CUB_200_2011	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_baseline_fscit	[384, 384]
74.89	70.42	70.84	0.55	[78.77, 77.8, 76.37, 75.66, 75.47, 75.34, 74.95, 74.89, 74.89, 74.89]	[nan, 68.98, 76.18, 73.61, 75.31, 75.69, 73.48, 71.27, 68.92, 70.42]	[81.78, 73.03, 76.22, 74.27, 75.55, 75.99, 74.07, 72.02, 70.05, 70.84]	[0.42, 0.3, 0.28, 0.24, 0.21, 0.15, 0.26, 0.29, 0.58, 0.55]	cub200_baseline_fscit	cub200	data/CUB_200_2011	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_baseline_fscit	[384, 384]
85.7	75.38	76.31	0.33	[88.29, 87.19, 86.28, 86.02, 86.02, 85.96, 85.76, 85.76, 85.7, 85.7]	[nan, 77.1, 82.07, 77.18, 79.81, 80.28, 78.24, 75.84, 73.82, 75.38]	[89.95, 81.67, 83.35, 79.39, 81.07, 81.45, 79.49, 77.24, 75.43, 76.31]	[0.52, 0.1, 0.24, 0.07, 0.13, 0.1, 0.14, 0.28, 0.39, 0.33]	cub200_baseline_fscit	cub200	data/CUB_200_2011	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_baseline_fscit	[384, 384]
84.47	77.42	78.06	0.0	[86.8, 86.02, 85.05, 84.85, 84.66, 84.66, 84.47, 84.47, 84.47, 84.47]	[nan, 78.61, 81.73, 77.75, 80.54, 80.65, 79.85, 77.51, 76.19, 77.42]	[88.67, 81.94, 82.69, 79.57, 81.46, 81.63, 80.72, 78.42, 77.42, 78.06]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_baseline	cub200	data/CUB_200_2011	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	200	10	checkpoint/cub200_baseline	[384, 384]
