base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
82.2	73.37	74.17	0.02	[86.09, 85.11, 83.76, 83.56, 83.37, 83.17, 82.4, 82.4, 82.2, 82.2]	[nan, 72.87, 78.57, 75.3, 77.69, 77.74, 75.63, 73.87, 72.16, 73.37]	[88.05, 78.49, 80.17, 77.38, 78.92, 78.91, 76.85, 75.02, 73.63, 74.17]	[0.21, 0.12, 0.07, 0.05, 0.05, 0.03, 0.03, 0.03, 0.02, 0.02]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
82.4	73.37	74.19	0.02	[86.21, 85.31, 83.95, 83.76, 83.56, 83.37, 82.59, 82.59, 82.4, 82.4]	[nan, 72.87, 78.57, 75.3, 77.69, 77.74, 75.63, 73.87, 72.16, 73.37]	[88.17, 78.59, 80.23, 77.43, 78.95, 78.94, 76.87, 75.05, 73.65, 74.19]	[0.24, 0.12, 0.07, 0.05, 0.04, 0.04, 0.03, 0.02, 0.02, 0.02]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
83.56	73.37	74.29	0.02	[87.38, 86.47, 85.11, 84.92, 84.73, 84.53, 83.76, 83.76, 83.56, 83.56]	[nan, 72.7, 78.48, 75.24, 77.65, 77.7, 75.63, 73.87, 72.16, 73.37]	[89.17, 79.04, 80.52, 77.64, 79.12, 79.09, 77.02, 75.17, 73.76, 74.29]	[0.27, 0.11, 0.07, 0.05, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
86.28	73.34	74.51	0.03	[90.35, 89.65, 88.02, 87.44, 87.19, 87.06, 86.47, 86.47, 86.34, 86.28]	[nan, 73.1, 78.76, 75.38, 77.66, 77.74, 75.62, 73.87, 72.1, 73.34]	[91.72, 80.74, 81.6, 78.3, 79.57, 79.49, 77.35, 75.47, 73.98, 74.51]	[0.34, 0.35, 0.19, 0.14, 0.1, 0.03, 0.02, 0.01, 0.0, 0.03]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
87.05	73.66	74.87	0.14	[91.33, 90.1, 88.54, 87.96, 87.7, 87.7, 87.18, 87.18, 87.05, 87.05]	[nan, 73.56, 79.17, 75.96, 78.03, 78.15, 75.93, 74.11, 72.41, 73.66]	[92.55, 81.19, 82.04, 78.88, 79.96, 79.92, 77.7, 75.76, 74.33, 74.87]	[0.52, 0.0, 0.08, 0.22, 0.13, 0.13, 0.05, 0.1, 0.09, 0.14]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
86.15	73.37	74.52	0.08	[89.77, 89.0, 87.64, 87.25, 87.06, 86.86, 86.34, 86.34, 86.15, 86.15]	[nan, 72.58, 78.51, 75.26, 77.66, 77.71, 75.62, 73.87, 72.15, 73.37]	[91.22, 80.16, 81.3, 78.18, 79.55, 79.44, 77.34, 75.45, 74.01, 74.52]	[0.42, 0.24, 0.19, 0.11, 0.09, 0.08, 0.08, 0.09, 0.08, 0.08]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
87.44	73.47	74.74	0.08	[91.26, 90.42, 88.8, 88.28, 88.09, 87.96, 87.64, 87.64, 87.51, 87.44]	[nan, 73.04, 78.85, 75.43, 77.65, 77.75, 75.68, 73.95, 72.24, 73.47]	[92.5, 81.08, 81.9, 78.54, 79.72, 79.63, 77.55, 75.67, 74.21, 74.74]	[0.24, 0.15, 0.15, 0.13, 0.07, 0.12, 0.09, 0.05, 0.1, 0.08]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
84.92	73.32	74.37	0.01	[88.68, 87.77, 86.35, 86.15, 85.96, 85.76, 85.11, 85.11, 84.92, 84.92]	[nan, 72.35, 78.34, 75.14, 77.54, 77.61, 75.55, 73.8, 72.1, 73.32]	[90.28, 79.46, 80.8, 77.85, 79.25, 79.19, 77.12, 75.26, 73.84, 74.37]	[0.34, 0.13, 0.05, 0.04, 0.03, 0.02, 0.01, 0.02, 0.02, 0.01]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
84.47	73.36	74.36	0.08	[88.16, 87.18, 85.83, 85.63, 85.44, 85.24, 84.66, 84.66, 84.47, 84.47]	[nan, 72.41, 78.42, 75.2, 77.59, 77.66, 75.58, 73.85, 72.13, 73.36]	[89.83, 79.22, 80.7, 77.77, 79.21, 79.15, 77.09, 75.25, 73.83, 74.36]	[0.41, 0.28, 0.17, 0.12, 0.1, 0.08, 0.08, 0.08, 0.08, 0.08]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
85.96	73.4	74.53	0.03	[89.45, 88.74, 87.25, 87.05, 86.86, 86.67, 86.15, 86.15, 85.96, 85.96]	[nan, 72.46, 78.54, 75.28, 77.65, 77.73, 75.65, 73.9, 72.18, 73.4]	[90.95, 79.98, 81.21, 78.15, 79.5, 79.42, 77.34, 75.45, 74.01, 74.53]	[0.21, 0.17, 0.08, 0.06, 0.06, 0.04, 0.04, 0.04, 0.04, 0.03]	cub200_cap_contrast_only	cub200	data/CUB_200_2011	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_contrast_only	[224, 224]
