base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
88.55	74.81	76.05	0.69	[93.59, 91.72, 89.78, 89.25, 89.0, 88.87, 88.61, 88.61, 88.61, 88.55]	[nan, 74.84, 79.93, 77.33, 79.24, 79.01, 77.34, 75.35, 73.77, 74.81]	[94.5, 82.62, 82.95, 80.18, 81.15, 80.83, 79.07, 76.99, 75.68, 76.05]	[0.24, 0.31, 0.18, 0.4, 0.72, 0.53, 0.92, 0.77, 0.86, 0.69]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
87.51	73.97	75.2	0.43	[93.4, 91.13, 89.0, 88.29, 88.09, 87.83, 87.64, 87.57, 87.51, 87.51]	[nan, 73.74, 79.56, 76.99, 78.33, 78.37, 76.32, 74.41, 72.99, 73.97]	[94.33, 81.75, 82.46, 79.71, 80.24, 80.15, 78.09, 76.14, 74.87, 75.2]	[0.72, 0.3, 0.18, 0.4, 0.56, 0.63, 0.51, 0.48, 0.44, 0.43]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
86.54	74.39	75.48	1.06	[91.26, 89.13, 87.51, 87.19, 87.05, 86.86, 86.67, 86.67, 86.54, 86.54]	[nan, 74.84, 79.76, 76.53, 78.49, 78.6, 76.52, 74.8, 73.29, 74.39]	[92.5, 81.42, 82.15, 79.14, 80.21, 80.17, 78.15, 76.34, 75.05, 75.48]	[0.95, 1.28, 0.92, 1.12, 0.86, 0.84, 0.91, 0.99, 1.21, 1.06]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
87.06	75.29	76.36	0.97	[93.01, 89.58, 87.89, 87.57, 87.31, 87.25, 87.06, 87.06, 87.06, 87.06]	[nan, 75.71, 80.39, 77.46, 79.2, 79.19, 77.71, 75.86, 74.34, 75.29]	[94.0, 82.08, 82.7, 79.93, 80.83, 80.72, 79.19, 77.4, 75.83, 76.36]	[0.14, 0.86, 0.57, 0.87, 0.8, 0.67, 0.96, 0.89, 0.94, 0.97]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
87.57	74.42	75.6	0.99	[93.27, 90.81, 88.93, 88.16, 88.09, 87.9, 87.77, 87.7, 87.64, 87.57]	[nan, 74.49, 80.47, 77.02, 78.54, 78.27, 76.51, 74.69, 73.34, 74.42]	[94.22, 81.99, 83.11, 79.67, 80.42, 80.06, 78.26, 76.41, 75.21, 75.6]	[0.16, 0.82, 0.19, 0.44, 0.51, 0.63, 0.85, 1.02, 0.88, 0.99]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
84.14	73.33	74.32	1.72	[91.33, 88.35, 86.34, 85.31, 84.47, 84.34, 84.27, 84.27, 84.27, 84.14]	[nan, 73.91, 78.71, 76.49, 77.98, 77.63, 75.85, 73.91, 72.17, 73.33]	[92.55, 80.56, 81.01, 78.67, 79.31, 78.98, 77.25, 75.26, 73.84, 74.32]	[0.21, 1.04, 0.79, 0.65, 0.76, 0.73, 0.78, 1.25, 1.66, 1.72]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
85.82	74.9	75.89	1.91	[92.95, 89.19, 87.83, 86.6, 86.34, 86.15, 86.02, 85.89, 85.82, 85.82]	[nan, 74.55, 80.13, 77.36, 78.75, 78.75, 77.38, 75.48, 73.94, 74.9]	[93.94, 81.24, 82.52, 79.58, 80.27, 80.2, 78.8, 76.89, 75.46, 75.89]	[0.8, 1.43, 1.26, 1.39, 1.43, 1.51, 1.84, 1.82, 2.0, 1.91]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
89.39	73.93	75.32	0.08	[93.92, 92.23, 90.68, 89.97, 89.64, 89.51, 89.39, 89.39, 89.39, 89.39]	[nan, 72.41, 78.59, 76.74, 78.3, 78.16, 76.44, 74.48, 72.97, 73.93]	[94.78, 81.58, 82.32, 79.87, 80.5, 80.22, 78.4, 76.45, 74.95, 75.32]	[0.67, 0.45, 0.4, 0.18, 0.44, 0.26, 0.3, 0.58, 0.25, 0.08]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
89.58	75.51	76.78	0.62	[93.66, 91.91, 90.55, 90.23, 90.03, 89.84, 89.64, 89.58, 89.58, 89.58]	[nan, 74.2, 79.84, 77.37, 79.23, 78.89, 77.61, 75.97, 74.6, 75.51]	[94.56, 82.35, 83.15, 80.43, 81.34, 80.86, 79.43, 77.82, 76.51, 76.78]	[0.08, 0.57, 0.37, 0.32, 0.52, 0.72, 0.82, 0.59, 0.74, 0.62]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
86.93	74.41	75.54	0.76	[92.62, 90.23, 88.93, 88.22, 87.9, 87.38, 87.06, 86.99, 86.99, 86.93]	[nan, 74.67, 79.73, 76.82, 78.27, 78.06, 76.17, 74.86, 73.31, 74.41]	[93.67, 81.85, 82.58, 79.55, 80.18, 79.82, 77.88, 76.52, 75.02, 75.54]	[1.19, 0.96, 0.69, 0.95, 0.97, 0.89, 0.89, 1.07, 1.1, 0.76]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
86.86	75.77	76.78	0.67	[93.53, 90.74, 88.48, 87.83, 87.7, 87.12, 86.99, 86.86, 86.86, 86.86]	[nan, 74.09, 79.22, 76.91, 78.74, 78.79, 77.56, 75.98, 74.72, 75.77]	[94.44, 81.69, 82.09, 79.56, 80.52, 80.42, 79.07, 77.35, 76.34, 76.78]	[0.64, 1.69, 0.95, 0.89, 0.74, 0.73, 0.4, 0.35, 0.77, 0.67]	cub200_cap_incft	cub200	data/CUB_200_2011	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	20	20	200	10	checkpoint/cub200_cap_incft	[224, 224]
