base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
81.17	73.39	74.1	0.0	[85.05, 84.27, 82.72, 82.52, 82.33, 82.14, 81.36, 81.36, 81.17, 81.17]	[nan, 72.87, 78.65, 75.36, 77.74, 77.77, 75.66, 73.9, 72.18, 73.39]	[87.17, 78.1, 79.92, 77.19, 78.77, 78.79, 76.74, 74.93, 73.55, 74.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[224, 224]
79.03	70.32	71.12	0.0	[83.3, 82.33, 80.78, 80.39, 80.39, 80.39, 79.03, 79.03, 79.03, 79.03]	[nan, 68.35, 76.09, 72.91, 75.18, 75.3, 73.24, 71.51, 69.05, 70.32]	[85.67, 74.71, 77.5, 74.78, 76.36, 76.48, 74.38, 72.2, 70.57, 71.12]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[224, 224]
78.31	69.3	70.12	0.06	[80.84, 80.71, 79.61, 79.16, 79.16, 79.16, 78.51, 78.38, 78.31, 78.31]	[nan, 68.81, 75.86, 72.68, 73.8, 74.16, 72.15, 70.46, 68.04, 69.3]	[83.56, 74.25, 76.95, 74.41, 74.95, 75.23, 73.33, 70.91, 69.6, 70.12]	[0.42, 0.3, 0.06, 0.12, 0.16, 0.13, 0.27, 0.2, 0.2, 0.06]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[384, 384]
87.05	77.7	78.55	0.33	[89.12, 88.48, 87.71, 87.25, 87.25, 87.18, 87.05, 87.05, 87.05, 87.05]	[nan, 79.83, 83.41, 78.94, 81.31, 81.51, 79.09, 77.73, 76.44, 77.7]	[90.67, 83.75, 84.72, 81.0, 82.55, 82.58, 80.37, 78.99, 77.89, 78.55]	[0.36, 0.44, 0.42, 0.31, 0.22, 0.06, 0.1, 0.06, 0.33, 0.33]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[384, 384]
85.31	74.21	75.22	0.11	[87.57, 86.41, 85.69, 85.44, 85.44, 85.44, 85.31, 85.31, 85.31, 85.31]	[nan, 76.81, 81.47, 77.29, 79.85, 80.32, 78.23, 74.71, 72.69, 74.21]	[89.33, 81.15, 82.71, 79.33, 81.01, 81.47, 79.4, 76.07, 74.4, 75.22]	[0.54, 0.48, 0.45, 0.24, 0.32, 0.48, 0.44, 0.44, 0.06, 0.11]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[384, 384]
84.08	74.73	75.58	0.0	[87.38, 86.6, 85.24, 85.05, 84.85, 84.66, 84.27, 84.27, 84.08, 84.08]	[nan, 74.09, 79.25, 76.66, 78.37, 78.56, 77.23, 75.31, 73.69, 74.73]	[89.17, 79.9, 81.05, 78.76, 79.72, 79.82, 78.45, 76.35, 75.17, 75.58]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[224, 224]
71.07	68.59	68.84	0.0	[77.86, 76.7, 75.34, 73.2, 73.01, 73.01, 71.26, 71.26, 71.07, 71.07]	[nan, 67.48, 74.04, 71.71, 74.07, 73.55, 71.36, 70.21, 67.7, 68.59]	[81.0, 71.81, 74.35, 72.17, 74.11, 74.0, 71.79, 69.96, 68.6, 68.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[224, 224]
85.63	75.87	76.75	0.36	[87.96, 87.32, 86.41, 86.02, 86.02, 86.02, 85.63, 85.63, 85.63, 85.63]	[nan, 78.03, 82.41, 77.63, 80.09, 80.59, 78.64, 76.34, 74.26, 75.87]	[89.66, 82.2, 83.63, 79.73, 81.3, 81.74, 79.83, 77.66, 75.82, 76.75]	[0.62, 0.56, 0.44, 0.4, 0.39, 0.41, 0.52, 0.46, 0.4, 0.36]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[384, 384]
84.27	72.68	73.74	0.17	[86.86, 86.34, 85.24, 84.86, 84.86, 84.79, 84.27, 84.27, 84.27, 84.27]	[nan, 72.29, 78.77, 74.9, 77.72, 77.78, 75.9, 73.58, 71.16, 72.68]	[88.72, 78.72, 80.66, 77.38, 79.19, 79.19, 77.29, 75.1, 72.94, 73.74]	[0.34, 0.87, 0.63, 0.34, 0.42, 0.26, 0.17, 0.37, 0.16, 0.17]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[384, 384]
72.1	66.55	67.04	0.37	[76.25, 75.92, 72.75, 72.56, 72.49, 72.49, 72.1, 72.1, 72.1, 72.1]	[nan, 71.13, 76.26, 72.32, 72.26, 73.07, 70.49, 69.1, 66.26, 66.55]	[79.61, 73.32, 75.12, 72.36, 72.5, 73.21, 71.08, 68.6, 67.43, 67.04]	[0.75, 0.38, 0.4, 0.67, 0.58, 0.49, 0.43, 0.46, 0.3, 0.37]	cub200_prototype_fscit_different_shots	cub200	data/CUB_200_2011	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	200	10	checkpoint/cub200_prototype_fscit_different_shots	[384, 384]
