base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
40.0	52.75	51.33	0.0	[81.0, 70.0, 62.0, 58.5, 51.0, 48.5, 45.5, 43.0, 40.0]	[nan, 76.5, 73.25, 67.0, 64.63, 59.5, 55.67, 54.43, 52.75]	[81.0, 73.25, 69.5, 64.87, 61.9, 57.67, 54.21, 53.0, 51.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[224, 224]
47.0	55.69	54.72	0.0	[86.0, 75.0, 67.5, 65.5, 58.0, 54.0, 51.5, 51.0, 47.0]	[nan, 79.0, 77.25, 69.67, 66.75, 63.2, 59.75, 57.86, 55.69]	[86.0, 77.0, 74.0, 68.62, 65.0, 61.67, 58.57, 57.0, 54.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[224, 224]
43.5	50.56	49.78	0.0	[80.0, 73.0, 62.5, 62.0, 54.5, 52.5, 49.0, 45.5, 43.5]	[nan, 75.5, 66.75, 61.67, 58.88, 57.0, 52.75, 51.21, 50.56]	[80.0, 74.25, 65.33, 61.75, 58.0, 56.25, 52.21, 50.5, 49.78]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[224, 224]
39.0	55.56	53.72	0.0	[78.5, 62.0, 55.5, 52.0, 45.5, 45.0, 44.0, 43.0, 39.0]	[nan, 82.0, 74.75, 67.33, 64.75, 60.9, 58.0, 56.93, 55.56]	[78.5, 72.0, 68.33, 63.5, 60.9, 58.25, 56.0, 55.19, 53.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[384, 384]
49.5	53.25	52.83	0.0	[81.5, 74.0, 69.5, 65.5, 61.0, 56.5, 55.5, 54.0, 49.5]	[nan, 71.0, 75.25, 68.33, 64.75, 59.4, 56.75, 55.57, 53.25]	[81.5, 72.5, 73.33, 67.62, 64.0, 58.92, 56.57, 55.37, 52.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[224, 224]
46.0	53.12	52.33	0.0	[81.5, 74.0, 66.5, 62.0, 56.0, 53.5, 52.0, 50.0, 46.0]	[nan, 72.5, 72.5, 67.67, 64.75, 60.0, 56.58, 55.14, 53.12]	[81.5, 73.25, 70.5, 66.25, 63.0, 58.92, 55.93, 54.5, 52.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[384, 384]
44.5	55.56	54.33	0.0	[82.0, 73.0, 64.5, 62.5, 55.0, 53.5, 50.5, 48.0, 44.5]	[nan, 75.0, 72.5, 68.5, 65.38, 62.1, 58.42, 57.29, 55.56]	[82.0, 74.0, 69.83, 67.0, 63.3, 60.67, 57.29, 56.12, 54.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[384, 384]
43.67	50.56	49.8	0.7	[81.0, 71.33, 63.83, 60.33, 54.83, 52.17, 49.33, 45.67, 43.67]	[nan, 74.67, 70.17, 65.33, 62.17, 58.33, 53.72, 52.12, 50.56]	[81.0, 73.0, 68.06, 64.08, 60.7, 57.31, 53.09, 51.31, 49.8]	[1.78, 0.54, 0.34, 0.79, 1.02, 0.68, 0.73, 0.67, 0.7]	dtd_baseline_fscit	dtd	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_baseline_fscit	[224, 224]
47.5	54.5	53.72	0.0	[80.5, 74.0, 67.5, 64.0, 58.0, 53.5, 53.0, 52.0, 47.5]	[nan, 73.5, 73.25, 67.83, 65.13, 60.9, 57.83, 56.71, 54.5]	[80.5, 73.75, 71.33, 66.87, 63.7, 59.67, 57.14, 56.12, 53.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[224, 224]
44.5	56.19	54.89	0.0	[79.0, 71.0, 65.5, 64.0, 57.0, 51.5, 49.0, 47.5, 44.5]	[nan, 76.5, 79.25, 70.5, 66.62, 63.1, 60.08, 58.14, 56.19]	[79.0, 73.75, 74.67, 68.87, 64.7, 61.17, 58.5, 56.81, 54.89]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_baseline	dtd	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	47	9	checkpoint/dtd_baseline	[224, 224]
