base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
46.33	55.62	54.59	0.07	[87.5, 77.67, 68.33, 66.67, 58.5, 53.17, 50.67, 50.5, 46.33]	[nan, 78.33, 77.33, 69.56, 66.79, 63.37, 59.83, 57.76, 55.62]	[87.5, 78.0, 74.33, 68.83, 65.13, 61.67, 58.52, 56.85, 54.59]	[0.0, 0.74, 0.0, 0.06, 0.05, 0.12, 0.12, 0.08, 0.07]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
46.5	55.77	54.74	0.03	[88.83, 81.17, 69.33, 67.5, 59.5, 55.0, 51.5, 50.83, 46.5]	[nan, 78.67, 77.25, 69.17, 66.75, 63.53, 59.95, 57.93, 55.77]	[88.83, 79.92, 74.61, 68.75, 65.3, 62.11, 58.74, 57.04, 54.74]	[0.24, 0.12, 0.21, 0.37, 0.0, 0.08, 0.09, 0.06, 0.03]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
46.83	55.62	54.65	0.03	[86.5, 75.83, 67.83, 65.67, 58.83, 54.17, 51.5, 51.0, 46.83]	[nan, 78.5, 77.0, 69.61, 66.79, 63.13, 59.7, 57.79, 55.62]	[86.5, 77.17, 73.94, 68.62, 65.2, 61.64, 58.52, 56.94, 54.65]	[0.0, 0.12, 0.08, 0.1, 0.08, 0.04, 0.03, 0.0, 0.03]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
47.33	55.6	54.69	0.02	[86.5, 75.83, 67.67, 66.0, 58.83, 54.5, 51.83, 51.33, 47.33]	[nan, 78.67, 77.08, 69.56, 66.71, 63.07, 59.64, 57.76, 55.6]	[86.5, 77.25, 73.94, 68.66, 65.13, 61.64, 58.52, 56.96, 54.69]	[0.41, 0.35, 0.08, 0.06, 0.12, 0.08, 0.03, 0.03, 0.02]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
47.17	55.56	54.63	0.05	[87.17, 77.33, 68.0, 66.5, 59.5, 54.83, 51.83, 51.33, 47.17]	[nan, 78.33, 77.17, 69.56, 66.71, 63.1, 59.64, 57.69, 55.56]	[87.17, 77.83, 74.11, 68.79, 65.27, 61.72, 58.52, 56.9, 54.63]	[0.24, 0.31, 0.08, 0.06, 0.09, 0.08, 0.03, 0.06, 0.05]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
47.0	55.67	54.7	0.02	[86.0, 75.0, 67.5, 65.5, 58.0, 54.0, 51.5, 51.0, 47.0]	[nan, 79.0, 77.25, 69.67, 66.75, 63.17, 59.72, 57.84, 55.67]	[86.0, 77.0, 74.0, 68.62, 65.0, 61.64, 58.55, 56.98, 54.7]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.03, 0.03, 0.02]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
47.33	55.6	54.69	0.02	[86.33, 75.67, 67.67, 66.0, 58.67, 54.5, 51.83, 51.33, 47.33]	[nan, 78.83, 77.17, 69.61, 66.66, 63.07, 59.64, 57.76, 55.6]	[86.33, 77.25, 74.0, 68.71, 65.07, 61.64, 58.52, 56.96, 54.69]	[0.47, 0.35, 0.0, 0.06, 0.09, 0.04, 0.03, 0.03, 0.02]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
45.17	55.83	54.65	0.05	[89.0, 80.17, 69.5, 68.0, 59.0, 54.0, 51.0, 50.17, 45.17]	[nan, 79.33, 77.08, 69.61, 67.21, 63.73, 60.08, 58.02, 55.83]	[89.0, 79.75, 74.56, 69.21, 65.57, 62.11, 58.79, 57.04, 54.65]	[0.41, 0.35, 0.08, 0.06, 0.12, 0.24, 0.12, 0.11, 0.05]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
47.0	55.67	54.7	0.02	[86.0, 75.0, 67.5, 65.5, 58.0, 54.0, 51.5, 51.0, 47.0]	[nan, 79.0, 77.25, 69.67, 66.75, 63.17, 59.72, 57.84, 55.67]	[86.0, 77.0, 74.0, 68.62, 65.0, 61.64, 58.55, 56.98, 54.7]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.03, 0.03, 0.02]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
47.0	55.69	54.72	0.0	[86.0, 75.0, 67.5, 65.5, 58.0, 54.0, 51.5, 51.0, 47.0]	[nan, 79.0, 77.25, 69.67, 66.75, 63.2, 59.75, 57.86, 55.69]	[86.0, 77.0, 74.0, 68.62, 65.0, 61.67, 58.57, 57.0, 54.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_cap_contrast_only	dtd	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_cap_contrast_only	[224, 224]
