base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
0.0	51.77	46.02	1.84	[89.17, 0.83, 0.5, 0.17, 0.17, 0.17, 0.0, 0.0, 0.0]	[nan, 77.83, 71.67, 63.17, 62.46, 59.03, 54.22, 53.0, 51.77]	[89.17, 39.33, 47.94, 47.41, 50.0, 49.22, 46.47, 46.38, 46.02]	[0.24, 2.24, 1.75, 1.64, 1.79, 2.03, 2.09, 1.99, 1.84]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
6.17	54.04	48.72	7.11	[87.67, 17.5, 16.83, 15.5, 12.5, 11.17, 10.83, 8.83, 6.17]	[nan, 73.67, 73.92, 66.5, 65.54, 61.47, 57.11, 55.26, 54.04]	[87.67, 45.58, 54.89, 53.75, 54.93, 53.08, 50.5, 49.45, 48.72]	[2.72, 15.32, 12.3, 10.4, 8.3, 7.6, 7.76, 7.77, 7.11]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
5.17	50.79	45.72	4.8	[88.83, 16.5, 11.5, 9.67, 7.33, 7.0, 6.83, 6.5, 5.17]	[nan, 76.33, 72.17, 62.67, 62.16, 58.93, 53.8, 51.88, 50.79]	[88.83, 46.42, 51.94, 49.41, 51.2, 50.28, 47.1, 46.21, 45.72]	[0.24, 14.78, 9.0, 7.32, 5.79, 5.5, 5.68, 5.64, 4.8]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
18.33	55.17	51.07	2.72	[88.83, 44.33, 36.5, 32.5, 27.0, 24.83, 24.0, 22.0, 18.33]	[nan, 78.83, 74.0, 67.89, 66.0, 61.0, 58.28, 56.83, 55.17]	[88.83, 61.58, 61.5, 59.04, 58.2, 54.97, 53.38, 52.48, 51.07]	[0.24, 14.09, 10.02, 7.15, 4.91, 5.14, 4.05, 3.46, 2.72]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
45.5	55.75	54.61	0.09	[89.0, 79.67, 69.0, 67.67, 59.33, 53.83, 50.17, 49.67, 45.5]	[nan, 78.67, 77.08, 69.39, 66.96, 63.53, 59.97, 57.93, 55.75]	[89.0, 79.17, 74.39, 68.95, 65.43, 61.92, 58.57, 56.9, 54.61]	[0.41, 0.72, 0.08, 0.31, 0.29, 0.31, 0.21, 0.15, 0.09]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
2.83	50.56	45.26	3.45	[89.33, 10.17, 9.0, 4.0, 3.5, 3.33, 3.33, 3.17, 2.83]	[nan, 78.5, 73.33, 64.72, 63.17, 59.0, 55.53, 52.98, 50.56]	[89.33, 44.33, 51.89, 49.54, 51.23, 49.72, 48.07, 46.75, 45.26]	[0.85, 9.13, 7.92, 4.66, 3.19, 2.69, 3.28, 4.07, 3.45]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
44.17	56.1	54.78	0.04	[88.0, 81.17, 68.0, 64.17, 55.5, 51.83, 49.17, 48.67, 44.17]	[nan, 79.0, 77.58, 69.06, 67.04, 63.87, 60.22, 58.4, 56.1]	[88.0, 80.08, 74.39, 67.83, 64.73, 61.86, 58.64, 57.19, 54.78]	[0.41, 0.62, 0.31, 0.25, 0.21, 0.1, 0.12, 0.13, 0.04]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
10.0	51.35	46.76	6.33	[89.0, 28.0, 21.83, 18.67, 13.83, 12.83, 12.33, 12.0, 10.0]	[nan, 76.67, 72.92, 64.22, 63.37, 59.47, 55.0, 52.95, 51.35]	[89.0, 52.33, 55.89, 52.83, 53.47, 51.69, 48.9, 47.83, 46.76]	[0.41, 16.33, 11.91, 9.24, 6.73, 6.96, 6.95, 7.13, 6.33]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
0.0	5.52	4.91	0.57	[42.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 33.5, 10.58, 10.39, 11.25, 10.73, 7.05, 6.31, 5.52]	[42.0, 16.75, 7.06, 7.79, 9.0, 8.95, 6.05, 5.52, 4.91]	[12.57, 6.6, 0.16, 1.12, 1.77, 2.18, 0.88, 0.65, 0.57]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
9.67	56.71	51.48	0.33	[89.17, 35.0, 30.17, 21.5, 16.17, 14.83, 14.17, 12.67, 9.67]	[nan, 79.17, 75.75, 69.22, 67.75, 63.37, 59.86, 58.19, 56.71]	[89.17, 57.08, 60.56, 57.29, 57.43, 55.28, 53.33, 52.5, 51.48]	[0.47, 5.95, 1.9, 1.19, 2.04, 1.71, 0.93, 0.58, 0.33]	dtd_contrast_and_calibration	dtd	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	47	9	checkpoint/dtd_contrast_and_calibration	[224, 224]
