base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
43.0	55.19	53.83	0.0	[85.0, 77.5, 68.5, 62.5, 53.0, 49.5, 46.5, 46.5, 43.0]	[nan, 77.0, 76.25, 69.33, 65.75, 62.3, 58.67, 57.07, 55.19]	[85.0, 77.25, 73.67, 67.62, 63.2, 60.17, 56.93, 55.75, 53.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[224, 224]
47.0	55.69	54.72	0.0	[86.0, 75.0, 67.5, 65.5, 58.0, 54.0, 51.5, 51.0, 47.0]	[nan, 79.0, 77.25, 69.67, 66.75, 63.2, 59.75, 57.86, 55.69]	[86.0, 77.0, 74.0, 68.62, 65.0, 61.67, 58.57, 57.0, 54.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[224, 224]
35.83	47.87	46.54	0.48	[70.17, 60.5, 52.67, 47.83, 45.5, 45.0, 43.5, 40.5, 35.83]	[nan, 77.67, 64.0, 59.83, 56.58, 51.53, 48.44, 48.14, 47.87]	[70.17, 69.08, 60.22, 56.83, 54.37, 50.45, 47.74, 47.18, 46.54]	[2.25, 1.96, 1.23, 1.1, 0.79, 0.78, 0.67, 0.54, 0.48]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[384, 384]
28.5	34.38	33.72	0.0	[66.0, 52.0, 41.5, 37.0, 33.0, 32.5, 30.5, 29.0, 28.5]	[nan, 64.5, 57.0, 43.17, 40.0, 36.7, 37.25, 35.07, 34.38]	[66.0, 58.25, 51.83, 41.62, 38.6, 36.0, 36.29, 34.31, 33.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[224, 224]
43.5	50.5	49.72	0.0	[78.5, 69.0, 62.5, 57.0, 49.5, 48.0, 46.0, 46.0, 43.5]	[nan, 73.5, 69.75, 63.0, 61.37, 57.6, 53.33, 51.5, 50.5]	[78.5, 71.25, 67.33, 61.5, 59.0, 56.0, 52.29, 50.81, 49.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[224, 224]
49.67	56.37	55.63	0.33	[83.5, 74.33, 64.33, 62.83, 58.33, 56.33, 55.33, 53.5, 49.67]	[nan, 81.5, 75.75, 70.33, 68.25, 64.07, 59.5, 57.83, 56.37]	[83.5, 77.92, 71.94, 68.46, 66.27, 62.78, 58.91, 57.29, 55.63]	[1.41, 0.42, 0.44, 0.33, 0.34, 1.03, 0.36, 0.34, 0.33]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[384, 384]
51.0	58.88	58.0	0.0	[88.0, 79.0, 68.5, 67.5, 59.0, 55.0, 54.0, 54.0, 51.0]	[nan, 82.0, 81.5, 73.17, 68.75, 64.9, 62.33, 60.5, 58.88]	[88.0, 80.5, 77.17, 71.75, 66.8, 63.25, 61.14, 59.69, 58.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[224, 224]
39.33	53.89	52.28	0.25	[82.0, 69.67, 60.17, 57.0, 51.67, 48.5, 44.33, 41.83, 39.33]	[nan, 79.33, 71.58, 66.33, 63.63, 61.47, 56.58, 55.43, 53.89]	[82.0, 74.5, 67.78, 64.0, 61.23, 59.31, 54.83, 53.73, 52.28]	[0.41, 1.14, 0.16, 0.37, 0.17, 0.14, 0.18, 0.13, 0.25]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[384, 384]
43.0	54.96	53.63	0.48	[81.17, 72.33, 62.67, 61.0, 54.83, 52.5, 48.83, 46.17, 43.0]	[nan, 77.33, 71.92, 66.22, 64.46, 62.0, 57.53, 56.71, 54.96]	[81.17, 74.83, 68.83, 64.92, 62.53, 60.42, 56.29, 55.4, 53.63]	[0.94, 0.42, 0.83, 0.82, 0.49, 0.29, 0.67, 0.72, 0.48]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[384, 384]
37.0	44.5	43.67	0.0	[63.0, 52.0, 49.5, 47.0, 43.5, 43.0, 39.5, 39.0, 37.0]	[nan, 72.0, 64.0, 56.0, 53.75, 48.7, 45.08, 44.43, 44.5]	[63.0, 62.0, 59.17, 53.75, 51.7, 47.75, 44.29, 43.75, 43.67]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	dtd_prototype_fscit_different_shots	dtd	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	47	9	checkpoint/dtd_prototype_fscit_different_shots	[224, 224]
