base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	gpu	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
59.8	57.7	57.92	1.78	[100.0, 93.95, 88.89, 77.02, 69.22, 64.46, 60.27, 59.86, 59.86, 59.8]	[nan, 99.83, 87.65, 87.29, 75.21, 72.66, 66.09, 61.42, 55.54, 57.7]	[100.0, 96.85, 88.05, 84.7, 73.98, 71.19, 65.17, 61.2, 56.05, 57.92]	[0.0, 0.26, 1.68, 1.69, 2.39, 1.98, 2.04, 2.01, 2.0, 1.78]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	0	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[224, 224]
60.73	63.33	63.06	0.0	[100.0, 95.99, 92.84, 79.06, 74.17, 62.65, 61.95, 61.43, 60.91, 60.73]	[nan, 99.83, 84.53, 86.41, 78.74, 70.36, 61.03, 61.43, 61.12, 63.33]	[100.0, 97.73, 87.24, 84.58, 77.81, 69.01, 61.18, 61.44, 61.1, 63.06]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
64.98	59.05	59.68	0.47	[100.0, 95.4, 93.02, 83.07, 79.64, 68.06, 66.49, 66.14, 65.1, 64.98]	[nan, 98.78, 80.35, 82.72, 75.18, 69.57, 61.56, 56.67, 56.67, 59.05]	[100.0, 97.01, 84.47, 82.81, 76.13, 69.33, 62.34, 57.93, 57.68, 59.68]	[0.0, 0.2, 0.34, 0.31, 0.14, 0.83, 0.78, 0.38, 0.52, 0.47]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
66.61	63.49	63.82	1.48	[100.0, 97.15, 94.59, 85.05, 79.17, 71.38, 67.42, 67.07, 66.61, 66.61]	[nan, 99.48, 91.47, 90.86, 79.25, 73.84, 66.06, 63.91, 61.99, 63.49]	[100.0, 98.33, 92.53, 89.44, 79.27, 73.44, 66.27, 64.32, 62.54, 63.82]	[0.0, 0.3, 0.1, 0.14, 1.14, 1.72, 1.88, 1.8, 1.71, 1.48]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[384, 384]
60.44	57.79	58.07	1.65	[100.0, 93.02, 88.08, 77.31, 70.51, 63.99, 60.62, 60.56, 60.56, 60.44]	[nan, 99.71, 86.96, 86.31, 75.22, 73.03, 66.17, 61.65, 55.59, 57.79]	[100.0, 96.29, 87.32, 84.06, 74.25, 71.4, 65.3, 61.49, 56.18, 58.07]	[0.0, 0.32, 1.2, 1.26, 2.02, 1.79, 1.66, 1.78, 1.87, 1.65]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
73.12	73.23	73.22	0.0	[100.0, 97.56, 95.81, 92.15, 91.62, 76.61, 73.82, 73.82, 73.12, 73.12]	[nan, 99.83, 94.82, 92.88, 90.91, 85.18, 78.79, 78.19, 72.04, 73.23]	[100.0, 98.66, 95.17, 92.72, 91.07, 83.7, 78.07, 77.64, 72.18, 73.22]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
65.39	58.29	59.04	0.84	[100.0, 95.4, 92.15, 82.96, 79.47, 69.58, 67.66, 67.01, 65.68, 65.39]	[nan, 98.73, 83.31, 84.59, 77.47, 70.94, 62.17, 55.93, 55.81, 58.29]	[100.0, 97.02, 86.19, 84.17, 77.9, 70.7, 63.01, 57.4, 56.99, 59.04]	[0.0, 0.58, 0.79, 0.77, 0.82, 0.33, 0.49, 0.74, 0.92, 0.84]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	0	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
72.02	64.03	64.88	0.82	[100.0, 97.79, 95.81, 87.96, 83.07, 76.67, 72.77, 72.48, 72.02, 72.02]	[nan, 99.01, 91.91, 90.45, 79.84, 75.17, 67.48, 64.71, 62.47, 64.03]	[100.0, 98.44, 93.22, 89.87, 80.55, 75.48, 68.31, 65.73, 63.6, 64.88]	[0.0, 0.31, 0.44, 0.28, 0.68, 0.87, 0.87, 0.69, 0.71, 0.82]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	0	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[384, 384]
77.84	64.68	66.08	0.59	[100.0, 95.41, 91.91, 84.64, 83.25, 79.06, 79.0, 79.0, 78.36, 77.84]	[nan, 99.71, 89.19, 87.86, 79.93, 77.09, 68.02, 65.33, 62.89, 64.68]	[100.0, 97.48, 90.07, 87.08, 80.65, 77.48, 69.75, 67.15, 64.74, 66.08]	[0.0, 0.3, 0.54, 0.49, 0.62, 0.59, 0.37, 0.76, 0.64, 0.59]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[384, 384]
73.12	73.23	73.22	0.0	[100.0, 97.56, 95.81, 92.15, 91.62, 76.61, 73.82, 73.82, 73.12, 73.12]	[nan, 99.83, 94.82, 92.88, 90.91, 85.18, 78.79, 78.19, 72.04, 73.23]	[100.0, 98.66, 95.17, 92.72, 91.07, 83.7, 78.07, 77.64, 72.18, 73.22]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
