base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
61.26	58.92	59.17	0.0	[100.0, 93.37, 88.13, 77.49, 71.38, 65.1, 61.43, 61.26, 61.26, 61.26]	[nan, 100.0, 86.79, 85.47, 76.37, 74.13, 67.47, 63.26, 57.17, 58.92]	[100.0, 96.65, 87.24, 83.46, 75.35, 72.51, 66.53, 62.98, 57.65, 59.17]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[224, 224]
66.67	56.7	57.76	0.0	[100.0, 95.64, 92.32, 81.15, 76.61, 71.38, 67.54, 66.67, 66.67, 66.67]	[nan, 99.48, 84.62, 85.12, 75.33, 72.52, 65.8, 60.46, 54.3, 56.7]	[100.0, 97.49, 87.03, 84.08, 75.57, 72.31, 66.06, 61.28, 55.77, 57.76]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[224, 224]
60.56	59.06	59.22	0.0	[100.0, 95.99, 93.89, 79.93, 75.92, 63.87, 62.13, 61.95, 60.56, 60.56]	[nan, 98.09, 80.94, 83.94, 77.92, 71.52, 62.93, 56.52, 56.67, 59.06]	[100.0, 96.99, 85.11, 82.89, 77.51, 70.15, 62.8, 57.26, 57.14, 59.22]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
54.45	60.64	59.98	0.0	[100.0, 95.29, 91.45, 69.46, 65.45, 56.54, 54.97, 54.45, 54.45, 54.45]	[nan, 100.0, 90.13, 90.12, 78.65, 76.17, 68.86, 65.44, 59.65, 60.64]	[100.0, 97.57, 90.5, 84.85, 75.92, 72.67, 66.73, 63.98, 59.04, 59.98]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[384, 384]
64.05	69.48	68.91	0.0	[100.0, 93.37, 87.26, 75.74, 75.04, 68.94, 65.27, 64.57, 64.05, 64.05]	[nan, 99.83, 91.97, 90.24, 88.73, 86.07, 76.79, 72.59, 68.09, 69.48]	[100.0, 96.48, 90.46, 86.61, 85.91, 82.98, 74.99, 71.53, 67.61, 68.91]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[224, 224]
64.05	69.48	68.91	0.0	[100.0, 93.37, 87.26, 75.74, 75.04, 68.94, 65.27, 64.57, 64.05, 64.05]	[nan, 99.83, 91.97, 90.24, 88.73, 86.07, 76.79, 72.59, 68.09, 69.48]	[100.0, 96.48, 90.46, 86.61, 85.91, 82.98, 74.99, 71.53, 67.61, 68.91]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
75.04	65.24	66.28	0.0	[100.0, 93.89, 89.7, 83.42, 82.02, 76.44, 75.74, 75.74, 75.57, 75.04]	[nan, 99.65, 89.21, 87.65, 78.19, 75.02, 67.34, 65.9, 63.49, 65.24]	[100.0, 96.65, 89.41, 86.61, 79.03, 75.31, 68.67, 67.23, 64.94, 66.28]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline	eurosat	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	1	1	10	10	checkpoint/eurosat_baseline	[384, 384]
64.05	69.48	68.91	0.0	[100.0, 93.37, 87.26, 75.74, 75.04, 68.94, 65.27, 64.57, 64.05, 64.05]	[nan, 99.83, 91.97, 90.24, 88.73, 86.07, 76.79, 72.59, 68.09, 69.48]	[100.0, 96.48, 90.46, 86.61, 85.91, 82.98, 74.99, 71.53, 67.61, 68.91]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_baseline_fscit	eurosat	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_baseline_fscit	[224, 224]
