base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
56.54	62.86	62.18	0.02	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.85, 88.8, 77.49, 74.55, 67.09, 65.74, 61.19, 62.86]	[100.0, 97.99, 87.06, 84.9, 75.54, 72.18, 65.45, 64.51, 60.63, 62.18]	[0.0, 0.0, 0.03, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.02]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.86	62.19	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.2, 62.86]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.65, 62.19]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.9	62.22	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.12, 65.77, 61.24, 62.9]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.48, 64.54, 60.68, 62.22]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	8	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.01	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.1, 65.75, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.46, 64.52, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.02, 0.01]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	8	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_cap_contrast_only	eurosat	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_contrast_only	[224, 224]
