base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
55.56	62.82	62.05	0.05	[100.0, 96.11, 82.96, 72.31, 67.37, 60.62, 55.56, 55.56, 55.56, 55.56]	[nan, 99.83, 88.66, 88.71, 77.57, 74.49, 67.04, 65.65, 61.17, 62.82]	[100.0, 97.88, 86.84, 84.58, 75.49, 72.02, 65.26, 64.3, 60.5, 62.05]	[0.0, 0.16, 0.18, 0.2, 0.06, 0.15, 0.06, 0.05, 0.03, 0.05]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
57.42	62.49	61.95	0.11	[100.0, 96.28, 84.41, 74.11, 69.29, 62.6, 57.48, 57.42, 57.42, 57.42]	[nan, 99.94, 88.49, 88.57, 77.21, 74.22, 66.7, 65.31, 60.74, 62.49]	[100.0, 98.01, 87.2, 84.92, 75.6, 72.16, 65.27, 64.26, 60.35, 61.95]	[0.0, 0.08, 0.29, 0.11, 0.06, 0.24, 0.15, 0.16, 0.13, 0.11]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.43	62.78	62.1	0.11	[100.0, 96.28, 83.42, 73.01, 67.89, 61.31, 56.43, 56.43, 56.43, 56.43]	[nan, 99.89, 88.58, 88.65, 77.42, 74.37, 66.97, 65.6, 61.1, 62.78]	[100.0, 97.99, 86.93, 84.71, 75.48, 72.05, 65.33, 64.37, 60.54, 62.1]	[0.0, 0.07, 0.16, 0.11, 0.18, 0.07, 0.12, 0.08, 0.1, 0.11]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.49	62.73	62.07	0.06	[100.0, 96.28, 83.48, 73.3, 68.3, 61.61, 56.49, 56.49, 56.49, 56.49]	[nan, 99.89, 88.66, 88.67, 77.27, 74.35, 66.92, 65.55, 61.05, 62.73]	[100.0, 97.99, 87.0, 84.79, 75.44, 72.09, 65.31, 64.35, 60.51, 62.07]	[0.0, 0.07, 0.34, 0.25, 0.11, 0.33, 0.17, 0.12, 0.07, 0.06]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.78	62.69	62.06	0.1	[100.0, 96.34, 83.71, 73.3, 68.24, 61.72, 56.84, 56.78, 56.78, 56.78]	[nan, 100.0, 88.71, 88.73, 77.37, 74.47, 66.9, 65.53, 60.99, 62.69]	[100.0, 98.07, 87.12, 84.84, 75.52, 72.2, 65.35, 64.36, 60.49, 62.06]	[0.0, 0.0, 0.12, 0.06, 0.08, 0.18, 0.1, 0.11, 0.09, 0.1]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.78	62.67	62.05	0.11	[100.0, 96.34, 83.71, 73.24, 68.59, 61.66, 56.78, 56.78, 56.78, 56.78]	[nan, 100.0, 88.74, 88.74, 77.4, 74.35, 66.9, 65.63, 60.97, 62.67]	[100.0, 98.07, 87.14, 84.84, 75.61, 72.09, 65.33, 64.44, 60.47, 62.05]	[0.0, 0.0, 0.33, 0.17, 0.13, 0.31, 0.25, 0.19, 0.12, 0.11]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.43	62.76	62.09	0.06	[100.0, 96.34, 83.48, 73.24, 67.89, 61.37, 56.43, 56.43, 56.43, 56.43]	[nan, 99.94, 88.69, 88.67, 77.27, 74.38, 66.93, 65.54, 61.09, 62.76]	[100.0, 98.04, 87.03, 84.79, 75.36, 72.06, 65.31, 64.32, 60.53, 62.09]	[0.0, 0.04, 0.31, 0.24, 0.02, 0.21, 0.14, 0.11, 0.05, 0.06]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.19	62.75	62.06	0.04	[100.0, 96.34, 83.42, 73.18, 67.89, 61.14, 56.19, 56.19, 56.19, 56.19]	[nan, 99.89, 88.74, 88.71, 77.28, 74.43, 66.92, 65.62, 61.08, 62.75]	[100.0, 98.02, 87.04, 84.79, 75.37, 72.07, 65.26, 64.37, 60.5, 62.06]	[0.0, 0.04, 0.1, 0.02, 0.06, 0.12, 0.1, 0.09, 0.04, 0.04]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
56.49	62.75	62.08	0.01	[100.0, 96.34, 83.54, 73.36, 68.0, 61.43, 56.49, 56.49, 56.49, 56.49]	[nan, 99.94, 88.82, 88.8, 77.46, 74.48, 67.02, 65.6, 61.06, 62.75]	[100.0, 98.04, 87.13, 84.91, 75.54, 72.16, 65.39, 64.38, 60.51, 62.08]	[0.0, 0.04, 0.08, 0.03, 0.07, 0.07, 0.08, 0.06, 0.0, 0.01]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
55.79	62.91	62.15	0.1	[100.0, 96.28, 83.13, 72.89, 67.42, 60.79, 55.79, 55.79, 55.79, 55.79]	[nan, 100.0, 88.82, 88.78, 77.48, 74.58, 67.07, 65.81, 61.26, 62.91]	[100.0, 98.04, 87.0, 84.78, 75.43, 72.13, 65.32, 64.48, 60.61, 62.15]	[0.0, 0.04, 0.02, 0.11, 0.14, 0.07, 0.05, 0.07, 0.1, 0.1]	eurosat_cap_incft	eurosat	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	1	1	10	10	checkpoint/eurosat_cap_incft	[224, 224]
