base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
56.54	62.88	62.2	0.0	[100.0, 96.34, 83.25, 73.3, 67.89, 61.26, 56.54, 56.54, 56.54, 56.54]	[nan, 99.83, 88.88, 88.82, 77.51, 74.56, 67.09, 65.74, 61.22, 62.88]	[100.0, 97.99, 87.08, 84.91, 75.55, 72.19, 65.45, 64.51, 60.66, 62.2]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[224, 224]
47.64	46.43	46.56	0.0	[100.0, 84.47, 80.45, 51.13, 50.61, 49.74, 48.87, 48.34, 47.82, 47.64]	[nan, 99.48, 73.75, 76.12, 69.47, 60.82, 50.39, 45.15, 44.54, 46.43]	[100.0, 92.06, 75.98, 69.84, 65.58, 58.86, 50.14, 45.57, 44.93, 46.56]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[224, 224]
56.89	64.26	63.48	0.0	[100.0, 95.99, 89.53, 76.44, 72.43, 61.26, 56.89, 56.89, 56.89, 56.89]	[nan, 99.65, 90.13, 91.12, 81.37, 76.21, 68.99, 68.92, 62.9, 64.26]	[100.0, 97.83, 90.04, 87.5, 79.6, 73.61, 67.13, 67.33, 62.19, 63.48]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[224, 224]
68.7	48.93	51.03	1.16	[100.0, 95.87, 95.4, 83.77, 81.85, 70.8, 70.68, 70.68, 68.7, 68.7]	[nan, 98.38, 75.95, 78.9, 69.44, 65.61, 56.01, 47.27, 45.8, 48.93]	[100.0, 97.16, 82.25, 80.17, 72.01, 66.58, 58.3, 50.4, 48.53, 51.03]	[0.0, 0.41, 2.18, 1.76, 1.28, 2.13, 1.39, 1.28, 1.19, 1.16]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[384, 384]
55.85	63.06	62.3	0.0	[100.0, 93.19, 82.9, 73.12, 67.36, 61.61, 56.02, 55.85, 55.85, 55.85]	[nan, 100.0, 89.55, 88.94, 77.01, 75.83, 66.6, 66.2, 61.57, 63.06]	[100.0, 96.57, 87.46, 84.99, 75.07, 73.31, 64.95, 64.81, 60.89, 62.3]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[224, 224]
71.73	62.25	63.26	0.54	[100.0, 96.74, 95.11, 88.42, 82.09, 75.1, 73.82, 73.53, 71.73, 71.73]	[nan, 99.24, 89.36, 88.1, 76.63, 72.88, 64.59, 62.59, 60.69, 62.25]	[100.0, 97.99, 91.31, 88.25, 77.83, 73.36, 66.05, 64.04, 62.0, 63.26]	[0.0, 0.18, 0.62, 0.56, 1.53, 1.23, 1.24, 0.71, 0.72, 0.54]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[384, 384]
31.24	41.56	40.46	0.0	[100.0, 65.97, 62.65, 44.15, 41.71, 32.29, 31.59, 31.59, 31.24, 31.24]	[nan, 99.48, 54.01, 62.35, 58.93, 51.46, 43.68, 39.57, 39.64, 41.56]	[100.0, 83.14, 56.76, 57.73, 55.36, 48.01, 41.78, 38.49, 38.63, 40.46]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[224, 224]
63.35	62.72	62.79	1.11	[100.0, 97.32, 94.76, 83.83, 76.96, 68.53, 64.22, 63.88, 63.35, 63.35]	[nan, 99.19, 90.22, 89.8, 77.86, 73.15, 65.34, 63.05, 61.1, 62.72]	[100.0, 98.27, 91.77, 88.36, 77.73, 72.36, 65.19, 63.16, 61.37, 62.79]	[0.0, 0.29, 0.45, 0.57, 1.08, 0.85, 1.09, 1.1, 1.24, 1.11]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[384, 384]
67.6	59.94	60.75	1.65	[100.0, 97.15, 95.7, 85.28, 83.19, 70.86, 68.64, 67.6, 67.6, 67.6]	[nan, 99.59, 91.28, 90.96, 84.49, 78.4, 70.75, 64.09, 58.19, 59.94]	[100.0, 98.35, 92.77, 89.57, 84.27, 77.09, 70.45, 64.55, 59.31, 60.75]	[0.0, 0.19, 0.34, 0.45, 1.0, 1.48, 1.77, 1.38, 1.67, 1.65]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[384, 384]
70.74	50.78	52.9	0.71	[100.0, 97.61, 94.47, 88.19, 82.08, 74.17, 73.76, 73.42, 70.74, 70.74]	[nan, 99.59, 72.27, 74.53, 65.8, 62.46, 56.9, 54.81, 47.63, 50.78]	[100.0, 98.58, 79.5, 78.02, 69.21, 64.6, 59.51, 57.28, 50.38, 52.9]	[0.0, 0.07, 0.53, 0.2, 0.31, 0.39, 0.83, 0.56, 0.71, 0.71]	eurosat_prototype_fscit_different_shots	eurosat	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	1	1	10	10	checkpoint/eurosat_prototype_fscit_different_shots	[384, 384]
