base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
6.31	16.03	14.76	0.0	[17.72, 15.02, 13.21, 12.01, 9.31, 8.11, 7.21, 6.61, 6.31, 6.31]	[nan, 12.91, 9.45, 15.1, 18.38, 18.36, 16.1, 16.55, 16.01, 16.03]	[15.26, 14.46, 10.7, 17.56, 16.99, 16.65, 14.42, 15.32, 14.93, 14.76]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[224, 224]
8.71	15.2	14.56	0.0	[19.52, 18.32, 14.41, 12.61, 12.31, 11.41, 10.21, 9.91, 9.01, 8.71]	[nan, 13.21, 10.64, 15.4, 18.53, 18.54, 16.05, 15.86, 15.04, 15.2]	[16.76, 15.96, 11.9, 18.21, 17.82, 17.35, 14.88, 15.14, 14.37, 14.56]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[224, 224]
1.5	17.2	15.32	0.0	[21.62, 15.62, 10.21, 6.31, 4.8, 3.6, 1.5, 1.5, 1.5, 1.5]	[nan, 16.82, 14.54, 16.9, 20.41, 19.44, 17.25, 17.66, 16.69, 17.2]	[19.52, 17.12, 13.1, 16.76, 17.85, 16.8, 14.67, 15.62, 15.0, 15.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[224, 224]
3.5	17.19	15.51	0.26	[22.12, 17.32, 12.31, 8.21, 6.9, 6.0, 3.6, 3.5, 3.5, 3.5]	[nan, 17.62, 14.09, 16.87, 19.91, 19.36, 17.18, 17.69, 16.75, 17.19]	[19.77, 18.34, 13.5, 17.48, 17.71, 17.13, 14.91, 15.88, 15.28, 15.51]	[0.35, 1.72, 0.57, 1.02, 0.2, 0.47, 0.33, 0.37, 0.39, 0.26]	fgvc_aircraft_baseline_fscit	fgvc_aircraft	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline_fscit	[224, 224]
8.41	18.97	17.74	0.0	[20.42, 15.02, 11.11, 9.91, 9.61, 9.61, 8.71, 8.41, 8.41, 8.41]	[nan, 20.12, 12.29, 16.3, 19.95, 20.58, 19.0, 19.85, 18.52, 18.97]	[18.02, 19.22, 11.9, 18.35, 17.89, 18.75, 17.13, 18.4, 17.4, 17.74]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[224, 224]
9.01	20.13	18.75	0.99	[18.92, 16.62, 14.61, 13.61, 11.61, 11.41, 10.01, 9.11, 9.01, 9.01]	[nan, 18.52, 13.04, 17.2, 21.88, 21.22, 20.25, 21.06, 20.32, 20.13]	[16.77, 19.34, 13.57, 19.78, 20.17, 19.58, 18.55, 19.57, 19.07, 18.75]	[2.87, 2.84, 1.83, 1.43, 1.39, 1.21, 0.75, 0.98, 0.88, 0.99]	fgvc_aircraft_baseline_fscit	fgvc_aircraft	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline_fscit	[384, 384]
9.61	17.43	16.38	0.0	[18.32, 15.92, 12.91, 11.71, 11.41, 10.81, 10.51, 10.21, 9.61, 9.61]	[nan, 22.52, 12.44, 17.2, 20.33, 21.06, 19.4, 19.2, 17.7, 17.43]	[16.27, 19.68, 12.6, 19.57, 18.87, 19.35, 17.79, 18.04, 16.8, 16.38]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[384, 384]
1.5	17.2	15.32	0.0	[21.62, 15.62, 10.21, 6.31, 4.8, 3.6, 1.5, 1.5, 1.5, 1.5]	[nan, 16.82, 14.54, 16.9, 20.41, 19.44, 17.25, 17.66, 16.69, 17.2]	[19.52, 17.12, 13.1, 16.76, 17.85, 16.8, 14.67, 15.62, 15.0, 15.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline_fscit	fgvc_aircraft	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline_fscit	[224, 224]
7.21	14.5	13.5	0.0	[20.72, 17.42, 15.32, 14.41, 12.61, 12.61, 8.41, 7.81, 7.51, 7.21]	[nan, 12.91, 9.9, 13.9, 16.58, 15.66, 15.5, 15.73, 14.47, 14.5]	[17.25, 15.31, 11.7, 16.4, 16.44, 15.15, 14.08, 14.63, 13.7, 13.5]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[224, 224]
9.01	16.8	15.71	0.0	[18.92, 14.41, 12.31, 11.41, 10.81, 10.81, 9.91, 9.61, 9.01, 9.01]	[nan, 12.91, 9.15, 13.6, 16.95, 17.46, 17.0, 17.7, 16.95, 16.8]	[16.77, 14.55, 10.2, 16.05, 16.23, 16.35, 15.71, 16.73, 16.07, 15.71]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_baseline	fgvc_aircraft	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	10	10	100	10	checkpoint/fgvc_aircraft_baseline	[384, 384]
