base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
1.1	17.19	15.27	0.02	[21.12, 10.31, 7.31, 4.6, 3.1, 1.8, 1.5, 1.5, 1.1, 1.1]	[nan, 18.12, 14.94, 17.3, 20.43, 19.42, 17.22, 17.63, 16.66, 17.19]	[19.45, 15.53, 12.4, 16.64, 17.54, 16.48, 14.64, 15.59, 14.93, 15.27]	[0.32, 0.88, 0.14, 0.12, 0.05, 0.08, 0.02, 0.02, 0.03, 0.02]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.2	17.22	15.31	0.01	[21.32, 8.11, 6.51, 4.2, 2.8, 1.5, 1.5, 1.5, 1.2, 1.2]	[nan, 18.52, 15.19, 17.53, 20.43, 19.38, 17.2, 17.62, 16.69, 17.22]	[19.88, 14.73, 12.3, 16.71, 17.48, 16.4, 14.63, 15.58, 14.97, 15.31]	[0.31, 0.18, 0.08, 0.09, 0.03, 0.04, 0.04, 0.03, 0.03, 0.01]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.5	17.2	15.32	0.0	[21.72, 15.12, 10.01, 6.11, 4.6, 3.4, 1.5, 1.5, 1.5, 1.5]	[nan, 16.82, 14.54, 16.9, 20.41, 19.44, 17.25, 17.66, 16.69, 17.2]	[19.6, 16.89, 13.03, 16.71, 17.81, 16.77, 14.67, 15.62, 15.0, 15.32]	[0.12, 0.07, 0.05, 0.03, 0.03, 0.02, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.1	17.5	15.55	0.15	[23.62, 7.91, 6.11, 3.8, 2.7, 1.2, 1.2, 1.2, 1.1, 1.1]	[nan, 19.52, 15.49, 17.77, 20.51, 19.62, 17.4, 17.86, 16.97, 17.5]	[26.19, 15.11, 12.37, 16.78, 17.53, 16.55, 14.75, 15.77, 15.21, 15.55]	[2.47, 0.18, 0.12, 0.03, 0.1, 0.08, 0.06, 0.1, 0.14, 0.15]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
0.9	17.25	15.3	0.03	[21.02, 7.11, 5.61, 3.3, 2.5, 1.3, 1.3, 1.3, 0.9, 0.9]	[nan, 18.32, 15.04, 17.37, 20.48, 19.42, 17.25, 17.67, 16.74, 17.25]	[22.52, 14.1, 11.9, 16.38, 17.46, 16.4, 14.64, 15.62, 14.98, 15.3]	[2.18, 0.19, 0.08, 0.09, 0.03, 0.0, 0.02, 0.06, 0.03, 0.03]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.5	17.2	15.32	0.0	[21.62, 15.02, 9.91, 6.01, 4.5, 3.3, 1.5, 1.5, 1.5, 1.5]	[nan, 16.82, 14.54, 16.9, 20.41, 19.44, 17.25, 17.66, 16.69, 17.2]	[19.52, 16.84, 13.0, 16.69, 17.79, 16.75, 14.67, 15.62, 15.0, 15.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.5	17.2	15.32	0.0	[21.72, 15.12, 10.01, 6.11, 4.6, 3.4, 1.5, 1.5, 1.5, 1.5]	[nan, 16.82, 14.54, 16.9, 20.41, 19.44, 17.25, 17.66, 16.69, 17.2]	[19.6, 16.89, 13.03, 16.71, 17.81, 16.77, 14.67, 15.62, 15.0, 15.32]	[0.12, 0.07, 0.05, 0.03, 0.03, 0.02, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.5	17.2	15.32	0.0	[21.62, 15.02, 9.91, 6.01, 4.5, 3.3, 1.5, 1.5, 1.5, 1.5]	[nan, 16.82, 14.54, 16.9, 20.41, 19.44, 17.25, 17.66, 16.69, 17.2]	[19.52, 16.84, 13.0, 16.69, 17.79, 16.75, 14.67, 15.62, 15.0, 15.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.1	17.19	15.27	0.03	[20.62, 8.21, 6.51, 4.1, 2.8, 1.4, 1.4, 1.4, 1.1, 1.1]	[nan, 18.42, 15.14, 17.47, 20.43, 19.4, 17.22, 17.6, 16.66, 17.19]	[18.97, 14.72, 12.27, 16.64, 17.48, 16.4, 14.63, 15.55, 14.93, 15.27]	[0.42, 0.07, 0.05, 0.03, 0.03, 0.04, 0.04, 0.02, 0.03, 0.03]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
1.8	17.19	15.34	0.04	[21.62, 8.21, 6.31, 4.4, 3.4, 2.2, 2.1, 2.1, 1.8, 1.8]	[nan, 18.42, 15.09, 17.43, 20.46, 19.38, 17.22, 17.63, 16.67, 17.19]	[24.87, 14.7, 12.17, 16.69, 17.61, 16.52, 14.72, 15.67, 15.02, 15.34]	[4.88, 0.29, 0.31, 0.2, 0.04, 0.1, 0.07, 0.06, 0.04, 0.04]	fgvc_aircraft_cap_contrast_only	fgvc_aircraft	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_cap_contrast_only	[224, 224]
