base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
0.0	19.67	17.37	0.29	[31.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 25.63, 16.39, 19.03, 22.56, 22.6, 20.9, 20.49, 19.64, 19.67]	[30.49, 14.45, 10.93, 16.88, 18.43, 18.83, 17.42, 17.84, 17.46, 17.37]	[1.59, 0.9, 0.26, 1.02, 0.97, 0.73, 0.71, 0.41, 0.38, 0.29]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
7.21	7.89	7.67	4.76	[15.12, 7.21, 7.21, 7.21, 7.21, 7.21, 7.21, 7.21, 7.21, 7.21]	[nan, 3.3, 1.65, 4.2, 7.33, 7.9, 6.85, 7.4, 7.18, 7.89]	[25.33, 5.0, 3.5, 7.42, 7.76, 7.78, 6.71, 7.3, 7.18, 7.67]	[0.31, 0.31, 0.22, 0.2, 4.12, 4.34, 3.77, 4.3, 4.3, 4.76]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
1.2	0.98	0.98	0.09	[11.61, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2, 1.2]	[nan, 9.31, 4.75, 3.17, 2.38, 1.82, 1.52, 1.3, 1.13, 0.98]	[23.64, 5.0, 3.57, 2.55, 2.1, 1.72, 1.43, 1.27, 1.13, 0.98]	[2.85, 0.24, 0.19, 0.13, 0.11, 0.09, 0.08, 0.07, 0.07, 0.09]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
0.0	20.94	18.49	0.45	[28.53, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 26.23, 18.74, 21.33, 24.98, 24.3, 22.05, 21.77, 20.8, 20.94]	[27.14, 14.93, 12.5, 19.49, 20.46, 20.25, 18.46, 19.03, 18.49, 18.49]	[0.43, 0.11, 0.08, 0.46, 0.25, 0.25, 0.41, 0.43, 0.5, 0.45]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
0.0	20.03	17.68	0.49	[30.63, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 25.63, 16.69, 19.23, 23.16, 23.2, 21.65, 21.08, 20.05, 20.03]	[28.99, 14.59, 11.13, 17.07, 19.07, 19.33, 18.04, 18.32, 17.82, 17.68]	[0.47, 0.4, 0.91, 1.15, 0.78, 0.34, 0.24, 0.36, 0.39, 0.49]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
0.0	20.38	17.98	0.43	[27.53, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 25.43, 17.79, 20.6, 24.38, 24.0, 21.57, 21.09, 20.15, 20.38]	[26.99, 14.57, 11.9, 18.78, 20.0, 20.0, 18.11, 18.43, 17.91, 17.98]	[1.14, 0.35, 0.22, 0.16, 0.4, 0.18, 0.25, 0.25, 0.3, 0.43]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
0.0	1.18	1.04	0.08	[23.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 9.81, 5.35, 3.6, 2.7, 2.16, 1.8, 1.53, 1.32, 1.18]	[25.0, 4.67, 3.57, 2.57, 2.12, 1.8, 1.5, 1.32, 1.18, 1.04]	[0.0, 0.18, 0.31, 0.2, 0.16, 0.14, 0.12, 0.11, 0.09, 0.08]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
5.51	19.61	17.86	1.37	[28.03, 6.61, 6.61, 6.51, 6.11, 5.81, 5.71, 5.71, 5.51, 5.51]	[nan, 21.32, 15.29, 19.03, 22.73, 22.51, 20.25, 20.23, 19.25, 19.61]	[27.1, 14.86, 12.4, 19.25, 19.91, 19.73, 17.67, 18.37, 17.72, 17.86]	[1.3, 0.81, 0.82, 1.21, 1.35, 1.86, 2.24, 1.79, 1.62, 1.37]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
0.3	1.18	1.07	0.09	[16.52, 0.5, 0.4, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3]	[nan, 9.71, 5.1, 3.37, 2.6, 2.0, 1.77, 1.54, 1.25, 1.18]	[25.08, 4.93, 3.53, 3.88, 2.11, 1.72, 1.51, 1.37, 1.15, 1.07]	[0.12, 0.44, 0.45, 2.16, 0.13, 0.06, 0.08, 0.05, 0.06, 0.09]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
0.0	3.29	2.9	1.71	[10.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 10.81, 6.45, 5.03, 4.45, 4.36, 3.47, 3.86, 3.46, 3.29]	[25.0, 5.17, 4.3, 3.69, 3.82, 3.63, 2.89, 3.41, 3.08, 2.9]	[0.0, 0.65, 0.91, 0.97, 1.29, 1.55, 1.88, 2.2, 2.0, 1.71]	fgvc_aircraft_contrast_and_calibration	fgvc_aircraft	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/fgvc_aircraft_contrast_and_calibration	[224, 224]
