base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
8.61	20.1	18.64	0.32	[18.02, 15.01, 11.01, 10.41, 9.61, 9.51, 9.31, 8.91, 8.71, 8.61]	[nan, 22.02, 12.99, 16.63, 21.06, 20.62, 19.3, 20.33, 19.64, 20.1]	[17.03, 20.56, 12.33, 18.47, 19.0, 18.77, 17.91, 18.91, 18.42, 18.64]	[0.41, 0.64, 0.66, 0.7, 0.41, 0.33, 0.6, 0.2, 0.21, 0.32]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[384, 384]
2.1	17.4	15.56	0.0	[18.92, 16.82, 11.11, 7.81, 5.41, 5.41, 3.9, 3.0, 2.1, 2.1]	[nan, 11.41, 11.54, 14.6, 18.9, 18.3, 16.7, 17.45, 16.61, 17.4]	[17.27, 14.16, 11.4, 16.64, 16.91, 16.15, 14.63, 15.52, 15.0, 15.56]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[224, 224]
2.1	14.0	12.56	0.0	[16.22, 11.11, 7.21, 3.9, 2.7, 2.4, 2.1, 2.1, 2.1, 2.1]	[nan, 15.32, 11.54, 14.4, 18.38, 18.0, 14.95, 15.05, 14.17, 14.0]	[15.53, 14.34, 10.1, 14.84, 15.49, 15.4, 12.75, 13.26, 12.83, 12.56]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[224, 224]
8.11	21.11	19.42	0.35	[16.72, 14.61, 12.51, 11.51, 10.31, 10.01, 8.21, 8.21, 8.11, 8.11]	[nan, 19.12, 13.29, 18.7, 22.93, 22.78, 21.45, 21.87, 21.23, 21.11]	[14.76, 18.2, 13.03, 20.35, 20.92, 20.65, 19.41, 19.93, 19.78, 19.42]	[1.43, 1.17, 1.02, 0.53, 0.77, 0.54, 0.48, 0.37, 0.35, 0.35]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[384, 384]
6.11	13.95	12.96	0.22	[16.02, 12.81, 10.41, 9.01, 8.31, 8.21, 7.51, 6.81, 6.31, 6.11]	[nan, 14.01, 11.09, 14.17, 16.48, 16.38, 15.35, 15.1, 14.4, 13.95]	[15.02, 13.5, 10.87, 15.26, 15.08, 15.02, 13.86, 14.14, 13.5, 12.96]	[0.94, 0.93, 0.41, 0.77, 0.44, 0.46, 0.4, 0.39, 0.1, 0.22]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[384, 384]
7.81	20.21	18.72	0.52	[19.02, 15.31, 11.61, 10.91, 9.91, 9.71, 8.81, 8.31, 7.81, 7.81]	[nan, 19.62, 13.69, 17.7, 22.06, 21.5, 20.35, 21.13, 20.37, 20.21]	[16.34, 19.17, 13.0, 19.39, 19.88, 19.53, 18.4, 19.5, 18.98, 18.72]	[1.83, 0.89, 1.22, 1.15, 0.91, 0.95, 0.57, 0.89, 0.75, 0.52]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[384, 384]
11.01	16.77	15.95	0.28	[16.92, 15.22, 13.81, 13.21, 12.51, 12.21, 11.61, 11.21, 11.01, 11.01]	[nan, 15.82, 12.09, 16.67, 19.7, 19.8, 17.87, 17.67, 16.65, 16.77]	[16.11, 15.72, 12.67, 19.01, 18.61, 18.53, 16.75, 16.66, 16.02, 15.95]	[0.47, 1.1, 1.11, 1.15, 1.02, 0.94, 0.87, 0.35, 0.22, 0.28]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[384, 384]
1.5	15.6	13.91	0.0	[20.72, 14.71, 8.11, 5.41, 3.6, 2.1, 1.8, 1.8, 1.5, 1.5]	[nan, 17.12, 12.59, 15.1, 19.13, 18.48, 16.15, 16.12, 14.89, 15.6]	[21.82, 16.91, 11.1, 14.97, 16.49, 15.75, 13.96, 14.24, 13.4, 13.91]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[224, 224]
2.4	12.8	11.53	0.0	[12.61, 9.61, 6.31, 3.9, 3.3, 3.3, 2.4, 2.4, 2.4, 2.4]	[nan, 13.21, 11.24, 14.4, 17.78, 17.88, 15.35, 14.66, 13.84, 12.8]	[11.52, 12.03, 9.6, 14.4, 15.41, 15.45, 13.46, 12.96, 12.57, 11.53]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[224, 224]
2.7	12.03	10.94	0.0	[11.11, 8.11, 5.41, 5.11, 4.2, 4.2, 2.7, 2.7, 2.7, 2.7]	[nan, 8.41, 9.45, 13.4, 15.6, 15.96, 13.9, 13.67, 12.52, 12.03]	[11.28, 8.3, 8.1, 13.98, 13.66, 14.0, 12.13, 12.22, 11.43, 10.94]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	fgvc_aircraft_prototype_fscit_different_shots	fgvc_aircraft	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/fgvc_aircraft_prototype_fscit_different_shots	[224, 224]
