base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
58.04	65.59	64.83	0.0	[80.84, 75.24, 73.53, 71.35, 65.56, 64.65, 63.78, 60.84, 59.71, 58.04]	[nan, 77.88, 79.96, 78.99, 75.99, 73.7, 73.39, 70.62, 68.36, 65.59]	[81.18, 76.3, 77.54, 76.83, 73.71, 72.05, 71.88, 69.33, 67.38, 64.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[224, 224]
63.02	72.02	71.09	0.0	[82.29, 77.2, 75.71, 72.76, 69.13, 68.04, 67.09, 65.71, 64.04, 63.02]	[nan, 82.76, 83.82, 82.87, 79.83, 77.84, 77.89, 75.62, 73.43, 72.02]	[82.57, 79.79, 80.85, 80.09, 77.48, 76.03, 76.18, 74.32, 72.35, 71.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[224, 224]
60.65	70.2	69.19	0.0	[78.0, 70.55, 69.05, 67.27, 65.13, 64.47, 63.93, 62.33, 61.67, 60.65]	[nan, 80.68, 80.54, 79.73, 77.46, 76.05, 76.52, 74.21, 71.82, 70.2]	[78.36, 75.45, 76.5, 76.42, 74.84, 73.99, 74.6, 72.63, 70.64, 69.19]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[224, 224]
69.02	72.14	71.84	0.0	[82.55, 78.62, 77.96, 76.55, 73.64, 72.95, 71.96, 70.36, 69.71, 69.02]	[nan, 78.08, 81.04, 81.56, 79.0, 77.57, 77.61, 75.61, 74.07, 72.14]	[82.86, 78.15, 79.76, 80.07, 77.77, 76.68, 76.69, 74.95, 73.6, 71.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[384, 384]
51.02	65.04	63.57	0.0	[77.02, 70.0, 66.62, 63.16, 59.82, 57.6, 56.51, 54.87, 52.29, 51.02]	[nan, 76.04, 77.82, 76.08, 72.86, 70.53, 70.92, 68.67, 66.51, 65.04]	[77.39, 72.62, 73.63, 72.46, 69.87, 68.06, 68.56, 66.83, 64.86, 63.57]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[224, 224]
59.09	68.65	67.65	0.0	[79.82, 73.78, 72.58, 69.49, 67.02, 65.71, 64.22, 61.35, 60.11, 59.09]	[nan, 76.92, 78.76, 78.71, 75.54, 73.63, 74.06, 72.01, 70.46, 68.65]	[80.18, 75.13, 76.44, 76.13, 73.59, 72.11, 72.46, 70.61, 69.27, 67.65]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[384, 384]
52.91	64.18	63.0	0.0	[76.36, 67.16, 64.8, 62.18, 59.6, 57.85, 56.51, 55.71, 53.93, 52.91]	[nan, 75.48, 74.56, 74.87, 72.24, 70.61, 70.63, 68.24, 65.88, 64.18]	[76.75, 71.11, 71.04, 71.41, 69.45, 68.25, 68.39, 66.58, 64.49, 63.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_baseline	food101	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	11	10	101	10	checkpoint/food101_baseline	[224, 224]
59.66	68.86	67.89	0.67	[80.3, 72.21, 71.33, 69.63, 67.17, 65.93, 64.41, 62.4, 61.03, 59.66]	[nan, 78.09, 79.11, 79.03, 75.62, 73.82, 74.19, 72.26, 70.49, 68.86]	[80.65, 74.89, 76.23, 76.41, 73.7, 72.31, 72.61, 70.97, 69.41, 67.89]	[0.79, 1.08, 0.67, 0.57, 0.72, 0.73, 0.73, 0.76, 0.73, 0.67]	food101_baseline_fscit	food101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_baseline_fscit	[384, 384]
68.18	75.42	74.66	0.14	[82.21, 78.49, 77.1, 75.62, 73.74, 73.19, 72.3, 70.27, 69.19, 68.18]	[nan, 84.36, 83.99, 83.73, 81.32, 80.37, 80.68, 78.52, 76.71, 75.42]	[82.52, 81.31, 81.56, 81.57, 79.65, 79.05, 79.36, 77.44, 75.84, 74.66]	[0.34, 0.31, 0.26, 0.08, 0.07, 0.04, 0.13, 0.09, 0.1, 0.14]	food101_baseline_fscit	food101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_baseline_fscit	[384, 384]
59.97	68.85	67.93	0.18	[80.01, 72.9, 72.12, 70.21, 67.43, 66.18, 64.7, 62.64, 61.42, 59.97]	[nan, 78.56, 79.05, 78.79, 75.44, 73.82, 74.26, 72.11, 70.29, 68.85]	[80.37, 75.45, 76.46, 76.39, 73.6, 72.36, 72.71, 70.86, 69.28, 67.93]	[1.12, 0.86, 0.53, 0.3, 0.14, 0.13, 0.21, 0.24, 0.22, 0.18]	food101_baseline_fscit	food101	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_baseline_fscit	[384, 384]
