base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
57.88	72.16	70.66	0.77	[81.82, 73.91, 71.94, 69.06, 65.18, 64.11, 62.51, 60.79, 58.92, 57.88]	[nan, 82.65, 83.97, 83.08, 80.06, 78.05, 78.06, 75.75, 73.59, 72.16]	[82.13, 78.03, 79.63, 79.26, 76.77, 75.49, 75.6, 73.76, 71.87, 70.66]	[1.51, 1.3, 1.09, 1.0, 0.89, 0.83, 0.93, 0.89, 0.7, 0.77]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
60.95	72.75	71.51	0.04	[82.17, 76.41, 74.96, 72.61, 67.95, 66.73, 65.19, 63.45, 61.95, 60.95]	[nan, 84.11, 84.89, 83.92, 80.85, 78.76, 78.8, 76.41, 74.21, 72.75]	[82.43, 80.1, 81.34, 80.86, 78.01, 76.55, 76.65, 74.69, 72.78, 71.51]	[0.56, 0.12, 0.07, 0.05, 0.05, 0.03, 0.09, 0.07, 0.1, 0.04]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
60.62	72.43	71.19	0.18	[81.94, 76.3, 74.81, 71.47, 67.56, 66.54, 64.97, 63.31, 61.66, 60.62]	[nan, 83.85, 84.61, 83.6, 80.44, 78.4, 78.47, 76.21, 73.9, 72.43]	[82.15, 79.9, 81.09, 80.32, 77.62, 76.23, 76.34, 74.5, 72.48, 71.19]	[0.78, 0.75, 0.48, 0.3, 0.32, 0.31, 0.3, 0.3, 0.22, 0.18]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
59.58	72.52	71.17	0.26	[83.24, 76.18, 74.39, 71.32, 67.02, 66.06, 64.19, 62.34, 60.5, 59.58]	[nan, 84.6, 84.78, 83.69, 80.66, 78.57, 78.57, 76.14, 73.91, 72.52]	[83.48, 80.18, 81.06, 80.34, 77.67, 76.28, 76.31, 74.31, 72.34, 71.17]	[0.51, 0.43, 0.52, 0.37, 0.3, 0.29, 0.28, 0.35, 0.32, 0.26]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
61.26	72.52	71.34	0.07	[82.3, 77.33, 75.58, 72.56, 68.22, 67.29, 65.75, 64.01, 62.27, 61.26]	[nan, 83.32, 84.38, 83.65, 80.62, 78.46, 78.47, 76.17, 73.9, 72.52]	[82.53, 80.17, 81.2, 80.64, 77.91, 76.42, 76.47, 74.56, 72.55, 71.34]	[0.21, 0.13, 0.08, 0.08, 0.03, 0.14, 0.09, 0.07, 0.04, 0.07]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
59.71	72.56	71.22	0.25	[82.98, 75.52, 73.72, 71.17, 66.74, 65.63, 63.9, 62.36, 60.8, 59.71]	[nan, 83.61, 84.21, 83.34, 80.56, 78.43, 78.44, 76.14, 74.0, 72.56]	[83.15, 79.4, 80.45, 80.06, 77.53, 76.08, 76.16, 74.32, 72.46, 71.22]	[0.42, 0.74, 0.67, 0.58, 0.42, 0.33, 0.35, 0.27, 0.21, 0.25]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
60.41	72.29	71.05	0.07	[81.7, 76.29, 74.76, 71.73, 67.37, 66.11, 64.62, 62.96, 61.35, 60.41]	[nan, 83.12, 84.28, 83.35, 80.24, 78.19, 78.19, 75.9, 73.69, 72.29]	[81.96, 79.55, 80.86, 80.2, 77.41, 75.97, 76.05, 74.19, 72.26, 71.05]	[0.72, 0.13, 0.1, 0.08, 0.06, 0.08, 0.11, 0.11, 0.08, 0.07]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
61.78	72.74	71.59	0.11	[83.59, 77.83, 76.11, 73.13, 68.91, 67.64, 66.05, 64.39, 62.73, 61.78]	[nan, 83.99, 84.75, 83.7, 80.67, 78.67, 78.68, 76.4, 74.13, 72.74]	[83.77, 80.75, 81.62, 80.82, 78.08, 76.64, 76.69, 74.81, 72.81, 71.59]	[0.2, 0.09, 0.04, 0.01, 0.16, 0.08, 0.09, 0.1, 0.08, 0.11]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
60.98	72.09	70.93	0.07	[82.04, 76.19, 74.71, 71.83, 67.56, 66.5, 65.16, 63.53, 61.89, 60.98]	[nan, 82.97, 84.07, 83.1, 80.16, 78.09, 78.16, 75.73, 73.49, 72.09]	[82.3, 79.44, 80.72, 80.05, 77.39, 75.96, 76.11, 74.12, 72.15, 70.93]	[0.84, 0.17, 0.11, 0.13, 0.1, 0.18, 0.16, 0.09, 0.09, 0.07]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
59.44	72.43	71.07	0.47	[82.66, 76.05, 74.2, 70.88, 66.54, 65.66, 64.21, 62.26, 60.31, 59.44]	[nan, 83.93, 84.57, 83.65, 80.66, 78.33, 78.34, 76.06, 73.82, 72.43]	[82.88, 79.8, 80.84, 80.18, 77.57, 76.01, 76.13, 74.23, 72.24, 71.07]	[0.42, 0.5, 0.39, 0.35, 0.45, 0.54, 0.47, 0.52, 0.52, 0.47]	food101_cap_incft	food101	./data	cap_incft	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	11	10	101	10	checkpoint/food101_cap_incft	[224, 224]
