base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
49.53	61.52	60.25	0.0	[70.36, 63.38, 60.44, 58.44, 54.69, 53.2, 52.15, 51.53, 50.69, 49.53]	[nan, 72.36, 74.76, 75.51, 70.91, 67.82, 66.38, 63.97, 63.2, 61.52]	[70.82, 67.47, 69.5, 70.79, 67.48, 65.24, 64.23, 62.36, 61.75, 60.25]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[224, 224]
54.58	67.63	66.26	0.0	[80.8, 71.27, 69.89, 66.47, 63.09, 61.56, 60.25, 58.69, 56.84, 54.58]	[nan, 80.28, 78.92, 78.95, 75.56, 72.94, 72.87, 70.33, 68.83, 67.63]	[81.14, 75.49, 75.64, 75.53, 72.86, 70.88, 70.9, 68.82, 67.45, 66.26]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[224, 224]
50.76	52.06	52.0	0.0	[74.62, 68.4, 62.55, 60.44, 56.73, 55.85, 54.8, 53.16, 51.35, 50.76]	[nan, 67.2, 64.54, 63.87, 59.39, 58.3, 58.13, 55.99, 53.87, 52.06]	[74.89, 67.81, 63.82, 62.93, 58.84, 57.88, 57.63, 55.67, 53.65, 52.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[224, 224]
58.76	69.66	68.51	0.2	[81.37, 69.81, 68.96, 67.72, 65.32, 64.57, 63.16, 61.41, 60.27, 58.76]	[nan, 78.99, 79.51, 79.07, 75.9, 74.18, 75.14, 71.31, 70.79, 69.66]	[81.63, 74.18, 75.75, 76.02, 73.61, 72.43, 73.27, 70.02, 69.58, 68.51]	[0.6, 0.65, 0.65, 0.47, 0.37, 0.23, 0.15, 0.18, 0.22, 0.2]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[384, 384]
58.58	72.29	70.85	0.0	[82.36, 74.33, 73.02, 69.56, 66.0, 64.69, 63.85, 61.93, 60.15, 58.58]	[nan, 83.8, 84.52, 83.12, 80.12, 78.74, 78.73, 76.18, 73.55, 72.29]	[82.68, 78.89, 80.44, 79.48, 77.04, 76.18, 76.4, 74.3, 71.99, 70.85]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[224, 224]
55.18	54.62	54.76	0.06	[73.87, 67.48, 63.16, 59.82, 58.27, 58.05, 57.48, 56.7, 56.29, 55.18]	[nan, 60.85, 59.64, 59.86, 56.86, 57.24, 59.25, 57.08, 56.14, 54.62]	[74.27, 64.4, 60.96, 59.88, 57.05, 57.28, 58.88, 57.11, 56.24, 54.76]	[0.76, 0.28, 0.16, 0.56, 0.13, 0.11, 0.18, 0.14, 0.15, 0.06]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[384, 384]
63.02	72.02	71.09	0.0	[82.29, 77.2, 75.71, 72.76, 69.13, 68.04, 67.09, 65.71, 64.04, 63.02]	[nan, 82.76, 83.82, 82.87, 79.83, 77.84, 77.89, 75.62, 73.43, 72.02]	[82.57, 79.79, 80.85, 80.09, 77.48, 76.03, 76.18, 74.32, 72.35, 71.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[224, 224]
63.21	74.74	73.52	0.57	[81.22, 74.6, 73.32, 71.61, 69.53, 68.92, 67.87, 66.01, 64.62, 63.21]	[nan, 83.52, 84.11, 83.49, 80.52, 80.11, 80.28, 78.06, 75.89, 74.74]	[81.56, 78.89, 80.29, 80.31, 78.14, 78.08, 78.35, 76.46, 74.57, 73.52]	[0.12, 0.32, 0.44, 0.23, 0.34, 0.26, 0.47, 0.6, 0.57, 0.57]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[384, 384]
58.11	62.4	61.98	0.19	[73.7, 66.89, 65.43, 64.71, 61.72, 61.08, 60.3, 59.25, 58.99, 58.11]	[nan, 73.89, 74.19, 72.87, 69.59, 67.28, 68.25, 64.24, 63.08, 62.4]	[73.99, 70.07, 70.96, 70.59, 67.87, 66.15, 67.0, 63.64, 62.65, 61.98]	[1.2, 0.46, 0.38, 0.19, 0.1, 0.16, 0.07, 0.1, 0.1, 0.19]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[384, 384]
64.47	74.14	73.13	0.0	[83.85, 78.58, 77.31, 75.2, 71.75, 70.76, 69.64, 68.22, 66.25, 64.47]	[nan, 85.04, 85.92, 84.93, 82.34, 80.22, 80.17, 77.89, 75.87, 74.14]	[84.11, 81.75, 82.9, 82.35, 80.02, 78.48, 78.52, 76.61, 74.76, 73.13]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	food101_prototype_fscit_different_shots	food101	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	11	10	101	10	checkpoint/food101_prototype_fscit_different_shots	[224, 224]
