base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
14.06	12.43	12.84	0.0	[30.73, 16.52, 15.99, 14.97, 14.97, 14.71, 14.24, 14.18, 14.09, 14.06]	[nan, 20.15, 24.23, 24.5, 22.8, 17.57, 14.86, 14.07, 12.84, 12.43]	[30.49, 17.88, 20.52, 20.74, 19.86, 16.54, 14.65, 14.07, 13.19, 12.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[224, 224]
15.41	13.18	13.78	0.0	[30.44, 17.95, 17.69, 16.32, 16.29, 16.02, 15.47, 15.44, 15.41, 15.41]	[nan, 21.32, 26.55, 25.52, 23.94, 18.76, 15.43, 15.05, 13.68, 13.18]	[30.31, 19.23, 22.57, 21.9, 21.06, 17.76, 15.44, 15.13, 14.16, 13.78]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[224, 224]
13.65	16.3	15.53	0.0	[33.98, 20.61, 18.63, 16.29, 16.08, 15.0, 14.36, 14.06, 13.68, 13.65]	[nan, 22.45, 35.0, 30.25, 26.79, 20.51, 17.72, 17.03, 16.86, 16.3]	[33.89, 21.29, 27.6, 24.74, 22.66, 18.5, 16.6, 16.05, 15.98, 15.53]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[224, 224]
17.87	9.45	11.72	0.0	[33.6, 28.54, 25.7, 21.46, 20.73, 20.06, 18.95, 18.92, 17.89, 17.87]	[nan, 12.21, 21.91, 22.88, 16.27, 12.8, 10.75, 10.13, 9.79, 9.45]	[33.51, 22.42, 23.65, 22.32, 17.93, 15.24, 13.44, 12.85, 12.04, 11.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[224, 224]
13.65	16.3	15.53	0.0	[33.98, 20.61, 18.63, 16.29, 16.08, 15.0, 14.36, 14.06, 13.68, 13.65]	[nan, 22.45, 35.0, 30.25, 26.79, 20.51, 17.72, 17.03, 16.86, 16.3]	[33.89, 21.29, 27.6, 24.74, 22.66, 18.5, 16.6, 16.05, 15.98, 15.53]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline_fscit	gtsrb	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_baseline_fscit	[224, 224]
13.48	14.83	14.48	0.0	[31.02, 16.9, 16.46, 15.44, 15.26, 14.91, 14.39, 14.18, 13.51, 13.48]	[nan, 23.04, 24.49, 23.22, 21.8, 17.77, 15.49, 14.67, 15.39, 14.83]	[30.89, 19.2, 20.88, 20.15, 19.33, 16.79, 15.12, 14.52, 14.87, 14.48]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[384, 384]
13.47	14.23	14.0	0.62	[30.41, 16.5, 15.66, 14.62, 14.58, 14.36, 13.94, 13.75, 13.5, 13.47]	[nan, 22.93, 24.27, 23.79, 22.2, 18.09, 15.1, 14.51, 14.74, 14.23]	[30.21, 18.89, 20.39, 20.17, 19.28, 16.74, 14.71, 14.25, 14.4, 14.0]	[0.64, 0.36, 0.42, 0.85, 0.87, 0.7, 0.42, 0.42, 0.64, 0.62]	gtsrb_baseline_fscit	gtsrb	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_baseline_fscit	[384, 384]
25.09	17.92	19.84	0.0	[33.36, 29.53, 29.04, 27.37, 27.02, 25.88, 25.5, 25.35, 25.09, 25.09]	[nan, 16.42, 40.36, 36.99, 29.93, 22.55, 20.5, 19.11, 18.61, 17.92]	[33.63, 24.67, 35.26, 33.18, 28.86, 23.69, 22.15, 21.06, 20.41, 19.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[224, 224]
25.09	17.92	19.84	0.0	[33.36, 29.53, 29.04, 27.37, 27.02, 25.88, 25.5, 25.35, 25.09, 25.09]	[nan, 16.42, 40.36, 36.99, 29.93, 22.55, 20.5, 19.11, 18.61, 17.92]	[33.63, 24.67, 35.26, 33.18, 28.86, 23.69, 22.15, 21.06, 20.41, 19.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline_fscit	gtsrb	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_baseline_fscit	[224, 224]
13.0	14.54	14.09	0.2	[29.54, 16.07, 15.44, 14.39, 14.32, 13.97, 13.53, 13.27, 13.02, 13.0]	[nan, 21.39, 24.04, 23.0, 21.41, 17.28, 14.99, 14.44, 15.02, 14.54]	[29.48, 18.05, 20.16, 19.6, 18.69, 16.09, 14.5, 14.05, 14.47, 14.09]	[1.88, 0.97, 1.43, 1.04, 0.68, 0.31, 0.19, 0.11, 0.22, 0.2]	gtsrb_baseline_fscit	gtsrb	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_baseline_fscit	[384, 384]
25.64	23.6	24.19	0.0	[36.29, 27.98, 27.57, 26.84, 26.84, 26.29, 26.2, 26.08, 25.64, 25.64]	[nan, 19.66, 41.45, 38.76, 35.24, 29.11, 26.57, 25.17, 23.95, 23.6]	[36.26, 24.9, 35.2, 34.07, 32.1, 28.13, 26.44, 25.44, 24.42, 24.19]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline_fscit	gtsrb	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_baseline_fscit	[224, 224]
22.54	14.38	16.59	0.0	[34.04, 28.6, 27.19, 24.82, 24.62, 23.45, 23.25, 23.01, 22.63, 22.54]	[nan, 19.02, 31.55, 29.79, 26.65, 19.08, 17.37, 15.96, 14.83, 14.38]	[34.17, 25.04, 29.61, 27.84, 25.89, 20.6, 19.31, 18.15, 17.0, 16.59]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[384, 384]
25.09	17.92	19.84	0.0	[33.36, 29.53, 29.04, 27.37, 27.02, 25.88, 25.5, 25.35, 25.09, 25.09]	[nan, 16.42, 40.36, 36.99, 29.93, 22.55, 20.5, 19.11, 18.61, 17.92]	[33.63, 24.67, 35.26, 33.18, 28.86, 23.69, 22.15, 21.06, 20.41, 19.84]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline_fscit	gtsrb	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_baseline_fscit	[224, 224]
24.56	19.5	20.92	0.0	[30.94, 27.54, 27.22, 25.67, 25.44, 25.35, 25.15, 25.09, 24.56, 24.56]	[nan, 12.79, 37.73, 36.3, 31.53, 25.02, 22.56, 21.17, 20.19, 19.5]	[31.14, 22.03, 32.98, 32.11, 29.21, 25.15, 23.41, 22.4, 21.41, 20.92]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_baseline	gtsrb	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	7	4	43	10	checkpoint/gtsrb_baseline	[224, 224]
