base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
17.77	16.24	16.62	0.84	[41.23, 25.49, 24.44, 21.75, 21.39, 20.31, 19.61, 19.11, 18.48, 17.77]	[nan, 23.65, 34.35, 29.1, 25.59, 20.29, 17.87, 17.16, 16.67, 16.24]	[41.12, 24.79, 29.87, 26.19, 23.98, 20.24, 18.44, 17.73, 17.17, 16.62]	[1.14, 1.17, 0.94, 1.22, 1.25, 1.42, 1.15, 1.11, 0.8, 0.84]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
13.01	14.85	14.31	4.13	[43.16, 20.68, 18.35, 16.0, 15.52, 14.9, 14.55, 14.21, 13.8, 13.01]	[nan, 26.45, 33.73, 27.97, 24.58, 19.81, 17.78, 16.81, 15.36, 14.85]	[43.01, 22.82, 26.77, 23.23, 21.11, 18.09, 16.71, 15.97, 14.93, 14.31]	[2.23, 5.33, 6.69, 5.03, 4.86, 3.98, 3.5, 3.52, 4.42, 4.13]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
15.27	17.75	17.05	0.41	[41.09, 24.12, 22.63, 19.35, 18.79, 17.77, 16.99, 16.64, 16.22, 15.27]	[nan, 29.51, 38.04, 31.35, 27.82, 22.03, 19.32, 18.45, 18.27, 17.75]	[40.95, 26.14, 31.07, 26.62, 24.38, 20.5, 18.55, 17.86, 17.7, 17.05]	[1.13, 0.57, 0.56, 0.37, 0.42, 0.43, 0.53, 0.48, 0.46, 0.41]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
10.56	18.59	16.4	0.38	[43.88, 17.02, 15.82, 14.15, 13.84, 13.11, 12.72, 11.87, 11.52, 10.56]	[nan, 30.93, 41.69, 35.09, 30.27, 24.22, 21.55, 20.42, 19.15, 18.59]	[43.75, 22.23, 30.0, 26.84, 24.09, 20.38, 18.64, 17.78, 17.03, 16.4]	[1.76, 2.95, 1.58, 0.95, 1.54, 0.5, 0.23, 0.1, 0.23, 0.38]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
18.7	16.41	16.97	0.03	[41.3, 28.31, 27.3, 23.12, 22.72, 21.09, 20.08, 19.85, 19.4, 18.7]	[nan, 24.15, 34.47, 29.3, 25.92, 20.33, 17.67, 16.99, 16.93, 16.41]	[41.04, 26.75, 31.23, 26.86, 24.64, 20.5, 18.46, 17.82, 17.61, 16.97]	[0.31, 0.09, 0.03, 0.09, 0.1, 0.12, 0.11, 0.07, 0.06, 0.03]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
19.45	16.39	17.17	0.12	[41.53, 29.4, 28.69, 24.39, 23.73, 22.19, 21.08, 20.86, 20.46, 19.45]	[nan, 25.34, 34.09, 28.53, 25.43, 20.18, 17.66, 16.98, 16.91, 16.39]	[41.27, 27.88, 31.64, 26.89, 24.75, 20.78, 18.78, 18.14, 17.89, 17.17]	[0.25, 0.19, 0.11, 0.12, 0.14, 0.17, 0.14, 0.13, 0.11, 0.12]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
14.2	16.34	15.71	0.01	[35.57, 21.77, 19.72, 17.1, 16.86, 15.76, 15.1, 14.8, 14.27, 14.2]	[nan, 22.71, 34.99, 30.22, 26.76, 20.51, 17.71, 17.04, 16.89, 16.34]	[35.44, 22.11, 28.09, 25.05, 22.94, 18.76, 16.84, 16.27, 16.17, 15.71]	[0.29, 0.15, 0.11, 0.05, 0.05, 0.03, 0.03, 0.02, 0.02, 0.01]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
15.03	16.37	15.95	0.04	[36.99, 23.23, 21.26, 18.34, 18.08, 16.81, 16.06, 15.79, 15.18, 15.03]	[nan, 23.05, 35.18, 30.32, 26.82, 20.55, 17.77, 17.09, 16.92, 16.37]	[36.87, 23.14, 28.88, 25.59, 23.43, 19.15, 17.19, 16.61, 16.44, 15.95]	[0.34, 0.13, 0.05, 0.04, 0.08, 0.06, 0.06, 0.06, 0.05, 0.04]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
18.68	16.46	17.0	0.12	[41.06, 28.25, 27.26, 22.97, 22.6, 21.05, 19.98, 19.76, 19.24, 18.68]	[nan, 24.25, 34.74, 29.47, 26.06, 20.38, 17.75, 17.06, 16.98, 16.46]	[40.77, 26.73, 31.35, 26.9, 24.68, 20.5, 18.47, 17.83, 17.61, 17.0]	[0.18, 0.15, 0.04, 0.12, 0.17, 0.26, 0.23, 0.21, 0.18, 0.12]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
14.77	16.4	15.91	0.02	[36.86, 22.93, 20.94, 18.06, 17.8, 16.59, 15.79, 15.51, 14.91, 14.77]	[nan, 23.16, 35.27, 30.37, 26.86, 20.57, 17.79, 17.11, 16.94, 16.4]	[36.75, 22.99, 28.78, 25.52, 23.35, 19.09, 17.12, 16.54, 16.38, 15.91]	[0.24, 0.11, 0.05, 0.04, 0.05, 0.03, 0.01, 0.01, 0.01, 0.02]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
14.06	16.33	15.67	0.04	[35.39, 21.62, 19.58, 16.95, 16.69, 15.56, 14.92, 14.63, 14.12, 14.06]	[nan, 22.68, 35.03, 30.22, 26.76, 20.51, 17.72, 17.04, 16.88, 16.33]	[35.27, 22.0, 28.04, 24.99, 22.87, 18.69, 16.79, 16.22, 16.12, 15.67]	[0.24, 0.18, 0.12, 0.08, 0.08, 0.05, 0.05, 0.05, 0.04, 0.04]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
18.5	16.44	16.94	0.05	[41.45, 28.5, 27.57, 23.33, 22.71, 20.98, 19.98, 19.82, 19.38, 18.5]	[nan, 25.0, 34.51, 29.07, 25.77, 20.29, 17.71, 17.0, 16.93, 16.44]	[41.18, 27.18, 31.38, 26.81, 24.57, 20.44, 18.45, 17.83, 17.61, 16.94]	[0.2, 0.37, 0.3, 0.19, 0.15, 0.05, 0.06, 0.05, 0.03, 0.05]	gtsrb_cap_contrast_only	gtsrb	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_contrast_only	[224, 224]
