base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
1.5	33.92	26.05	6.07	[54.84, 9.3, 3.42, 2.95, 2.89, 2.76, 2.73, 2.13, 1.81, 1.5]	[nan, 55.87, 68.58, 60.41, 51.42, 43.7, 39.67, 38.14, 35.43, 33.92]	[54.76, 26.72, 39.12, 37.74, 33.05, 29.57, 27.49, 26.96, 26.09, 25.11]	[10.13, 8.18, 5.27, 7.4, 6.54, 6.32, 6.28, 6.48, 6.61, 6.07]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.1	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
7.99	31.43	25.08	4.9	[43.09, 10.52, 9.66, 9.25, 9.14, 8.96, 8.91, 8.32, 8.2, 7.99]	[nan, 49.38, 58.17, 52.93, 46.02, 39.45, 36.03, 34.46, 32.32, 31.43]	[43.02, 25.04, 36.21, 35.69, 32.08, 28.95, 27.08, 26.36, 25.61, 25.08]	[5.17, 2.59, 6.33, 6.44, 4.73, 4.6, 4.12, 4.2, 4.86, 4.9]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
22.08	24.31	23.68	4.88	[45.37, 25.81, 25.61, 24.84, 24.55, 24.28, 24.26, 23.8, 23.49, 22.08]	[nan, 33.17, 42.67, 40.32, 34.96, 29.85, 27.11, 25.74, 25.15, 24.31]	[45.48, 28.58, 34.98, 34.21, 30.98, 27.89, 26.16, 25.11, 24.69, 23.68]	[0.81, 3.12, 8.36, 8.48, 6.42, 5.64, 4.87, 4.73, 4.87, 4.88]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
1.81	31.2	23.26	5.7	[43.4, 4.05, 3.58, 3.22, 3.16, 2.93, 2.89, 2.59, 2.18, 1.81]	[nan, 44.56, 56.3, 51.04, 46.44, 37.68, 34.64, 33.38, 32.51, 31.2]	[43.59, 19.2, 32.48, 32.19, 30.05, 25.73, 24.18, 23.85, 24.08, 23.26]	[4.9, 3.82, 3.9, 6.06, 5.73, 4.81, 4.69, 4.82, 5.34, 5.7]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	0	1.0	0.01	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
11.69	25.51	21.77	12.28	[49.1, 17.25, 15.2, 14.73, 14.62, 14.4, 14.4, 12.81, 11.93, 11.69]	[nan, 43.87, 51.93, 45.68, 39.24, 32.48, 29.56, 27.36, 26.41, 25.51]	[48.93, 27.19, 35.31, 33.46, 29.9, 26.21, 24.55, 22.82, 22.38, 21.77]	[15.03, 20.51, 17.58, 17.3, 15.21, 14.23, 13.9, 12.89, 12.58, 12.28]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
11.25	24.71	21.04	4.15	[46.52, 13.85, 12.6, 12.39, 12.35, 12.33, 12.33, 11.67, 11.58, 11.25]	[nan, 43.48, 49.28, 43.94, 37.53, 32.37, 30.2, 28.47, 25.78, 24.71]	[46.53, 24.92, 32.71, 31.5, 27.99, 25.47, 24.3, 23.24, 21.83, 21.04]	[10.3, 10.54, 5.42, 5.97, 5.16, 5.23, 5.13, 4.55, 4.51, 4.15]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
0.89	28.11	20.73	3.22	[44.83, 3.7, 2.52, 2.23, 2.21, 2.11, 2.1, 1.6, 1.54, 0.89]	[nan, 47.92, 56.83, 50.55, 44.21, 36.13, 32.0, 29.95, 28.76, 28.11]	[44.72, 20.24, 32.29, 31.49, 28.29, 24.39, 22.14, 21.15, 21.19, 20.73]	[4.82, 6.53, 6.98, 4.77, 3.79, 3.74, 3.64, 3.21, 3.4, 3.22]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
8.39	25.04	20.53	4.52	[49.59, 17.29, 14.08, 12.53, 12.33, 11.94, 11.85, 10.57, 9.42, 8.39]	[nan, 40.99, 55.29, 47.22, 40.91, 33.43, 30.56, 29.17, 27.21, 25.04]	[49.33, 26.16, 36.67, 33.53, 30.11, 26.02, 24.39, 23.4, 22.26, 20.53]	[7.91, 4.45, 5.86, 5.68, 5.29, 5.92, 6.2, 5.83, 5.13, 4.52]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	0	1.0	0.1	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
8.33	24.42	20.07	5.71	[47.66, 14.15, 12.39, 11.08, 10.67, 10.4, 10.33, 9.28, 8.68, 8.33]	[nan, 46.65, 50.97, 46.16, 37.83, 32.18, 28.64, 27.78, 25.46, 24.42]	[47.49, 26.33, 33.54, 32.33, 27.5, 24.63, 22.6, 22.02, 20.79, 20.07]	[10.83, 7.3, 9.89, 8.79, 8.87, 7.73, 6.66, 6.13, 5.72, 5.71]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	0.5	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	0	1.0	0.01	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
2.79	26.46	20.05	0.79	[36.59, 5.0, 4.77, 4.42, 4.31, 4.06, 3.98, 3.85, 3.61, 2.79]	[nan, 40.57, 51.28, 46.48, 39.88, 32.91, 29.33, 28.03, 27.53, 26.46]	[36.74, 18.31, 30.27, 29.89, 26.43, 22.97, 20.97, 20.52, 20.88, 20.05]	[4.01, 6.36, 2.7, 1.7, 1.59, 0.92, 1.22, 1.18, 0.53, 0.79]	gtsrb_cap_incft	gtsrb	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	7	4	43	10	checkpoint/gtsrb_cap_incft	[224, 224]
