base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
13.65	16.3	15.53	0.0	[33.98, 20.61, 18.63, 16.29, 16.08, 15.0, 14.36, 14.06, 13.68, 13.65]	[nan, 22.45, 35.0, 30.25, 26.79, 20.51, 17.72, 17.03, 16.86, 16.3]	[33.89, 21.29, 27.6, 24.74, 22.66, 18.5, 16.6, 16.05, 15.98, 15.53]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[224, 224]
12.19	9.96	10.57	0.1	[34.85, 17.94, 17.5, 15.19, 14.38, 13.7, 13.56, 12.54, 12.21, 12.19]	[nan, 26.36, 24.92, 20.24, 16.31, 13.57, 12.37, 11.38, 10.15, 9.96]	[34.63, 21.07, 21.58, 18.25, 15.59, 13.64, 12.76, 11.73, 10.73, 10.57]	[0.97, 1.65, 1.07, 0.74, 0.34, 0.38, 0.38, 0.17, 0.11, 0.1]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[384, 384]
10.58	11.01	10.87	0.0	[29.44, 16.23, 14.5, 13.42, 13.36, 12.69, 12.66, 11.99, 11.26, 10.58]	[nan, 19.22, 29.9, 21.39, 18.34, 15.04, 13.38, 13.07, 12.16, 11.01]	[29.11, 17.29, 22.93, 18.23, 16.48, 14.22, 13.13, 12.72, 11.91, 10.87]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[224, 224]
17.43	8.63	10.97	0.09	[32.3, 25.22, 25.08, 21.06, 19.57, 18.76, 17.7, 17.68, 17.43, 17.43]	[nan, 16.7, 26.43, 19.1, 13.77, 12.02, 10.33, 9.78, 9.03, 8.63]	[32.09, 22.02, 25.84, 19.86, 15.89, 14.27, 12.75, 12.19, 11.36, 10.97]	[0.98, 0.16, 0.65, 0.12, 0.43, 0.4, 0.11, 0.13, 0.11, 0.09]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[384, 384]
8.1	12.38	11.23	0.0	[31.08, 11.99, 10.99, 10.23, 10.09, 9.65, 9.62, 8.95, 8.22, 8.1]	[nan, 27.06, 30.94, 25.45, 21.43, 17.05, 15.07, 13.87, 13.33, 12.38]	[30.94, 17.6, 21.95, 19.45, 17.15, 14.47, 13.28, 12.32, 11.91, 11.23]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[224, 224]
20.05	15.42	16.64	0.48	[33.59, 27.81, 25.45, 22.9, 22.62, 21.82, 21.12, 21.04, 20.07, 20.05]	[nan, 25.06, 28.34, 27.27, 24.54, 21.07, 17.66, 16.81, 16.54, 15.42]	[33.43, 26.79, 27.05, 25.54, 23.75, 21.31, 18.79, 18.1, 17.52, 16.64]	[0.35, 1.23, 0.82, 0.82, 0.95, 0.79, 0.61, 0.6, 0.69, 0.48]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[384, 384]
10.93	8.15	8.9	0.1	[28.34, 19.29, 18.14, 15.07, 14.54, 13.85, 13.37, 12.88, 11.09, 10.93]	[nan, 19.05, 16.7, 15.71, 13.27, 11.48, 10.81, 9.88, 8.57, 8.15]	[27.85, 19.2, 17.35, 15.47, 13.78, 12.32, 11.66, 10.82, 9.27, 8.9]	[0.86, 0.64, 0.35, 0.45, 0.34, 0.25, 0.29, 0.28, 0.18, 0.1]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[384, 384]
11.43	9.87	10.3	0.25	[25.78, 17.28, 15.82, 13.25, 12.56, 12.16, 11.85, 11.66, 11.43, 11.43]	[nan, 21.21, 25.97, 20.77, 15.84, 13.73, 12.27, 11.27, 10.18, 9.87]	[25.91, 18.78, 21.44, 17.82, 14.62, 13.17, 12.14, 11.4, 10.53, 10.3]	[1.24, 0.9, 1.01, 0.4, 0.16, 0.3, 0.33, 0.24, 0.28, 0.25]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[384, 384]
13.19	16.76	15.73	0.0	[35.76, 21.93, 21.32, 17.34, 17.13, 14.94, 14.09, 13.92, 13.25, 13.19]	[nan, 24.26, 39.52, 33.07, 29.7, 21.71, 19.54, 18.46, 17.34, 16.76]	[35.74, 22.82, 31.32, 26.88, 24.9, 19.26, 17.74, 16.99, 16.2, 15.73]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[224, 224]
17.98	20.05	19.48	0.0	[35.32, 25.29, 22.95, 20.23, 20.18, 19.15, 18.89, 18.54, 18.01, 17.98]	[nan, 32.25, 39.76, 35.33, 30.96, 24.22, 22.26, 21.0, 20.68, 20.05]	[35.43, 27.91, 32.18, 29.37, 26.9, 22.46, 21.14, 20.23, 19.93, 19.48]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	gtsrb_prototype_fscit_different_shots	gtsrb	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	7	4	43	10	checkpoint/gtsrb_prototype_fscit_different_shots	[224, 224]
