base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
97.5	95.09	95.33	0.0	[98.9, 98.6, 98.4, 98.2, 98.2, 98.1, 97.9, 97.7, 97.5, 97.5]	[nan, 96.0, 95.75, 96.07, 96.23, 96.16, 95.72, 95.73, 94.98, 95.09]	[98.9, 97.3, 96.63, 96.6, 96.62, 96.48, 96.03, 95.97, 95.26, 95.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
97.5	95.09	95.33	0.0	[98.9, 98.6, 98.4, 98.2, 98.2, 98.1, 97.9, 97.7, 97.5, 97.5]	[nan, 96.0, 95.75, 96.07, 96.23, 96.16, 95.72, 95.73, 94.98, 95.09]	[98.9, 97.3, 96.63, 96.6, 96.62, 96.48, 96.03, 95.97, 95.26, 95.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
99.0	96.39	96.65	0.06	[99.63, 99.6, 99.47, 99.4, 99.4, 99.4, 99.3, 99.13, 99.1, 99.0]	[nan, 98.27, 97.83, 98.23, 97.99, 97.91, 97.38, 97.5, 96.63, 96.39]	[99.63, 98.93, 98.38, 98.52, 98.27, 98.16, 97.65, 97.7, 96.9, 96.65]	[0.21, 0.13, 0.19, 0.15, 0.09, 0.09, 0.07, 0.07, 0.09, 0.06]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[384, 384]
97.8	92.2	92.76	0.0	[99.0, 98.8, 98.7, 98.4, 98.4, 98.2, 98.2, 97.9, 97.9, 97.8]	[nan, 94.7, 94.75, 94.63, 94.23, 94.52, 93.27, 93.29, 92.03, 92.2]	[99.0, 96.75, 96.07, 95.57, 95.06, 95.13, 93.97, 93.86, 92.68, 92.76]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
97.5	95.09	95.33	0.0	[98.9, 98.6, 98.4, 98.2, 98.2, 98.1, 97.9, 97.7, 97.5, 97.5]	[nan, 96.0, 95.75, 96.07, 96.23, 96.16, 95.72, 95.73, 94.98, 95.09]	[98.9, 97.3, 96.63, 96.6, 96.62, 96.48, 96.03, 95.97, 95.26, 95.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
98.9	95.49	95.83	0.14	[99.47, 99.43, 99.4, 99.33, 99.3, 99.2, 99.2, 99.0, 98.93, 98.9]	[nan, 96.97, 96.95, 97.33, 97.14, 97.13, 96.59, 96.58, 95.61, 95.49]	[99.47, 98.2, 97.77, 97.83, 97.57, 97.48, 96.96, 96.88, 95.98, 95.83]	[0.17, 0.04, 0.11, 0.15, 0.09, 0.09, 0.07, 0.08, 0.13, 0.14]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[224, 224]
98.6	94.59	94.99	0.04	[99.3, 99.3, 99.27, 99.1, 99.0, 98.9, 98.9, 98.63, 98.63, 98.6]	[nan, 96.57, 96.88, 97.3, 96.84, 96.76, 95.43, 95.59, 94.6, 94.59]	[99.3, 97.93, 97.68, 97.75, 97.27, 97.12, 95.92, 95.98, 95.05, 94.99]	[0.14, 0.16, 0.06, 0.06, 0.06, 0.03, 0.09, 0.08, 0.08, 0.04]	mini_imagenet_baseline_fscit	mini_imagenet	data/miniimagenet	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_fscit	[384, 384]
