base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
98.43	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.53, 98.43, 98.43]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.0001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[224, 224]
99.27	97.85	98.0	0.06	[99.63, 99.63, 99.6, 99.47, 99.47, 99.47, 99.47, 99.4, 99.37, 99.27]	[nan, 98.53, 98.42, 98.74, 98.63, 98.71, 98.44, 98.49, 98.03, 97.85]	[99.63, 99.08, 98.81, 98.92, 98.79, 98.84, 98.59, 98.6, 98.18, 98.0]	[0.05, 0.05, 0.04, 0.02, 0.02, 0.03, 0.04, 0.04, 0.07, 0.06]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[384, 384]
99.3	97.8	97.95	0.06	[99.73, 99.73, 99.7, 99.47, 99.43, 99.43, 99.43, 99.33, 99.3, 99.3]	[nan, 98.4, 98.38, 98.68, 98.63, 98.7, 98.42, 98.47, 97.97, 97.8]	[99.73, 99.07, 98.82, 98.87, 98.79, 98.82, 98.56, 98.58, 98.11, 97.95]	[0.05, 0.05, 0.03, 0.02, 0.02, 0.04, 0.08, 0.07, 0.0, 0.06]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[384, 384]
99.2	97.8	97.94	0.06	[99.73, 99.73, 99.7, 99.5, 99.47, 99.43, 99.43, 99.3, 99.3, 99.2]	[nan, 98.5, 98.42, 98.71, 98.68, 98.75, 98.47, 98.49, 97.99, 97.8]	[99.73, 99.12, 98.84, 98.91, 98.84, 98.87, 98.61, 98.59, 98.14, 97.94]	[0.12, 0.06, 0.15, 0.09, 0.11, 0.11, 0.08, 0.07, 0.04, 0.06]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.0001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[384, 384]
98.47	94.97	95.32	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.57, 98.47, 98.47]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.32, 95.47, 95.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.0001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[224, 224]
99.13	97.85	97.98	0.02	[99.7, 99.67, 99.63, 99.43, 99.43, 99.43, 99.43, 99.23, 99.23, 99.13]	[nan, 98.43, 98.5, 98.73, 98.67, 98.77, 98.51, 98.52, 98.03, 97.85]	[99.7, 99.05, 98.88, 98.91, 98.82, 98.88, 98.64, 98.6, 98.16, 97.98]	[0.08, 0.08, 0.07, 0.05, 0.07, 0.05, 0.02, 0.02, 0.03, 0.02]	mini_imagenet_baseline_linear_fscit	mini_imagenet	data/miniimagenet	baseline_linear	64	10	0.0001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	100	[]	0	1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_baseline_linear_fscit	[384, 384]
