base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
96.27	94.73	94.88	0.63	[99.53, 97.1, 96.93, 96.7, 96.6, 96.53, 96.53, 96.3, 96.3, 96.27]	[nan, 97.2, 96.47, 96.67, 96.31, 96.39, 95.73, 95.73, 94.82, 94.73]	[99.53, 97.15, 96.62, 96.67, 96.37, 96.41, 95.85, 95.8, 94.98, 94.88]	[0.05, 1.63, 1.15, 0.92, 0.95, 0.89, 0.8, 0.72, 0.69, 0.63]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
95.17	94.46	94.54	0.64	[99.5, 96.3, 96.17, 95.87, 95.77, 95.6, 95.57, 95.27, 95.27, 95.17]	[nan, 97.03, 96.45, 96.65, 96.14, 96.19, 95.58, 95.64, 94.57, 94.46]	[99.5, 96.67, 96.35, 96.45, 96.06, 96.09, 95.58, 95.59, 94.65, 94.54]	[0.08, 1.42, 0.89, 0.72, 0.79, 0.77, 0.66, 0.59, 0.65, 0.64]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
95.13	94.62	94.67	0.32	[99.57, 96.63, 96.23, 96.0, 95.77, 95.73, 95.67, 95.23, 95.13, 95.13]	[nan, 97.13, 96.53, 96.71, 96.24, 96.33, 95.71, 95.75, 94.73, 94.62]	[99.57, 96.88, 96.43, 96.53, 96.15, 96.23, 95.7, 95.68, 94.77, 94.67]	[0.05, 0.64, 0.45, 0.4, 0.47, 0.41, 0.38, 0.34, 0.36, 0.32]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
72.17	92.7	90.64	2.61	[99.23, 84.2, 80.2, 78.9, 75.57, 75.5, 75.23, 74.0, 74.0, 72.17]	[nan, 96.43, 95.68, 95.72, 94.09, 94.15, 93.69, 93.91, 92.63, 92.7]	[99.23, 90.32, 90.52, 91.51, 90.39, 91.04, 91.05, 91.42, 90.57, 90.64]	[0.25, 5.96, 4.97, 4.25, 4.72, 3.92, 3.19, 2.92, 2.62, 2.61]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
98.57	94.96	95.32	0.02	[99.47, 99.2, 99.13, 98.93, 98.93, 98.83, 98.83, 98.6, 98.57, 98.57]	[nan, 97.3, 96.53, 96.72, 96.51, 96.63, 95.98, 95.99, 95.07, 94.96]	[99.47, 98.25, 97.4, 97.27, 96.99, 97.0, 96.39, 96.31, 95.46, 95.32]	[0.05, 0.0, 0.02, 0.02, 0.02, 0.02, 0.01, 0.01, 0.02, 0.02]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
97.8	94.5	94.83	0.49	[99.53, 98.7, 98.53, 98.3, 98.3, 98.27, 98.23, 97.87, 97.83, 97.8]	[nan, 97.07, 96.33, 96.51, 96.25, 96.33, 95.6, 95.64, 94.58, 94.5]	[99.53, 97.88, 97.07, 96.96, 96.66, 96.65, 95.98, 95.92, 94.94, 94.83]	[0.05, 0.33, 0.29, 0.33, 0.33, 0.34, 0.43, 0.4, 0.53, 0.49]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
96.47	94.83	94.99	0.33	[99.57, 97.47, 97.23, 97.0, 96.93, 96.83, 96.83, 96.5, 96.47, 96.47]	[nan, 97.17, 96.52, 96.69, 96.38, 96.47, 95.93, 95.98, 94.95, 94.83]	[99.57, 97.32, 96.76, 96.76, 96.49, 96.53, 96.06, 96.04, 95.12, 94.99]	[0.05, 0.98, 0.65, 0.55, 0.56, 0.52, 0.4, 0.31, 0.33, 0.33]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
98.6	94.96	95.32	0.01	[99.43, 99.27, 99.17, 98.97, 98.97, 98.87, 98.87, 98.63, 98.6, 98.6]	[nan, 97.3, 96.57, 96.78, 96.55, 96.65, 95.99, 95.99, 95.08, 94.96]	[99.43, 98.28, 97.43, 97.32, 97.03, 97.02, 96.4, 96.32, 95.47, 95.32]	[0.05, 0.02, 0.03, 0.02, 0.02, 0.01, 0.01, 0.02, 0.02, 0.01]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
97.67	94.87	95.15	0.04	[99.47, 98.47, 98.4, 98.3, 98.23, 98.17, 98.13, 97.93, 97.83, 97.67]	[nan, 97.3, 96.53, 96.78, 96.52, 96.64, 95.98, 95.94, 94.97, 94.87]	[99.47, 97.88, 97.16, 97.16, 96.86, 96.9, 96.29, 96.19, 95.29, 95.15]	[0.12, 0.05, 0.02, 0.01, 0.03, 0.04, 0.04, 0.04, 0.04, 0.04]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
98.27	94.79	95.14	0.21	[99.5, 99.17, 98.93, 98.73, 98.73, 98.67, 98.67, 98.3, 98.27, 98.27]	[nan, 97.2, 96.45, 96.68, 96.37, 96.47, 95.86, 95.9, 94.89, 94.79]	[99.5, 98.18, 97.28, 97.19, 96.84, 96.84, 96.26, 96.2, 95.27, 95.14]	[0.08, 0.16, 0.2, 0.17, 0.21, 0.23, 0.18, 0.15, 0.21, 0.21]	mini_imagenet_contrast_and_calibration	mini_imagenet	data/miniimagenet	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	10	10	100	10	checkpoint/mini_imagenet_contrast_and_calibration	[224, 224]
