base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
98.1	91.34	92.02	0.0	[98.9, 98.8, 98.5, 98.5, 98.5, 98.4, 98.4, 98.2, 98.2, 98.1]	[nan, 96.0, 96.05, 96.03, 93.28, 93.58, 92.8, 93.29, 91.53, 91.34]	[98.9, 97.4, 96.87, 96.65, 94.32, 94.38, 93.6, 93.9, 92.27, 92.02]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[224, 224]
97.6	87.74	88.73	0.0	[99.2, 98.7, 98.6, 98.4, 98.4, 98.2, 98.2, 97.9, 97.8, 97.6]	[nan, 95.5, 95.1, 94.7, 89.23, 89.04, 88.82, 89.73, 87.34, 87.74]	[99.2, 97.1, 96.27, 95.62, 91.06, 90.57, 90.16, 90.75, 88.5, 88.73]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[224, 224]
98.1	92.99	93.5	0.0	[99.1, 99.0, 98.8, 98.6, 98.5, 98.5, 98.5, 98.3, 98.2, 98.1]	[nan, 96.8, 96.45, 96.4, 94.18, 94.68, 94.23, 94.44, 92.88, 92.99]	[99.1, 97.9, 97.23, 96.95, 95.04, 95.32, 94.84, 94.92, 93.47, 93.5]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[224, 224]
99.37	97.8	97.96	0.08	[99.7, 99.7, 99.7, 99.47, 99.47, 99.47, 99.47, 99.37, 99.37, 99.37]	[nan, 98.23, 98.35, 98.67, 98.59, 98.66, 98.46, 98.48, 98.02, 97.8]	[99.7, 98.97, 98.8, 98.86, 98.77, 98.79, 98.6, 98.59, 98.17, 97.96]	[0.08, 0.14, 0.08, 0.05, 0.02, 0.04, 0.07, 0.06, 0.06, 0.08]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[384, 384]
98.9	94.42	94.87	0.14	[99.53, 99.5, 99.5, 99.33, 99.33, 99.33, 99.33, 99.17, 99.07, 98.9]	[nan, 98.23, 97.92, 98.22, 95.87, 96.47, 95.19, 95.6, 94.26, 94.42]	[99.53, 98.87, 98.44, 98.5, 96.56, 96.94, 95.78, 96.04, 94.79, 94.87]	[0.17, 0.05, 0.11, 0.08, 0.07, 0.04, 0.05, 0.03, 0.17, 0.14]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[384, 384]
99.37	96.96	97.2	0.22	[99.67, 99.67, 99.63, 99.5, 99.5, 99.5, 99.5, 99.43, 99.43, 99.37]	[nan, 98.4, 98.37, 98.61, 97.02, 97.39, 97.41, 97.59, 97.05, 96.96]	[99.67, 99.03, 98.79, 98.83, 97.51, 97.74, 97.7, 97.82, 97.31, 97.2]	[0.17, 0.12, 0.08, 0.06, 0.37, 0.28, 0.23, 0.21, 0.21, 0.22]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[384, 384]
98.6	94.8	95.18	0.0	[99.2, 99.2, 99.1, 99.0, 99.0, 98.9, 98.9, 98.7, 98.6, 98.6]	[nan, 97.3, 96.5, 96.73, 96.48, 96.5, 95.77, 95.79, 94.84, 94.8]	[99.2, 98.25, 97.37, 97.3, 96.98, 96.9, 96.21, 96.15, 95.26, 95.18]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[224, 224]
99.43	97.81	97.98	0.01	[99.77, 99.77, 99.77, 99.6, 99.6, 99.6, 99.6, 99.57, 99.5, 99.43]	[nan, 98.37, 98.32, 98.66, 98.64, 98.73, 98.5, 98.57, 97.9, 97.81]	[99.77, 99.07, 98.8, 98.9, 98.83, 98.88, 98.66, 98.69, 98.08, 97.98]	[0.05, 0.02, 0.06, 0.05, 0.01, 0.04, 0.01, 0.02, 0.03, 0.01]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[384, 384]
98.7	95.08	95.44	0.0	[99.4, 99.3, 99.3, 99.2, 99.2, 99.1, 99.1, 98.9, 98.8, 98.7]	[nan, 97.3, 96.4, 96.77, 96.58, 96.56, 96.02, 96.07, 95.1, 95.08]	[99.4, 98.3, 97.37, 97.37, 97.1, 96.98, 96.46, 96.42, 95.51, 95.44]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[224, 224]
98.4	94.97	95.31	0.0	[99.4, 99.3, 99.2, 99.0, 99.0, 98.9, 98.9, 98.5, 98.4, 98.4]	[nan, 97.3, 96.55, 96.77, 96.55, 96.66, 96.0, 96.0, 95.09, 94.97]	[99.4, 98.3, 97.43, 97.32, 97.04, 97.03, 96.41, 96.31, 95.46, 95.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[224, 224]
99.2	95.76	96.11	0.08	[99.5, 99.5, 99.47, 99.4, 99.4, 99.4, 99.4, 99.33, 99.33, 99.2]	[nan, 98.2, 98.22, 98.58, 96.24, 96.71, 95.97, 96.37, 95.89, 95.76]	[99.5, 98.85, 98.63, 98.78, 96.87, 97.16, 96.46, 96.74, 96.27, 96.11]	[0.08, 0.12, 0.11, 0.07, 0.08, 0.08, 0.1, 0.1, 0.09, 0.08]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[384, 384]
99.1	97.82	97.95	0.08	[99.6, 99.57, 99.5, 99.33, 99.33, 99.33, 99.33, 99.17, 99.17, 99.1]	[nan, 98.43, 98.32, 98.63, 98.58, 98.65, 98.4, 98.46, 97.97, 97.82]	[99.6, 99.0, 98.71, 98.8, 98.73, 98.76, 98.53, 98.55, 98.1, 97.95]	[0.08, 0.08, 0.1, 0.06, 0.08, 0.08, 0.05, 0.04, 0.08, 0.08]	mini_imagenet_prototype_fscit_different_shots	mini_imagenet	data/miniimagenet	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	10	10	100	10	checkpoint/mini_imagenet_prototype_fscit_different_shots	[384, 384]
