base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
98.33	97.67	97.91	0.0	[99.17, 98.33, 98.33, 98.33, 98.33, 98.33, 98.33, 98.33, 98.33, 98.33]	[nan, 99.0, 98.0, 98.0, 97.5, 97.6, 98.0, 97.86, 98.12, 97.67]	[99.5, 99.0, 96.5, 98.4, 98.0, 98.0, 98.25, 98.11, 98.3, 97.91]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[224, 224]
99.17	97.67	98.0	0.0	[100.0, 100.0, 100.0, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17]	[nan, 100.0, 99.0, 98.33, 97.25, 97.2, 97.67, 97.71, 98.0, 97.67]	[100.0, 100.0, 98.5, 98.8, 98.0, 97.86, 98.12, 98.11, 98.3, 98.0]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[224, 224]
99.72	97.44	97.88	0.22	[100.0, 100.0, 100.0, 99.72, 99.72, 99.72, 99.72, 99.72, 99.72, 99.72]	[nan, 100.0, 98.0, 98.11, 97.25, 97.4, 97.72, 97.48, 97.79, 97.44]	[100.0, 100.0, 96.0, 98.8, 98.11, 98.1, 98.25, 98.0, 98.2, 97.88]	[0.0, 0.0, 0.0, 0.16, 0.08, 0.14, 0.1, 0.16, 0.14, 0.22]	oxford_flowers_baseline_fscit	oxford_flowers	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_baseline_fscit	[384, 384]
99.17	97.89	98.18	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 99.17, 99.17, 99.17, 99.17, 99.17]	[nan, 100.0, 99.0, 98.33, 98.25, 98.4, 98.5, 98.57, 98.62, 97.89]	[100.0, 100.0, 98.5, 99.0, 98.83, 98.71, 98.75, 98.78, 98.8, 98.18]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[224, 224]
98.33	98.07	98.24	0.11	[99.72, 99.72, 99.72, 99.17, 99.17, 98.33, 98.33, 98.33, 98.33, 98.33]	[nan, 99.67, 98.67, 99.11, 98.08, 98.0, 98.05, 98.14, 98.37, 98.07]	[99.83, 99.78, 97.92, 99.27, 98.56, 98.29, 97.79, 98.33, 98.5, 98.24]	[0.24, 0.16, 0.47, 0.09, 0.16, 0.12, 0.12, 0.0, 0.0, 0.11]	oxford_flowers_baseline_fscit	oxford_flowers	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_baseline_fscit	[384, 384]
99.17	97.78	98.09	0.0	[99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17]	[nan, 99.0, 98.0, 98.67, 97.25, 97.2, 97.33, 97.71, 98.0, 97.78]	[99.5, 99.33, 96.75, 99.0, 98.0, 97.86, 97.37, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[384, 384]
98.33	96.67	97.09	0.0	[100.0, 99.17, 99.17, 99.17, 98.33, 98.33, 98.33, 98.33, 98.33, 98.33]	[nan, 99.0, 97.5, 98.0, 97.25, 97.4, 97.0, 96.57, 96.88, 96.67]	[100.0, 99.33, 95.5, 98.6, 97.83, 97.86, 97.0, 96.67, 97.3, 97.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[224, 224]
99.17	96.0	96.64	0.0	[100.0, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17]	[nan, 99.0, 96.5, 97.0, 96.5, 96.2, 96.17, 95.71, 95.87, 96.0]	[100.0, 99.33, 94.0, 98.0, 97.5, 97.14, 96.5, 96.56, 96.6, 96.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline_fscit	oxford_flowers	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_baseline_fscit	[224, 224]
99.17	98.0	98.27	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 99.17, 99.17, 99.17, 99.17, 99.17]	[nan, 100.0, 98.5, 98.67, 97.75, 97.6, 97.83, 97.86, 98.0, 98.0]	[100.0, 100.0, 97.25, 99.2, 98.5, 98.14, 98.25, 98.22, 97.9, 98.27]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_baseline	oxford_flowers	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	12	10	102	10	checkpoint/oxford_flowers_baseline	[384, 384]
