base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
100.0	97.63	98.06	0.04	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.22, 97.75, 98.0, 98.0, 97.57, 97.87, 97.63]	[100.0, 100.0, 97.25, 98.93, 98.5, 98.57, 98.5, 98.11, 98.3, 98.06]	[0.0, 0.0, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
0.0	1.59	1.3	0.62	[14.44, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 12.33, 7.0, 4.33, 3.42, 2.73, 2.39, 2.05, 1.79, 1.59]	[25.0, 8.11, 4.17, 2.6, 2.28, 2.14, 1.79, 1.59, 1.43, 1.3]	[0.0, 6.28, 0.77, 0.49, 0.86, 1.01, 0.86, 0.76, 0.68, 0.62]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
70.28	97.48	94.7	4.61	[100.0, 80.56, 78.33, 74.72, 72.78, 72.5, 72.5, 71.11, 71.11, 70.28]	[nan, 100.0, 98.5, 98.44, 97.83, 97.8, 97.78, 97.43, 97.75, 97.48]	[100.0, 92.22, 90.75, 93.0, 93.11, 93.72, 94.2, 94.15, 94.73, 94.7]	[0.0, 11.0, 9.02, 8.49, 7.74, 6.67, 5.89, 5.53, 4.97, 4.61]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_contrast_and_calibration	oxford_flowers	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	12	10	102	10	checkpoint/oxford_flowers_contrast_and_calibration	[224, 224]
