base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.5, 97.8, 97.83, 97.43, 97.75, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.33, 98.43, 98.37, 98.0, 98.2, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[224, 224]
98.61	96.56	97.03	0.11	[100.0, 99.72, 99.72, 99.17, 99.17, 98.61, 98.61, 98.61, 98.61, 98.61]	[nan, 100.0, 99.0, 99.11, 98.5, 97.27, 97.22, 97.28, 97.62, 96.56]	[100.0, 99.89, 98.42, 99.27, 98.83, 97.81, 97.71, 97.71, 97.93, 97.03]	[0.0, 0.16, 0.12, 0.19, 0.27, 0.27, 0.26, 0.21, 0.19, 0.11]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[384, 384]
99.45	98.74	98.91	0.22	[100.0, 100.0, 100.0, 100.0, 100.0, 99.45, 99.45, 99.45, 99.45, 99.45]	[nan, 100.0, 99.0, 99.22, 98.5, 98.6, 98.56, 98.71, 98.87, 98.74]	[100.0, 100.0, 98.5, 99.53, 99.0, 98.9, 98.83, 98.93, 99.03, 98.91]	[0.0, 0.0, 0.0, 0.09, 0.14, 0.24, 0.25, 0.23, 0.21, 0.22]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[384, 384]
98.61	97.93	98.15	0.11	[99.45, 99.45, 99.45, 99.45, 99.45, 98.61, 98.61, 98.61, 98.61, 98.61]	[nan, 100.0, 99.0, 99.11, 97.92, 97.8, 97.72, 97.86, 98.04, 97.93]	[99.67, 99.78, 98.33, 99.33, 98.5, 98.19, 98.08, 98.15, 98.27, 98.15]	[0.24, 0.16, 0.12, 0.09, 0.0, 0.14, 0.06, 0.1, 0.05, 0.11]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[384, 384]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[224, 224]
99.17	96.67	97.18	0.0	[100.0, 100.0, 100.0, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17, 99.17]	[nan, 99.0, 97.5, 96.67, 96.25, 96.6, 96.83, 96.57, 97.0, 96.67]	[100.0, 99.67, 95.75, 97.8, 97.33, 97.43, 97.5, 97.22, 97.5, 97.18]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[224, 224]
99.72	98.41	98.67	0.08	[100.0, 100.0, 100.0, 100.0, 100.0, 99.72, 99.72, 99.72, 99.72, 99.72]	[nan, 100.0, 98.83, 99.22, 98.42, 98.4, 98.39, 98.48, 98.67, 98.41]	[100.0, 100.0, 98.08, 99.53, 98.94, 98.81, 98.75, 98.78, 98.9, 98.67]	[0.0, 0.0, 0.59, 0.09, 0.08, 0.14, 0.1, 0.09, 0.08, 0.08]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[384, 384]
100.0	97.67	98.09	0.0	[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]	[nan, 100.0, 98.5, 98.33, 97.75, 98.0, 98.0, 97.57, 97.87, 97.67]	[100.0, 100.0, 97.25, 99.0, 98.5, 98.57, 98.5, 98.11, 98.3, 98.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[224, 224]
94.17	93.89	94.36	0.0	[97.5, 97.5, 97.5, 97.5, 97.5, 96.67, 96.67, 95.83, 95.0, 94.17]	[nan, 98.0, 96.5, 93.33, 94.25, 94.2, 94.83, 94.71, 95.25, 93.89]	[98.5, 98.33, 94.5, 95.4, 95.67, 95.29, 95.62, 95.33, 95.6, 94.36]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[224, 224]
98.33	96.67	97.09	0.0	[100.0, 100.0, 99.17, 99.17, 98.33, 98.33, 98.33, 98.33, 98.33, 98.33]	[nan, 100.0, 98.0, 96.33, 96.0, 96.4, 96.67, 96.71, 97.12, 96.67]	[100.0, 100.0, 95.75, 97.6, 97.0, 97.14, 97.25, 97.22, 97.5, 97.09]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_flowers_prototype_fscit_different_shots	oxford_flowers	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	12	10	102	10	checkpoint/oxford_flowers_prototype_fscit_different_shots	[224, 224]
