base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
81.53	88.71	87.73	0.0	[95.58, 92.77, 92.57, 92.17, 92.17, 91.97, 91.97, 91.97, 81.53]	[nan, 97.67, 89.29, 92.74, 92.8, 92.69, 88.42, 89.04, 88.71]	[95.58, 94.92, 90.57, 92.57, 92.66, 92.55, 89.04, 89.48, 87.73]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[224, 224]
78.31	88.93	87.49	0.0	[94.58, 91.57, 91.16, 91.16, 91.16, 91.16, 91.16, 91.16, 78.31]	[nan, 97.93, 90.43, 93.58, 93.62, 93.39, 88.75, 89.11, 88.93]	[94.58, 94.33, 90.68, 92.84, 93.03, 92.94, 89.17, 89.41, 87.49]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[224, 224]
84.94	88.55	88.1	0.0	[93.78, 91.57, 91.37, 90.96, 90.96, 90.76, 90.56, 90.56, 84.94]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.55]	[93.76, 93.38, 90.48, 92.51, 92.81, 92.64, 88.78, 89.3, 88.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[224, 224]
82.2	88.5	87.64	0.46	[92.37, 89.69, 88.82, 88.76, 88.55, 88.42, 88.42, 88.42, 82.2]	[nan, 97.5, 86.65, 91.05, 91.22, 91.5, 87.02, 87.86, 88.5]	[92.36, 93.07, 87.47, 90.32, 90.59, 90.88, 87.25, 87.94, 87.64]	[0.0, 0.0, 0.74, 0.59, 0.69, 0.7, 0.52, 0.41, 0.46]	oxford_pets_baseline_fscit	oxford_pets	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_baseline_fscit	[384, 384]
80.32	87.26	86.31	0.0	[92.77, 88.55, 87.95, 87.75, 87.75, 87.55, 87.35, 87.35, 80.32]	[nan, 97.16, 86.35, 90.54, 89.7, 90.27, 86.53, 87.1, 87.26]	[92.77, 92.31, 86.93, 89.67, 89.22, 89.72, 86.67, 87.13, 86.31]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[224, 224]
81.26	88.3	87.33	0.13	[90.76, 87.82, 86.95, 86.88, 86.68, 86.48, 86.41, 86.41, 81.26]	[nan, 97.67, 86.9, 91.22, 90.99, 91.22, 87.15, 87.84, 88.3]	[90.76, 92.12, 86.9, 89.89, 89.95, 90.27, 87.0, 87.61, 87.33]	[1.58, 0.88, 0.3, 0.23, 0.36, 0.42, 0.09, 0.08, 0.13]	oxford_pets_baseline_fscit	oxford_pets	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_baseline_fscit	[384, 384]
82.73	90.0	89.01	0.0	[95.38, 91.37, 90.96, 90.96, 90.96, 90.76, 90.76, 90.76, 82.73]	[nan, 98.97, 91.45, 94.17, 94.06, 93.6, 89.26, 89.76, 90.0]	[95.38, 94.68, 91.3, 93.23, 93.35, 93.05, 89.53, 89.91, 89.01]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[384, 384]
84.34	84.64	84.57	0.0	[91.77, 89.96, 89.56, 88.76, 88.76, 88.76, 88.55, 88.55, 84.34]	[nan, 92.25, 85.84, 89.53, 89.07, 88.86, 84.89, 85.91, 84.64]	[91.77, 90.97, 87.28, 89.28, 88.97, 88.82, 85.51, 86.29, 84.57]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[224, 224]
80.72	85.94	85.27	0.0	[90.36, 86.75, 86.75, 85.54, 85.54, 85.54, 85.14, 84.94, 80.72]	[nan, 89.15, 89.67, 92.31, 91.66, 91.02, 86.61, 87.17, 85.94]	[90.36, 87.88, 88.59, 90.33, 90.22, 89.94, 86.38, 86.85, 85.27]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline_fscit	oxford_pets	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_baseline_fscit	[224, 224]
88.76	87.57	87.69	0.0	[94.78, 93.78, 93.37, 93.17, 93.17, 93.17, 92.97, 92.97, 88.76]	[nan, 95.87, 86.48, 90.62, 90.78, 90.67, 86.91, 87.92, 87.57]	[94.78, 94.68, 89.12, 91.34, 91.34, 91.16, 87.94, 88.67, 87.69]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_baseline	oxford_pets	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	4	37	9	checkpoint/oxford_pets_baseline	[384, 384]
