base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
84.94	88.55	88.1	0.0	[93.78, 91.57, 91.37, 90.96, 90.96, 90.76, 90.56, 90.56, 84.94]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.55]	[93.76, 93.38, 90.48, 92.51, 92.81, 92.64, 88.78, 89.3, 88.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
84.94	88.55	88.1	0.0	[93.78, 91.57, 91.37, 90.96, 90.96, 90.76, 90.56, 90.56, 84.94]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.55]	[93.76, 93.38, 90.48, 92.51, 92.81, 92.64, 88.78, 89.3, 88.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
75.77	89.25	87.47	0.19	[94.78, 91.23, 91.03, 90.29, 90.29, 90.29, 90.23, 89.83, 75.77]	[nan, 98.54, 91.24, 94.11, 94.09, 93.67, 88.85, 89.45, 89.25]	[94.78, 94.4, 91.17, 92.98, 93.2, 93.0, 89.11, 89.52, 87.47]	[0.16, 0.11, 0.08, 0.13, 0.11, 0.09, 0.08, 0.08, 0.19]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
82.06	88.78	87.92	0.22	[94.71, 92.17, 91.97, 91.43, 91.43, 91.3, 91.16, 91.03, 82.06]	[nan, 96.64, 90.3, 93.44, 93.58, 93.26, 88.52, 89.16, 88.78]	[94.71, 94.08, 90.97, 92.85, 93.09, 92.88, 89.0, 89.47, 87.92]	[0.34, 0.49, 0.33, 0.23, 0.18, 0.17, 0.14, 0.09, 0.22]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
83.87	88.65	88.03	0.05	[94.51, 91.9, 91.7, 91.3, 91.3, 91.09, 91.03, 90.96, 83.87]	[nan, 96.12, 90.05, 93.24, 93.43, 93.14, 88.42, 89.07, 88.65]	[94.5, 93.67, 90.69, 92.66, 92.93, 92.74, 88.89, 89.38, 88.03]	[0.09, 0.05, 0.04, 0.03, 0.02, 0.02, 0.02, 0.03, 0.05]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
78.58	89.09	87.72	0.05	[94.58, 91.77, 91.57, 91.1, 91.1, 91.1, 90.96, 90.56, 78.58]	[nan, 97.67, 90.81, 93.83, 93.87, 93.5, 88.71, 89.33, 89.09]	[94.58, 94.31, 91.13, 93.03, 93.24, 93.04, 89.12, 89.54, 87.72]	[0.0, 0.24, 0.17, 0.12, 0.1, 0.08, 0.06, 0.05, 0.05]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
84.54	88.57	88.06	0.03	[94.31, 92.04, 91.84, 91.43, 91.43, 91.23, 91.1, 91.1, 84.54]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.57]	[94.3, 93.64, 90.67, 92.65, 92.92, 92.73, 88.87, 89.38, 88.06]	[0.38, 0.19, 0.14, 0.1, 0.08, 0.07, 0.07, 0.06, 0.03]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
84.94	88.55	88.1	0.0	[93.78, 91.57, 91.37, 90.96, 90.96, 90.76, 90.56, 90.56, 84.94]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.55]	[93.76, 93.38, 90.48, 92.51, 92.81, 92.64, 88.78, 89.3, 88.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
84.14	88.59	88.03	0.01	[94.58, 92.3, 92.1, 91.7, 91.7, 91.5, 91.37, 91.3, 84.14]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.59]	[94.57, 93.8, 90.78, 92.73, 92.99, 92.79, 88.92, 89.41, 88.03]	[0.17, 0.15, 0.1, 0.08, 0.06, 0.05, 0.03, 0.01, 0.01]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
84.81	88.56	88.09	0.01	[94.25, 91.97, 91.77, 91.37, 91.37, 91.16, 91.03, 91.03, 84.81]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.56]	[94.23, 93.61, 90.64, 92.63, 92.91, 92.72, 88.86, 89.37, 88.09]	[0.34, 0.19, 0.13, 0.1, 0.08, 0.07, 0.06, 0.05, 0.01]	oxford_pets_cap_contrast_only	oxford_pets	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_cap_contrast_only	[224, 224]
