base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
58.5	89.33	85.19	1.4	[94.71, 75.1, 74.23, 73.29, 73.29, 73.23, 73.03, 72.56, 58.5]	[nan, 99.4, 91.41, 94.29, 94.19, 93.8, 88.82, 89.48, 89.33]	[94.71, 85.7, 84.74, 88.06, 89.2, 89.68, 86.11, 86.93, 85.19]	[0.83, 5.72, 4.3, 3.24, 2.62, 2.2, 1.97, 1.75, 1.4]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
80.32	89.02	87.89	0.11	[94.45, 91.17, 90.97, 90.36, 90.36, 90.36, 90.36, 90.09, 80.32]	[nan, 97.85, 90.9, 93.8, 93.85, 93.48, 88.72, 89.32, 89.02]	[94.44, 94.01, 90.92, 92.79, 93.04, 92.87, 89.03, 89.47, 87.89]	[0.57, 0.44, 0.3, 0.23, 0.19, 0.17, 0.17, 0.11, 0.11]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
1.54	82.13	71.23	5.4	[92.04, 14.66, 2.81, 1.81, 1.81, 1.81, 1.67, 1.54, 1.54]	[nan, 87.68, 81.46, 87.36, 87.47, 87.8, 82.55, 83.43, 82.13]	[92.02, 46.54, 50.91, 62.05, 67.0, 70.58, 68.6, 71.03, 71.23]	[1.91, 12.76, 6.89, 5.35, 5.65, 5.29, 4.87, 4.97, 5.4]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
0.0	19.25	16.62	12.96	[42.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 30.84, 32.31, 33.95, 31.37, 22.71, 20.21, 20.44, 19.25]	[42.52, 13.5, 19.74, 23.9, 23.89, 18.15, 16.7, 17.32, 16.62]	[2.22, 4.91, 7.03, 12.46, 13.12, 15.15, 14.58, 12.74, 12.96]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
76.51	89.14	87.48	0.43	[94.38, 90.9, 90.7, 89.89, 89.89, 89.89, 89.76, 89.42, 76.51]	[nan, 98.19, 91.07, 94.0, 93.96, 93.55, 88.78, 89.35, 89.14]	[94.37, 94.05, 90.94, 92.79, 93.01, 92.83, 88.97, 89.38, 87.48]	[0.43, 0.45, 0.3, 0.26, 0.23, 0.19, 0.21, 0.23, 0.43]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
76.1	89.25	87.51	0.08	[94.65, 91.36, 91.16, 90.36, 90.36, 90.36, 90.16, 89.69, 76.1]	[nan, 98.36, 91.16, 94.03, 94.0, 93.6, 88.83, 89.41, 89.25]	[94.64, 94.39, 91.17, 92.94, 93.15, 92.96, 89.07, 89.47, 87.51]	[0.25, 0.2, 0.14, 0.12, 0.11, 0.12, 0.09, 0.03, 0.08]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
78.18	89.14	87.7	0.19	[94.31, 90.49, 90.29, 89.69, 89.69, 89.69, 89.69, 89.29, 78.18]	[nan, 98.45, 91.2, 93.98, 93.96, 93.54, 88.75, 89.36, 89.14]	[94.31, 93.92, 90.85, 92.71, 92.96, 92.79, 88.94, 89.37, 87.7]	[0.19, 0.22, 0.14, 0.12, 0.1, 0.13, 0.14, 0.12, 0.19]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
53.88	88.17	83.54	3.22	[94.58, 68.01, 66.6, 65.33, 65.33, 65.19, 64.19, 63.25, 53.88]	[nan, 98.96, 91.15, 93.86, 93.73, 93.13, 87.94, 88.53, 88.17]	[94.58, 81.51, 81.6, 85.39, 86.92, 87.52, 83.85, 84.71, 83.54]	[0.17, 9.82, 7.11, 5.69, 4.72, 4.09, 4.05, 3.82, 3.22]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
5.29	86.27	75.32	2.05	[73.09, 7.76, 7.03, 6.02, 6.02, 6.02, 5.89, 5.89, 5.29]	[nan, 99.31, 88.14, 92.01, 92.12, 91.73, 86.47, 87.3, 86.27]	[73.08, 47.71, 56.6, 66.55, 71.52, 74.54, 72.57, 74.96, 75.32]	[6.98, 6.14, 4.89, 3.32, 2.7, 2.44, 1.98, 1.76, 2.05]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
71.68	89.05	86.74	1.08	[94.71, 87.82, 87.55, 87.08, 87.08, 87.02, 86.74, 86.14, 71.68]	[nan, 98.19, 91.03, 93.95, 93.87, 93.51, 88.71, 89.32, 89.05]	[94.71, 92.31, 89.69, 91.91, 92.26, 92.22, 88.39, 88.87, 86.74]	[0.1, 1.78, 1.3, 0.96, 0.87, 0.72, 0.61, 0.6, 1.08]	oxford_pets_contrast_and_calibration	oxford_pets	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	5	4	37	9	checkpoint/oxford_pets_contrast_and_calibration	[224, 224]
