base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
81.93	90.11	89.0	0.37	[92.97, 89.42, 88.42, 88.29, 88.22, 88.15, 88.15, 88.15, 81.93]	[nan, 98.71, 89.03, 92.6, 92.67, 92.93, 89.07, 89.62, 90.11]	[92.97, 93.48, 88.82, 91.31, 91.62, 91.97, 88.91, 89.4, 89.0]	[0.6, 0.47, 0.48, 0.38, 0.53, 0.37, 0.44, 0.41, 0.37]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[384, 384]
80.79	86.83	86.01	0.08	[87.89, 85.34, 84.54, 84.54, 84.54, 84.4, 84.34, 84.34, 80.79]	[nan, 97.07, 88.52, 92.23, 91.77, 91.51, 85.5, 86.5, 86.83]	[87.88, 90.45, 86.92, 89.89, 90.03, 90.08, 85.29, 86.17, 86.01]	[1.61, 0.74, 0.97, 0.79, 0.41, 0.53, 0.56, 0.16, 0.08]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[384, 384]
84.14	88.71	88.12	0.0	[93.78, 91.77, 91.57, 91.16, 91.16, 90.96, 90.76, 90.76, 84.14]	[nan, 94.32, 90.56, 93.58, 93.49, 93.29, 88.63, 89.29, 88.71]	[93.76, 92.82, 90.98, 92.89, 92.97, 92.85, 89.02, 89.54, 88.12]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[224, 224]
74.9	79.53	78.87	0.0	[82.53, 78.71, 78.31, 77.91, 77.91, 77.71, 77.11, 76.71, 74.9]	[nan, 88.11, 86.22, 90.54, 90.15, 89.81, 82.67, 81.6, 79.53]	[82.52, 82.86, 83.13, 86.77, 87.2, 87.38, 81.71, 80.87, 78.87]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[224, 224]
87.55	84.48	84.92	0.0	[93.78, 91.77, 91.37, 90.76, 90.76, 90.56, 90.56, 90.56, 87.55]	[nan, 93.54, 90.05, 93.24, 92.29, 92.33, 85.31, 85.44, 84.48]	[93.76, 92.49, 90.54, 92.51, 91.94, 91.99, 86.23, 86.23, 84.92]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[224, 224]
79.79	87.15	86.15	0.03	[84.87, 82.13, 81.39, 81.33, 81.26, 80.92, 80.92, 80.85, 79.79]	[nan, 96.47, 90.64, 93.58, 93.62, 93.26, 87.3, 87.35, 87.15]	[84.87, 88.4, 87.02, 89.93, 90.66, 90.78, 86.2, 86.38, 86.15]	[1.64, 0.68, 0.47, 0.46, 0.4, 0.34, 0.42, 0.13, 0.03]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[384, 384]
78.25	81.67	81.21	0.76	[86.41, 82.4, 79.92, 79.85, 79.85, 79.65, 79.52, 79.52, 78.25]	[nan, 85.96, 81.59, 87.44, 88.61, 89.34, 83.63, 82.61, 81.67]	[86.41, 83.94, 80.9, 85.19, 86.51, 87.4, 82.94, 82.15, 81.21]	[2.06, 1.98, 1.64, 1.3, 1.29, 0.92, 0.74, 0.77, 0.76]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[384, 384]
80.25	88.62	87.47	0.35	[90.09, 87.48, 86.55, 86.41, 86.35, 86.28, 86.14, 86.14, 80.25]	[nan, 97.07, 86.78, 91.1, 91.39, 91.48, 87.2, 87.94, 88.62]	[90.09, 91.65, 86.67, 89.67, 90.17, 90.43, 87.01, 87.65, 87.47]	[0.34, 0.31, 0.56, 0.42, 0.47, 0.36, 0.43, 0.42, 0.35]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[384, 384]
85.34	82.59	82.97	0.0	[91.97, 89.76, 89.56, 88.76, 88.76, 88.55, 88.35, 88.15, 85.34]	[nan, 93.02, 89.41, 92.4, 91.66, 91.28, 84.18, 84.62, 82.59]	[91.96, 91.16, 89.4, 91.27, 90.92, 90.7, 84.91, 85.18, 82.97]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[224, 224]
84.94	88.55	88.1	0.0	[93.78, 91.57, 91.37, 90.96, 90.96, 90.76, 90.56, 90.56, 84.94]	[nan, 95.87, 89.92, 93.16, 93.37, 93.09, 88.38, 89.04, 88.55]	[93.76, 93.38, 90.48, 92.51, 92.81, 92.64, 88.78, 89.3, 88.1]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	oxford_pets_prototype_fscit_different_shots	oxford_pets	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	4	37	9	checkpoint/oxford_pets_prototype_fscit_different_shots	[224, 224]
