base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
43.0	47.13	46.67	0.0	[78.78, 77.65, 72.7, 50.35, 49.65, 47.95, 44.41, 43.56, 43.0]	[nan, 64.71, 66.98, 62.76, 55.7, 52.67, 50.23, 50.2, 47.13]	[79.59, 69.87, 68.92, 59.78, 54.47, 51.92, 49.39, 49.35, 46.67]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline	resisc45	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	45	9	checkpoint/resisc45_baseline	[224, 224]
38.9	45.5	44.76	0.0	[74.96, 74.26, 71.71, 49.36, 47.1, 44.7, 42.57, 39.6, 38.9]	[nan, 67.43, 66.69, 61.77, 54.35, 51.12, 48.7, 48.22, 45.5]	[77.87, 72.73, 68.39, 58.73, 52.9, 50.15, 47.88, 47.14, 44.76]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline	resisc45	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	45	9	checkpoint/resisc45_baseline	[224, 224]
43.14	50.67	49.83	0.0	[77.93, 76.38, 72.7, 59.12, 55.3, 52.76, 48.94, 47.24, 43.14]	[nan, 74.61, 69.28, 65.63, 59.3, 54.74, 52.14, 52.36, 50.67]	[78.84, 77.07, 70.43, 63.98, 58.49, 54.5, 51.73, 51.71, 49.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline	resisc45	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	45	9	checkpoint/resisc45_baseline	[224, 224]
43.0	52.71	51.62	0.0	[82.18, 80.06, 76.94, 54.31, 53.89, 52.48, 44.13, 44.13, 43.0]	[nan, 82.64, 73.45, 67.46, 61.67, 58.53, 55.75, 55.79, 52.71]	[84.25, 82.53, 74.64, 64.0, 60.02, 57.51, 54.04, 54.34, 51.62]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline	resisc45	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	45	9	checkpoint/resisc45_baseline	[224, 224]
34.79	51.48	49.6	0.0	[74.4, 71.85, 66.48, 43.85, 41.44, 40.17, 37.34, 36.07, 34.79]	[nan, 74.46, 68.63, 64.39, 59.85, 55.85, 53.26, 53.49, 51.48]	[77.37, 74.87, 67.91, 59.32, 56.15, 53.29, 50.96, 51.27, 49.6]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline_fscit	resisc45	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_baseline_fscit	[224, 224]
43.14	50.67	49.83	0.0	[77.93, 76.38, 72.7, 59.12, 55.3, 52.76, 48.94, 47.24, 43.14]	[nan, 74.61, 69.28, 65.63, 59.3, 54.74, 52.14, 52.36, 50.67]	[78.84, 77.07, 70.43, 63.98, 58.49, 54.5, 51.73, 51.71, 49.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline_fscit	resisc45	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_baseline_fscit	[224, 224]
43.66	54.89	53.63	0.61	[83.59, 80.86, 77.23, 51.81, 51.25, 49.88, 45.4, 44.27, 43.66]	[nan, 83.83, 78.46, 71.81, 64.09, 59.11, 56.3, 57.35, 54.89]	[85.5, 83.47, 78.05, 66.84, 61.49, 57.66, 54.78, 55.69, 53.63]	[1.15, 0.54, 0.51, 0.28, 0.51, 0.58, 0.65, 0.77, 0.61]	resisc45_baseline_fscit	resisc45	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_baseline_fscit	[384, 384]
48.51	47.86	47.94	0.0	[79.77, 79.07, 71.29, 53.75, 52.19, 51.49, 49.08, 48.94, 48.51]	[nan, 64.56, 64.1, 62.81, 57.63, 53.46, 49.55, 50.48, 47.86]	[80.46, 72.07, 66.53, 60.76, 56.55, 53.28, 49.57, 50.31, 47.94]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline	resisc45	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	45	9	checkpoint/resisc45_baseline	[384, 384]
32.53	46.92	45.3	0.0	[72.14, 66.9, 63.08, 42.57, 41.16, 39.18, 36.49, 35.79, 32.53]	[nan, 75.9, 68.78, 61.77, 57.08, 52.81, 49.89, 50.28, 46.92]	[75.37, 73.2, 66.86, 57.19, 53.92, 50.69, 48.08, 48.49, 45.3]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline	resisc45	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	5	5	45	9	checkpoint/resisc45_baseline	[224, 224]
48.8	50.89	50.65	0.0	[76.52, 75.95, 74.12, 60.4, 57.57, 55.45, 49.65, 49.5, 48.8]	[nan, 78.48, 71.44, 66.82, 61.23, 56.72, 54.88, 53.57, 50.89]	[79.25, 78.67, 72.35, 65.42, 60.61, 56.74, 54.26, 53.13, 50.65]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_baseline_fscit	resisc45	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_baseline_fscit	[224, 224]
