base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
39.98	64.5	61.75	0.7	[96.18, 77.75, 70.77, 54.27, 52.1, 48.14, 41.92, 41.63, 39.98]	[nan, 94.88, 82.71, 80.83, 73.22, 67.69, 66.53, 66.63, 64.5]	[96.62, 86.6, 78.69, 74.23, 69.0, 64.48, 63.01, 63.48, 61.75]	[0.67, 2.77, 2.66, 2.59, 2.29, 1.77, 0.98, 0.83, 0.7]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
45.69	64.74	62.61	0.67	[96.18, 84.16, 77.94, 59.41, 56.2, 54.55, 48.0, 47.72, 45.69]	[nan, 92.64, 81.1, 80.09, 73.18, 68.17, 66.58, 66.8, 64.74]	[96.62, 89.11, 80.04, 74.84, 69.77, 65.93, 63.91, 64.4, 62.61]	[0.37, 1.03, 1.06, 0.83, 2.08, 1.42, 0.85, 0.56, 0.67]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
36.21	63.67	60.6	1.08	[95.62, 78.31, 70.91, 48.94, 46.63, 43.04, 37.53, 37.39, 36.21]	[nan, 93.83, 82.83, 79.44, 73.49, 67.54, 65.59, 66.1, 63.67]	[96.12, 86.38, 78.81, 71.71, 68.08, 63.49, 61.51, 62.47, 60.6]	[0.1, 5.1, 4.5, 3.18, 2.25, 1.5, 1.54, 1.38, 1.08]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
43.71	65.01	62.62	1.17	[96.75, 85.2, 78.69, 60.21, 57.33, 54.41, 46.68, 46.39, 43.71]	[nan, 92.73, 81.46, 80.79, 73.84, 68.68, 67.04, 66.93, 65.01]	[97.12, 89.64, 80.53, 75.65, 70.53, 66.33, 64.1, 64.34, 62.62]	[0.57, 1.98, 2.58, 1.46, 1.49, 1.61, 1.4, 1.3, 1.17]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
40.78	64.66	61.98	0.82	[96.84, 84.54, 76.19, 55.35, 51.96, 49.51, 43.38, 43.24, 40.78]	[nan, 94.64, 82.83, 80.89, 73.41, 68.24, 66.95, 66.99, 64.66]	[97.2, 90.22, 80.6, 74.38, 69.1, 65.15, 63.54, 63.99, 61.98]	[0.24, 0.75, 1.6, 1.72, 1.29, 1.0, 0.74, 0.71, 0.82]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
40.55	63.18	60.65	0.99	[95.33, 77.89, 69.12, 52.0, 49.55, 48.09, 41.49, 41.3, 40.55]	[nan, 94.79, 80.67, 78.06, 71.08, 66.71, 64.93, 65.21, 63.18]	[95.87, 87.16, 76.78, 71.51, 66.75, 63.61, 61.52, 62.18, 60.65]	[0.47, 2.13, 1.31, 2.39, 1.91, 1.92, 1.12, 1.1, 0.99]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
40.74	64.01	61.4	0.98	[96.65, 76.19, 67.8, 50.26, 48.09, 46.77, 41.96, 41.77, 40.74]	[nan, 95.22, 80.7, 79.44, 72.75, 68.05, 66.24, 66.1, 64.01]	[97.04, 86.02, 76.35, 72.1, 67.79, 64.5, 62.71, 63.04, 61.4]	[0.51, 6.5, 5.06, 2.6, 2.69, 2.43, 1.73, 1.37, 0.98]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
31.68	63.85	60.24	0.64	[96.79, 72.37, 57.71, 40.97, 38.85, 36.49, 32.49, 32.2, 31.68]	[nan, 96.56, 84.54, 80.7, 73.78, 67.27, 65.85, 65.95, 63.85]	[97.16, 84.85, 75.49, 70.66, 66.72, 62.19, 61.07, 61.7, 60.24]	[0.21, 0.03, 2.14, 1.49, 0.96, 0.55, 0.6, 0.72, 0.64]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
33.1	64.61	61.07	0.74	[96.04, 69.12, 60.4, 43.14, 39.84, 38.28, 34.61, 34.28, 33.1]	[nan, 95.31, 81.56, 79.25, 72.44, 67.59, 66.16, 66.32, 64.61]	[96.5, 82.2, 74.43, 70.22, 65.91, 62.75, 61.61, 62.28, 61.07]	[0.37, 3.89, 2.9, 2.27, 2.1, 1.39, 1.37, 0.98, 0.74]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
37.15	64.45	61.39	1.39	[96.04, 78.22, 70.25, 51.06, 48.37, 44.98, 39.32, 38.95, 37.15]	[nan, 95.79, 82.57, 80.98, 73.16, 67.84, 66.54, 66.53, 64.45]	[96.5, 87.78, 78.42, 73.5, 68.17, 64.05, 62.61, 63.06, 61.39]	[0.27, 1.25, 2.67, 1.87, 1.46, 1.09, 1.03, 1.18, 1.39]	resisc45_cap_incft	resisc45	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_cap_incft	[224, 224]
