base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
42.1	58.76	56.89	1.77	[94.81, 80.2, 77.08, 58.46, 56.2, 54.27, 43.28, 42.81, 42.1]	[nan, 90.39, 77.03, 73.87, 67.87, 63.3, 61.39, 61.08, 58.76]	[95.41, 85.67, 77.05, 70.06, 65.5, 61.88, 58.8, 58.77, 56.89]	[1.45, 6.49, 6.01, 4.1, 3.34, 2.13, 2.65, 2.03, 1.77]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
32.63	62.31	58.99	1.35	[95.28, 66.72, 57.95, 41.39, 40.41, 38.38, 33.47, 33.24, 32.63]	[nan, 95.79, 81.39, 77.83, 71.82, 65.73, 64.38, 64.54, 62.31]	[95.83, 82.36, 73.49, 68.69, 65.51, 61.24, 59.97, 60.59, 58.99]	[0.16, 0.92, 2.05, 1.0, 1.04, 1.83, 1.77, 1.73, 1.35]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
51.11	53.39	53.13	4.17	[85.43, 81.85, 78.64, 65.3, 62.23, 60.44, 54.17, 53.7, 51.11]	[nan, 80.25, 71.49, 68.18, 62.24, 57.27, 54.68, 54.97, 53.39]	[86.01, 81.2, 73.9, 67.53, 62.31, 57.91, 54.63, 54.82, 53.13]	[8.6, 5.29, 4.0, 3.93, 3.96, 4.32, 3.56, 3.9, 4.17]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
0.0	8.09	7.19	3.36	[36.49, 5.33, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 31.42, 21.58, 18.18, 13.06, 12.51, 10.49, 9.19, 8.09]	[37.79, 19.24, 14.31, 13.57, 10.38, 10.42, 8.99, 8.03, 7.19]	[7.48, 0.31, 7.01, 6.14, 4.21, 4.3, 3.79, 3.64, 3.36]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
65.72	59.91	60.57	0.57	[95.43, 90.38, 88.5, 75.72, 73.03, 72.32, 68.51, 67.75, 65.72]	[nan, 78.43, 73.55, 71.68, 66.93, 63.08, 61.92, 62.44, 59.91]	[95.95, 84.38, 78.59, 72.83, 68.25, 64.75, 62.92, 63.13, 60.57]	[0.59, 1.03, 1.15, 0.09, 0.44, 0.55, 0.35, 0.55, 0.57]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
15.56	55.88	51.35	1.42	[90.24, 37.06, 34.51, 28.66, 27.44, 26.4, 15.84, 15.8, 15.56]	[nan, 96.65, 78.51, 72.8, 65.44, 60.13, 57.02, 57.3, 55.88]	[91.37, 67.18, 63.68, 61.56, 57.73, 54.45, 51.05, 52.07, 51.35]	[0.64, 0.23, 0.14, 0.82, 1.65, 1.67, 1.51, 1.45, 1.42]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
20.04	56.93	52.79	0.64	[90.85, 45.97, 42.39, 33.47, 32.06, 31.16, 20.23, 20.13, 20.04]	[nan, 96.94, 80.62, 74.3, 66.27, 60.55, 58.02, 58.41, 56.93]	[91.91, 71.51, 67.73, 63.91, 59.35, 55.67, 52.58, 53.59, 52.79]	[0.83, 0.99, 0.26, 0.61, 0.75, 0.68, 0.87, 0.78, 0.64]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
33.05	63.76	60.31	0.68	[95.1, 63.65, 55.63, 40.92, 39.37, 37.2, 33.57, 33.38, 33.05]	[nan, 96.46, 82.81, 79.11, 71.52, 66.57, 64.96, 65.38, 63.76]	[95.66, 80.16, 73.65, 69.53, 65.01, 61.7, 60.44, 61.34, 60.31]	[0.36, 3.62, 1.81, 0.76, 0.77, 1.01, 0.83, 0.95, 0.68]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
66.48	60.16	60.87	1.83	[95.43, 92.22, 89.25, 74.35, 72.09, 71.81, 69.12, 68.74, 66.48]	[nan, 83.36, 74.63, 72.85, 68.21, 63.87, 61.9, 62.23, 60.16]	[95.96, 88.07, 79.56, 73.25, 69.01, 65.3, 62.98, 63.06, 60.87]	[0.69, 2.76, 2.48, 2.03, 1.84, 1.53, 2.35, 1.86, 1.83]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
36.3	56.66	54.38	2.53	[87.32, 76.8, 71.66, 54.17, 51.35, 49.46, 37.86, 37.39, 36.3]	[nan, 87.57, 74.61, 72.01, 64.62, 60.26, 57.78, 58.23, 56.66]	[88.79, 82.76, 73.61, 67.63, 61.97, 58.61, 55.0, 55.62, 54.38]	[7.29, 2.51, 3.71, 3.33, 2.69, 2.86, 2.58, 2.83, 2.53]	resisc45_contrast_and_calibration	resisc45	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	5	5	45	9	checkpoint/resisc45_contrast_and_calibration	[224, 224]
