base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
37.34	36.49	36.59	0.0	[70.58, 60.4, 56.01, 50.21, 46.39, 44.98, 42.29, 42.15, 37.34]	[nan, 75.61, 60.36, 51.68, 46.81, 44.12, 40.54, 39.84, 36.49]	[70.68, 68.4, 58.9, 51.75, 46.8, 44.4, 40.88, 40.19, 36.59]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[224, 224]
48.51	42.11	42.83	0.0	[71.15, 64.36, 61.39, 57.43, 56.72, 55.59, 54.03, 52.76, 48.51]	[nan, 75.32, 65.25, 53.36, 47.69, 45.17, 43.83, 44.47, 42.11]	[72.84, 71.73, 63.95, 54.7, 49.57, 47.08, 45.39, 45.54, 42.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[224, 224]
48.47	47.24	47.38	0.45	[81.14, 78.03, 72.94, 58.04, 56.72, 54.6, 49.69, 49.46, 48.47]	[nan, 85.03, 68.25, 60.8, 55.87, 53.01, 50.73, 50.11, 47.24]	[82.78, 82.15, 69.83, 60.39, 56.1, 53.39, 50.64, 50.07, 47.38]	[0.4, 0.84, 0.24, 1.13, 0.71, 0.43, 0.32, 0.22, 0.45]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[384, 384]
53.8	54.82	54.7	0.95	[84.35, 83.69, 81.8, 65.54, 63.74, 62.14, 56.96, 56.53, 53.8]	[nan, 81.59, 73.07, 70.51, 63.86, 59.57, 57.4, 57.18, 54.82]	[85.61, 83.22, 76.01, 69.39, 63.87, 60.08, 57.33, 57.09, 54.7]	[0.92, 1.49, 0.47, 0.91, 1.41, 1.16, 0.68, 0.94, 0.95]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[384, 384]
36.21	28.88	29.7	0.0	[66.48, 52.19, 51.2, 50.21, 48.51, 45.26, 40.59, 40.17, 36.21]	[nan, 64.42, 47.19, 37.29, 32.44, 33.48, 29.68, 30.21, 28.88]	[68.71, 60.93, 48.55, 40.83, 35.84, 35.63, 31.37, 31.56, 29.7]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[224, 224]
46.96	51.55	51.03	0.0	[80.91, 77.79, 75.81, 62.94, 56.72, 54.46, 51.2, 49.5, 46.96]	[nan, 79.34, 75.61, 69.39, 60.25, 55.03, 52.77, 53.98, 51.55]	[81.46, 79.93, 75.67, 67.75, 59.57, 55.03, 52.63, 53.44, 51.03]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[224, 224]
43.14	50.67	49.83	0.0	[77.93, 76.38, 72.7, 59.12, 55.3, 52.76, 48.94, 47.24, 43.14]	[nan, 74.61, 69.28, 65.63, 59.3, 54.74, 52.14, 52.36, 50.67]	[78.84, 77.07, 70.43, 63.98, 58.49, 54.5, 51.73, 51.71, 49.83]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[224, 224]
41.02	41.11	41.1	0.79	[67.33, 63.37, 56.44, 46.68, 45.4, 44.23, 41.63, 41.59, 41.02]	[nan, 79.58, 58.2, 50.23, 46.16, 45.65, 42.96, 44.12, 41.11]	[69.46, 71.64, 57.61, 49.52, 46.09, 45.5, 42.9, 43.84, 41.1]	[1.21, 1.06, 0.71, 0.41, 0.47, 0.29, 0.49, 0.83, 0.79]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[384, 384]
47.24	46.2	46.32	0.0	[77.37, 76.38, 74.96, 67.33, 63.51, 61.1, 56.01, 55.3, 47.24]	[nan, 70.44, 65.25, 61.57, 56.24, 52.26, 49.77, 49.6, 46.2]	[78.34, 75.13, 68.53, 63.13, 57.73, 53.93, 50.75, 50.33, 46.32]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[224, 224]
47.0	54.63	53.77	0.19	[84.11, 83.12, 79.92, 57.15, 55.96, 54.88, 48.61, 48.33, 47.0]	[nan, 84.41, 75.85, 71.41, 63.44, 59.05, 57.11, 56.88, 54.63]	[85.96, 84.8, 77.22, 67.95, 61.99, 58.5, 55.97, 55.83, 53.77]	[0.56, 0.76, 0.43, 1.22, 0.53, 0.54, 0.28, 0.09, 0.19]	resisc45_prototype_fscit_different_shots	resisc45	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	5	5	45	9	checkpoint/resisc45_prototype_fscit_different_shots	[384, 384]
