base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	gpu	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
19.28	20.57	20.43	0.26	[41.48, 29.94, 27.93, 26.82, 25.64, 23.83, 20.6, 20.19, 19.28]	[nan, 27.13, 27.64, 26.28, 25.44, 23.93, 22.42, 22.02, 20.57]	[43.21, 29.39, 28.24, 26.59, 25.59, 23.93, 22.15, 21.8, 20.43]	[1.64, 0.56, 0.37, 0.51, 0.5, 0.18, 0.24, 0.16, 0.26]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	0	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
20.19	23.44	23.06	0.44	[47.17, 33.62, 30.55, 29.65, 28.38, 26.5, 22.16, 21.29, 20.19]	[nan, 31.76, 30.77, 28.83, 27.43, 26.11, 25.1, 25.24, 23.44]	[48.35, 32.96, 30.86, 29.2, 27.73, 26.16, 24.66, 24.71, 23.06]	[1.04, 0.38, 0.29, 0.33, 0.14, 0.25, 0.58, 0.45, 0.44]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
22.32	23.04	22.94	0.02	[46.03, 33.74, 29.61, 29.24, 28.63, 27.6, 24.28, 23.47, 22.32]	[nan, 31.59, 30.23, 28.17, 26.98, 25.36, 24.43, 24.7, 23.04]	[46.86, 32.79, 30.04, 28.5, 27.37, 25.67, 24.37, 24.52, 22.94]	[1.3, 0.15, 0.29, 0.35, 0.26, 0.21, 0.23, 0.16, 0.02]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	2	3	0	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
24.08	25.64	25.45	0.43	[52.05, 37.06, 33.54, 32.23, 31.04, 29.65, 25.8, 25.14, 24.08]	[nan, 33.09, 31.97, 30.7, 29.55, 28.17, 26.91, 27.06, 25.64]	[52.76, 35.08, 32.56, 31.18, 29.9, 28.39, 26.72, 26.81, 25.45]	[0.55, 0.77, 0.45, 0.57, 0.37, 0.34, 0.21, 0.41, 0.43]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[384, 384]
22.11	25.39	25.01	0.19	[50.0, 34.24, 31.12, 30.22, 28.91, 27.81, 23.67, 23.02, 22.11]	[nan, 32.8, 31.64, 29.64, 28.87, 27.64, 26.44, 26.68, 25.39]	[50.0, 33.51, 31.52, 29.88, 28.96, 27.65, 26.02, 26.23, 25.01]	[1.02, 0.42, 0.16, 0.26, 0.31, 0.55, 0.35, 0.25, 0.19]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	0	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[384, 384]
19.45	22.19	21.9	0.51	[48.61, 32.52, 29.28, 28.34, 27.36, 24.49, 21.42, 20.31, 19.45]	[nan, 30.06, 30.41, 28.16, 27.14, 24.87, 23.88, 23.75, 22.19]	[51.24, 32.26, 30.43, 28.4, 27.31, 24.88, 23.57, 23.35, 21.9]	[1.01, 0.64, 0.97, 0.81, 0.79, 0.79, 0.59, 0.6, 0.51]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[384, 384]
15.97	15.02	15.11	0.0	[36.49, 27.89, 25.31, 22.73, 21.87, 20.52, 18.8, 17.08, 15.97]	[nan, 22.21, 21.99, 19.76, 19.27, 17.39, 16.13, 16.18, 15.02]	[34.37, 25.06, 23.29, 20.51, 19.82, 17.83, 16.46, 16.19, 15.11]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
12.16	18.33	17.64	0.0	[38.45, 27.03, 22.11, 20.52, 19.9, 16.58, 13.76, 12.29, 12.16]	[nan, 27.67, 26.96, 25.03, 24.01, 20.33, 18.94, 19.49, 18.33]	[38.87, 27.24, 25.19, 23.93, 23.23, 19.74, 18.19, 18.6, 17.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
21.29	22.73	22.57	0.46	[47.42, 32.8, 30.38, 29.24, 28.26, 26.53, 23.38, 22.52, 21.29]	[nan, 30.06, 30.2, 28.32, 27.47, 25.77, 24.37, 24.2, 22.73]	[50.4, 32.47, 30.66, 28.74, 27.73, 25.91, 24.23, 23.97, 22.57]	[1.81, 1.01, 0.84, 0.62, 0.41, 0.29, 0.46, 0.53, 0.46]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[384, 384]
12.16	18.33	17.64	0.0	[38.45, 27.03, 22.11, 20.52, 19.9, 16.58, 13.76, 12.29, 12.16]	[nan, 27.67, 26.96, 25.03, 24.01, 20.33, 18.94, 19.49, 18.33]	[38.87, 27.24, 25.19, 23.93, 23.23, 19.74, 18.19, 18.6, 17.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
