base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
21.25	21.25	21.26	0.0	[40.79, 31.45, 29.73, 28.75, 27.27, 25.18, 22.36, 21.87, 21.25]	[nan, 29.28, 28.32, 26.8, 26.29, 24.55, 22.43, 22.37, 21.25]	[42.35, 31.06, 29.31, 27.46, 26.6, 24.66, 22.43, 22.35, 21.26]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
15.6	19.29	18.9	0.0	[45.21, 29.24, 25.92, 23.83, 22.85, 20.64, 17.94, 16.46, 15.6]	[nan, 28.41, 27.08, 25.44, 23.77, 21.9, 20.56, 20.45, 19.29]	[45.67, 29.35, 26.89, 25.17, 23.69, 21.65, 20.19, 19.94, 18.9]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
20.02	23.65	23.24	0.0	[46.56, 31.33, 28.26, 26.9, 25.8, 25.06, 21.87, 21.13, 20.02]	[nan, 31.14, 30.43, 28.74, 26.75, 25.23, 24.45, 25.21, 23.65]	[48.25, 31.65, 30.07, 28.47, 26.69, 25.16, 24.07, 24.71, 23.24]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
21.25	21.42	21.4	0.0	[47.67, 32.43, 30.1, 29.12, 28.38, 25.8, 22.73, 22.48, 21.25]	[nan, 28.16, 29.57, 28.12, 26.26, 24.33, 22.92, 22.72, 21.42]	[50.62, 31.24, 29.98, 28.52, 26.78, 24.66, 22.93, 22.69, 21.4]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[384, 384]
13.02	17.33	16.85	0.0	[34.77, 26.04, 19.9, 16.58, 16.22, 15.48, 14.0, 13.14, 13.02]	[nan, 22.7, 23.73, 21.41, 21.21, 19.67, 18.02, 18.58, 17.33]	[36.22, 25.35, 23.03, 20.29, 20.29, 19.06, 17.48, 17.88, 16.85]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
14.13	17.17	16.82	0.0	[35.5, 26.9, 21.01, 20.02, 18.92, 16.95, 15.48, 14.25, 14.13]	[nan, 21.09, 24.6, 21.28, 20.66, 19.11, 17.44, 18.24, 17.17]	[35.52, 24.76, 23.69, 21.05, 20.38, 18.84, 17.22, 17.8, 16.82]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
14.37	20.25	19.59	0.0	[40.54, 27.89, 25.06, 22.97, 21.13, 18.8, 16.46, 14.99, 14.37]	[nan, 27.05, 27.64, 26.22, 25.49, 23.97, 21.76, 21.86, 20.25]	[41.44, 28.06, 27.1, 25.41, 24.66, 23.1, 20.97, 20.96, 19.59]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[384, 384]
15.97	15.02	15.11	0.0	[36.49, 27.89, 25.31, 22.73, 21.87, 20.52, 18.8, 17.08, 15.97]	[nan, 22.21, 21.99, 19.76, 19.27, 17.39, 16.13, 16.18, 15.02]	[34.37, 25.06, 23.29, 20.51, 19.82, 17.83, 16.46, 16.19, 15.11]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
17.32	21.22	20.79	0.0	[43.73, 29.85, 26.78, 25.55, 23.59, 22.24, 18.8, 17.81, 17.32]	[nan, 28.29, 27.52, 24.91, 24.08, 22.95, 21.87, 22.97, 21.22]	[45.02, 29.59, 27.45, 25.12, 24.04, 22.86, 21.45, 22.26, 20.79]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline	stanford_cars	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	20	20	196	9	checkpoint/stanford_cars_baseline	[224, 224]
14.13	17.17	16.82	0.0	[35.5, 26.9, 21.01, 20.02, 18.92, 16.95, 15.48, 14.25, 14.13]	[nan, 21.09, 24.6, 21.28, 20.66, 19.11, 17.44, 18.24, 17.17]	[35.52, 24.76, 23.69, 21.05, 20.38, 18.84, 17.22, 17.8, 16.82]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_baseline_fscit	stanford_cars	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_baseline_fscit	[224, 224]
