base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	ce_loss_factor_incft	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	inc_ft_lr_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
9.01	25.55	23.74	0.1	[59.46, 34.32, 27.23, 24.4, 22.32, 17.32, 11.26, 9.79, 9.01]	[nan, 38.96, 38.16, 33.8, 31.97, 28.74, 26.8, 27.24, 25.55]	[60.39, 37.1, 34.79, 31.58, 30.15, 26.92, 24.66, 25.06, 23.74]	[0.56, 1.17, 0.95, 0.63, 0.4, 0.25, 0.06, 0.13, 0.1]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
20.15	23.75	23.36	1.78	[58.72, 43.37, 38.58, 35.96, 33.91, 28.66, 22.4, 20.88, 20.15]	[nan, 33.33, 33.29, 30.73, 29.01, 26.21, 24.71, 25.42, 23.75]	[60.02, 38.77, 35.35, 32.15, 30.08, 26.62, 24.38, 24.85, 23.36]	[3.16, 1.81, 2.3, 1.88, 1.95, 1.85, 1.59, 1.51, 1.78]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
15.52	25.37	24.28	0.55	[61.34, 40.42, 32.76, 30.75, 28.99, 24.29, 17.93, 16.59, 15.52]	[nan, 36.85, 37.27, 33.99, 32.11, 28.53, 26.42, 26.94, 25.37]	[62.08, 38.86, 36.06, 33.22, 31.57, 27.86, 25.24, 25.63, 24.28]	[0.73, 1.22, 1.78, 1.08, 0.92, 0.67, 0.62, 0.66, 0.55]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
9.21	25.73	23.92	0.25	[60.77, 34.64, 26.58, 24.04, 21.09, 17.03, 11.75, 10.07, 9.21]	[nan, 40.24, 38.96, 34.38, 32.55, 29.26, 27.0, 27.33, 25.73]	[61.19, 37.94, 35.1, 31.88, 30.35, 27.26, 24.86, 25.14, 23.92]	[0.28, 0.25, 0.79, 0.43, 0.42, 0.27, 0.22, 0.31, 0.25]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
9.71	26.22	24.4	0.04	[60.89, 36.49, 29.16, 26.9, 24.32, 19.41, 12.37, 10.24, 9.71]	[nan, 39.17, 38.68, 34.94, 33.02, 30.11, 27.55, 27.98, 26.22]	[61.82, 38.24, 35.84, 33.09, 31.4, 28.35, 25.4, 25.76, 24.4]	[1.32, 1.5, 1.17, 0.8, 0.58, 0.46, 0.26, 0.16, 0.04]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
20.02	24.44	23.95	0.34	[60.16, 41.64, 36.57, 34.44, 31.94, 27.76, 22.19, 20.8, 20.02]	[nan, 33.25, 33.62, 30.85, 29.59, 27.12, 25.52, 25.93, 24.44]	[61.05, 38.06, 34.95, 31.91, 30.16, 27.24, 25.07, 25.27, 23.95]	[1.38, 1.13, 0.83, 0.3, 0.26, 0.19, 0.52, 0.4, 0.34]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
7.95	25.49	23.57	0.35	[58.56, 30.88, 24.57, 21.91, 20.19, 16.3, 10.57, 8.72, 7.95]	[nan, 40.36, 39.28, 34.76, 32.76, 28.99, 26.99, 27.2, 25.49]	[59.79, 35.88, 34.65, 31.61, 30.32, 26.93, 24.68, 24.85, 23.57]	[1.11, 1.47, 0.61, 0.58, 0.34, 0.28, 0.17, 0.42, 0.35]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
11.18	25.63	24.04	0.45	[60.16, 35.18, 28.99, 26.04, 23.91, 19.61, 13.39, 11.79, 11.18]	[nan, 39.37, 37.33, 33.57, 31.68, 28.6, 26.63, 27.28, 25.63]	[60.98, 37.63, 34.79, 31.8, 30.24, 27.13, 24.75, 25.32, 24.04]	[0.84, 0.7, 1.19, 0.71, 0.44, 0.45, 0.62, 0.56, 0.45]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
12.21	25.17	23.74	0.21	[59.34, 37.84, 31.61, 29.24, 26.94, 22.16, 14.58, 12.98, 12.21]	[nan, 36.93, 37.06, 33.16, 31.5, 28.52, 26.23, 26.65, 25.17]	[60.46, 37.74, 35.59, 32.31, 30.71, 27.48, 24.57, 24.92, 23.74]	[0.28, 0.73, 0.71, 0.62, 0.32, 0.06, 0.2, 0.17, 0.21]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
10.32	25.64	23.96	0.65	[60.52, 35.79, 30.02, 26.74, 24.73, 20.68, 12.61, 10.89, 10.32]	[nan, 39.08, 38.28, 34.03, 32.03, 28.91, 27.07, 27.24, 25.64]	[61.42, 37.7, 35.74, 32.27, 30.64, 27.55, 25.04, 25.18, 23.96]	[0.83, 0.29, 0.74, 1.18, 0.79, 1.07, 0.76, 0.73, 0.65]	stanford_cars_cap_incft	stanford_cars	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	1.0	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	1.0	100	15	8	2	3	LoRA	5	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	20	20	196	9	checkpoint/stanford_cars_cap_incft	[224, 224]
