base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
19.16	21.3	21.05	0.0	[46.19, 33.78, 30.22, 27.4, 26.29, 24.08, 21.38, 19.78, 19.16]	[nan, 29.16, 28.88, 27.34, 25.92, 23.85, 23.06, 23.04, 21.3]	[47.92, 32.35, 29.71, 27.52, 26.11, 23.81, 22.79, 22.56, 21.05]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[224, 224]
29.61	28.52	28.62	0.36	[51.68, 38.86, 35.79, 34.65, 33.83, 32.96, 31.0, 30.14, 29.61]	[nan, 36.93, 35.86, 34.09, 32.32, 30.09, 29.21, 30.32, 28.52]	[53.34, 37.77, 35.68, 34.21, 32.66, 30.51, 29.41, 30.23, 28.62]	[1.14, 0.61, 0.73, 0.47, 0.65, 0.57, 0.43, 0.33, 0.36]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[384, 384]
16.71	14.88	15.07	0.0	[37.22, 28.87, 25.31, 24.08, 23.34, 22.24, 17.94, 17.44, 16.71]	[nan, 19.73, 20.62, 18.94, 18.07, 17.41, 16.11, 16.27, 14.88]	[40.49, 25.53, 22.41, 20.2, 19.19, 18.21, 16.38, 16.44, 15.07]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[224, 224]
14.0	18.72	18.22	0.0	[43.73, 28.5, 25.55, 23.22, 21.62, 19.04, 15.85, 15.23, 14.0]	[nan, 26.67, 24.1, 22.85, 21.83, 20.45, 19.81, 19.98, 18.72]	[44.33, 27.94, 24.73, 23.11, 21.87, 20.24, 19.29, 19.35, 18.22]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[224, 224]
15.6	19.29	18.9	0.0	[45.21, 29.24, 25.92, 23.83, 22.85, 20.64, 17.94, 16.46, 15.6]	[nan, 28.41, 27.08, 25.44, 23.77, 21.9, 20.56, 20.45, 19.29]	[45.67, 29.35, 26.89, 25.17, 23.69, 21.65, 20.19, 19.94, 18.9]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[224, 224]
8.97	13.33	12.85	0.0	[29.73, 19.41, 17.32, 16.46, 14.25, 14.25, 10.69, 9.83, 8.97]	[nan, 22.58, 19.63, 18.9, 18.04, 15.95, 14.31, 14.52, 13.33]	[30.3, 21.18, 18.91, 18.33, 17.38, 15.76, 13.86, 13.99, 12.85]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[224, 224]
13.76	16.77	16.44	0.0	[40.42, 28.62, 26.54, 24.69, 23.83, 19.04, 15.11, 14.62, 13.76]	[nan, 23.45, 22.86, 21.94, 20.87, 19.91, 18.02, 18.28, 16.77]	[42.7, 26.47, 24.25, 22.64, 21.54, 19.8, 17.64, 17.8, 16.44]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[224, 224]
23.22	25.09	24.86	0.23	[51.07, 36.9, 33.7, 32.43, 31.04, 29.57, 24.86, 24.2, 23.22]	[nan, 33.37, 31.65, 30.15, 28.96, 27.48, 26.23, 26.64, 25.09]	[51.42, 35.06, 32.37, 30.81, 29.47, 27.79, 26.0, 26.32, 24.86]	[1.01, 0.13, 0.07, 0.24, 0.26, 0.3, 0.2, 0.21, 0.23]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[384, 384]
10.12	15.11	14.55	0.57	[33.99, 19.45, 16.87, 15.6, 15.36, 14.13, 11.67, 10.61, 10.12]	[nan, 21.63, 21.76, 19.28, 17.89, 16.44, 15.51, 16.09, 15.11]	[34.15, 20.67, 20.1, 18.39, 17.43, 16.08, 14.98, 15.44, 14.55]	[0.94, 0.79, 0.51, 0.69, 0.63, 0.5, 0.48, 0.59, 0.57]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[384, 384]
17.48	17.73	17.7	0.27	[41.97, 31.0, 27.64, 25.15, 24.94, 23.3, 18.96, 18.18, 17.48]	[nan, 23.04, 25.13, 23.08, 20.92, 19.33, 18.35, 19.05, 17.73]	[42.06, 27.33, 26.03, 23.58, 21.77, 19.91, 18.38, 18.92, 17.7]	[0.19, 0.99, 1.18, 0.79, 0.54, 0.36, 0.3, 0.36, 0.27]	stanford_cars_prototype_fscit_different_shots	stanford_cars	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	20	20	196	9	checkpoint/stanford_cars_prototype_fscit_different_shots	[384, 384]
