base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
60.25	63.72	63.33	0.0	[85.7, 80.25, 75.7, 72.5, 70.6, 68.15, 67.15, 63.55, 60.25]	[nan, 84.0, 76.73, 73.32, 70.13, 67.56, 65.57, 63.84, 63.72]	[85.7, 82.12, 76.38, 73.11, 70.22, 67.66, 65.8, 63.8, 63.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[224, 224]
66.0	65.64	65.68	0.0	[86.95, 83.4, 79.75, 77.15, 75.4, 73.7, 73.1, 69.25, 66.0]	[nan, 84.1, 78.6, 74.95, 72.19, 69.89, 67.91, 66.24, 65.64]	[86.95, 83.75, 78.98, 75.5, 72.83, 70.52, 68.65, 66.61, 65.68]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[224, 224]
65.5	64.56	64.66	0.0	[86.9, 81.7, 77.3, 75.25, 73.8, 72.1, 70.85, 68.2, 65.5]	[nan, 84.25, 77.83, 73.75, 70.58, 67.92, 66.44, 64.99, 64.56]	[86.9, 82.97, 77.65, 74.12, 71.22, 68.62, 67.07, 65.39, 64.66]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[224, 224]
64.95	66.01	65.89	0.0	[87.6, 82.4, 79.15, 77.1, 75.25, 73.1, 72.05, 68.7, 64.95]	[nan, 84.9, 78.68, 75.65, 72.1, 69.47, 68.02, 66.54, 66.01]	[87.6, 83.65, 78.83, 76.01, 72.73, 70.07, 68.6, 66.81, 65.89]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[384, 384]
60.8	61.36	61.29	0.0	[85.05, 79.2, 75.25, 73.65, 71.65, 70.0, 69.05, 63.9, 60.8]	[nan, 80.9, 75.3, 71.5, 68.34, 65.52, 63.53, 61.85, 61.36]	[85.05, 80.05, 75.28, 72.04, 69.0, 66.27, 64.32, 62.11, 61.29]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[224, 224]
67.05	66.29	66.38	0.0	[88.0, 84.4, 80.65, 78.75, 77.1, 75.5, 74.5, 70.85, 67.05]	[nan, 84.85, 79.18, 75.02, 71.75, 69.84, 68.08, 66.64, 66.29]	[88.0, 84.62, 79.67, 75.95, 72.82, 70.78, 68.99, 67.17, 66.38]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline_fscit	sun397	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_baseline_fscit	[224, 224]
59.7	63.99	63.51	0.0	[85.2, 78.65, 74.45, 71.75, 69.75, 67.7, 66.8, 62.9, 59.7]	[nan, 82.2, 75.58, 72.75, 69.91, 67.62, 65.82, 64.26, 63.99]	[85.2, 80.42, 75.2, 72.5, 69.88, 67.63, 65.96, 64.09, 63.51]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[384, 384]
56.3	58.22	58.01	0.0	[81.8, 75.4, 70.8, 68.9, 66.75, 64.95, 63.6, 59.0, 56.3]	[nan, 79.3, 71.7, 67.98, 64.3, 62.19, 60.44, 58.54, 58.22]	[81.8, 77.35, 71.4, 68.21, 64.79, 62.65, 60.89, 58.6, 58.01]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline_fscit	sun397	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_baseline_fscit	[224, 224]
67.65	66.45	66.58	0.0	[88.05, 83.35, 79.85, 77.75, 75.9, 74.35, 73.5, 71.15, 67.65]	[nan, 85.85, 79.15, 75.4, 72.23, 70.13, 68.46, 66.99, 66.45]	[88.05, 84.6, 79.38, 75.99, 72.96, 70.83, 69.18, 67.51, 66.58]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline	sun397	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	40	40	397	9	checkpoint/sun397_baseline	[384, 384]
56.3	58.22	58.01	0.0	[81.8, 75.4, 70.8, 68.9, 66.75, 64.95, 63.6, 59.0, 56.3]	[nan, 79.3, 71.7, 67.98, 64.3, 62.19, 60.44, 58.54, 58.22]	[81.8, 77.35, 71.4, 68.21, 64.79, 62.65, 60.89, 58.6, 58.01]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_baseline_fscit	sun397	./data	_baseline	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-huge-patch14-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_baseline_fscit	[224, 224]
