base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
66.92	65.78	65.91	0.03	[88.73, 84.95, 80.83, 78.02, 76.38, 74.57, 73.98, 70.32, 66.92]	[nan, 84.18, 78.89, 75.13, 72.34, 70.05, 68.06, 66.39, 65.78]	[88.73, 84.56, 79.53, 75.85, 73.14, 70.8, 68.91, 66.88, 65.91]	[0.09, 0.07, 0.06, 0.05, 0.05, 0.05, 0.04, 0.03, 0.03]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
63.22	66.18	65.85	0.04	[89.75, 84.93, 79.62, 76.48, 74.48, 72.73, 71.75, 67.22, 63.22]	[nan, 85.12, 79.97, 75.89, 72.95, 70.58, 68.51, 66.89, 66.18]	[89.75, 85.02, 79.85, 76.04, 73.25, 70.94, 68.97, 66.93, 65.85]	[0.19, 0.14, 0.09, 0.1, 0.09, 0.06, 0.06, 0.05, 0.04]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	10	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
62.58	66.3	65.88	0.17	[89.88, 85.02, 79.47, 76.18, 74.07, 72.13, 71.02, 66.32, 62.58]	[nan, 85.17, 80.31, 76.2, 73.2, 70.77, 68.66, 67.02, 66.3]	[89.88, 85.09, 80.03, 76.19, 73.37, 70.99, 69.0, 66.93, 65.88]	[0.08, 0.13, 0.04, 0.06, 0.07, 0.08, 0.1, 0.16, 0.17]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
66.05	65.67	65.71	0.01	[87.17, 83.55, 79.9, 77.28, 75.55, 73.85, 73.25, 69.27, 66.05]	[nan, 84.1, 78.63, 74.97, 72.2, 69.9, 67.92, 66.26, 65.67]	[87.17, 83.82, 79.05, 75.55, 72.87, 70.56, 68.68, 66.63, 65.71]	[0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
66.35	65.69	65.76	0.02	[87.47, 83.85, 80.2, 77.48, 75.78, 74.08, 73.48, 69.6, 66.35]	[nan, 84.07, 78.66, 75.0, 72.24, 69.93, 67.93, 66.27, 65.69]	[87.47, 83.95, 79.17, 75.62, 72.95, 70.62, 68.72, 66.69, 65.76]	[0.05, 0.02, 0.01, 0.01, 0.01, 0.0, 0.01, 0.02, 0.02]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
66.82	65.78	65.89	0.02	[88.62, 84.98, 80.87, 77.93, 76.33, 74.55, 73.98, 70.15, 66.82]	[nan, 84.27, 78.9, 75.14, 72.34, 70.06, 68.06, 66.39, 65.78]	[88.62, 84.62, 79.56, 75.84, 73.14, 70.81, 68.9, 66.86, 65.89]	[0.08, 0.11, 0.04, 0.0, 0.01, 0.01, 0.01, 0.02, 0.02]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	10	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
64.05	66.13	65.9	0.02	[89.65, 85.2, 80.18, 77.17, 75.2, 73.38, 72.38, 67.93, 64.05]	[nan, 84.57, 79.6, 75.72, 72.77, 70.43, 68.39, 66.81, 66.13]	[89.65, 84.88, 79.79, 76.08, 73.25, 70.92, 68.96, 66.95, 65.9]	[0.25, 0.17, 0.11, 0.09, 0.1, 0.06, 0.03, 0.02, 0.02]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	20	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
66.4	65.86	65.92	0.01	[89.33, 85.25, 80.95, 77.93, 76.23, 74.45, 73.6, 69.9, 66.4]	[nan, 84.35, 79.08, 75.31, 72.49, 70.14, 68.15, 66.5, 65.86]	[89.33, 84.8, 79.7, 75.96, 73.23, 70.86, 68.93, 66.92, 65.92]	[0.1, 0.07, 0.04, 0.04, 0.03, 0.01, 0.01, 0.01, 0.01]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	20	0.01	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
66.0	65.66	65.7	0.01	[87.2, 83.53, 79.88, 77.25, 75.52, 73.82, 73.22, 69.22, 66.0]	[nan, 84.08, 78.62, 74.97, 72.2, 69.9, 67.92, 66.25, 65.66]	[87.2, 83.8, 79.04, 75.54, 72.87, 70.56, 68.67, 66.62, 65.7]	[0.04, 0.02, 0.01, 0.0, 0.0, 0.0, 0.01, 0.0, 0.01]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	10	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
66.3	65.68	65.75	0.0	[87.45, 83.78, 80.17, 77.52, 75.78, 74.05, 73.45, 69.55, 66.3]	[nan, 84.08, 78.65, 74.98, 72.22, 69.92, 67.93, 66.27, 65.68]	[87.45, 83.93, 79.15, 75.61, 72.93, 70.61, 68.72, 66.68, 65.75]	[0.07, 0.03, 0.02, 0.01, 0.0, 0.01, 0.0, 0.0, 0.0]	sun397_cap_contrast_only	sun397	./data	cap_contrast_only	64	20	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	4	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	100	[0, 1, 2]	0	1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_cap_contrast_only	[224, 224]
