base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
64.5	66.06	65.88	0.09	[89.8, 85.08, 80.28, 77.28, 75.4, 73.57, 72.43, 68.12, 64.5]	[nan, 84.45, 79.54, 75.6, 72.72, 70.35, 68.32, 66.73, 66.06]	[89.8, 84.77, 79.79, 76.02, 73.25, 70.88, 68.9, 66.9, 65.88]	[0.31, 0.05, 0.13, 0.07, 0.03, 0.02, 0.05, 0.1, 0.09]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
61.03	66.2	65.63	0.26	[89.83, 84.5, 78.72, 75.65, 73.05, 70.37, 68.95, 64.8, 61.03]	[nan, 85.68, 80.43, 76.18, 73.15, 70.63, 68.69, 66.99, 66.2]	[89.83, 85.09, 79.86, 76.04, 73.13, 70.59, 68.73, 66.72, 65.63]	[0.24, 0.52, 0.57, 0.42, 0.18, 0.14, 0.11, 0.27, 0.26]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
61.52	66.37	65.82	0.21	[89.5, 84.22, 78.63, 75.3, 73.22, 71.13, 70.0, 65.33, 61.52]	[nan, 85.33, 80.3, 76.24, 73.2, 70.8, 68.67, 67.03, 66.37]	[89.5, 84.77, 79.74, 76.0, 73.2, 70.85, 68.86, 66.82, 65.82]	[0.23, 0.2, 0.32, 0.27, 0.22, 0.23, 0.23, 0.23, 0.21]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
58.7	66.3	65.46	0.1	[89.83, 83.48, 77.9, 74.4, 71.83, 69.23, 67.92, 63.02, 58.7]	[nan, 85.15, 80.48, 76.23, 73.2, 70.8, 68.59, 66.97, 66.3]	[89.83, 84.31, 79.62, 75.77, 72.92, 70.54, 68.49, 66.47, 65.46]	[0.1, 0.36, 0.38, 0.23, 0.06, 0.07, 0.12, 0.09, 0.1]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
65.18	66.03	65.94	0.06	[88.08, 84.1, 79.48, 76.98, 74.9, 72.98, 72.07, 68.63, 65.18]	[nan, 84.13, 79.53, 75.47, 72.64, 70.32, 68.28, 66.64, 66.03]	[88.08, 84.11, 79.52, 75.85, 73.09, 70.76, 68.82, 66.89, 65.94]	[0.45, 0.2, 0.11, 0.04, 0.05, 0.02, 0.04, 0.06, 0.06]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
56.23	62.64	61.93	4.27	[88.52, 68.25, 64.95, 63.37, 62.1, 60.93, 60.15, 57.97, 56.23]	[nan, 79.0, 74.23, 70.61, 68.34, 66.21, 64.41, 63.09, 62.64]	[88.52, 73.62, 71.13, 68.8, 67.1, 65.32, 63.8, 62.45, 61.93]	[0.69, 12.16, 8.69, 7.06, 6.21, 5.57, 5.05, 4.44, 4.27]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
63.73	66.09	65.82	0.06	[88.18, 83.72, 78.98, 76.38, 74.42, 72.4, 71.5, 67.27, 63.73]	[nan, 84.4, 79.59, 75.65, 72.71, 70.36, 68.27, 66.7, 66.09]	[88.18, 84.05, 79.38, 75.83, 73.05, 70.7, 68.73, 66.77, 65.82]	[0.44, 0.1, 0.19, 0.11, 0.09, 0.09, 0.08, 0.05, 0.06]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
60.43	64.83	64.34	1.1	[88.42, 82.17, 76.48, 73.05, 71.28, 69.28, 68.2, 63.67, 60.43]	[nan, 83.42, 78.44, 74.38, 71.42, 68.96, 66.96, 65.39, 64.83]	[88.42, 82.79, 77.79, 74.04, 71.39, 69.01, 67.14, 65.17, 64.34]	[1.15, 1.31, 1.39, 1.09, 1.07, 1.1, 1.02, 1.03, 1.1]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
63.98	44.83	46.96	4.77	[87.23, 75.67, 71.28, 68.47, 67.33, 66.67, 66.1, 64.93, 63.98]	[nan, 54.27, 51.68, 48.96, 47.96, 47.39, 46.65, 45.56, 44.83]	[87.23, 64.96, 58.21, 53.84, 51.83, 50.6, 49.43, 47.98, 46.96]	[1.06, 1.89, 4.03, 5.18, 4.84, 4.68, 4.67, 4.56, 4.77]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
59.8	66.12	65.42	0.46	[88.03, 82.95, 76.23, 73.3, 71.1, 68.88, 67.73, 63.02, 59.8]	[nan, 85.0, 80.19, 76.1, 73.01, 70.57, 68.51, 66.83, 66.12]	[88.03, 83.97, 78.87, 75.39, 72.63, 70.29, 68.39, 66.36, 65.42]	[0.47, 0.28, 0.47, 0.28, 0.26, 0.26, 0.27, 0.41, 0.46]	sun397_contrast_and_calibration	sun397	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	40	40	397	9	checkpoint/sun397_contrast_and_calibration	[224, 224]
