base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
50.45	49.02	49.18	0.0	[76.3, 68.3, 63.45, 61.25, 58.8, 57.65, 56.2, 52.35, 50.45]	[nan, 68.4, 62.98, 57.32, 55.05, 52.49, 51.05, 49.33, 49.02]	[76.3, 68.35, 63.13, 58.3, 55.8, 53.35, 51.79, 49.71, 49.18]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[224, 224]
63.85	65.0	64.87	0.0	[86.85, 82.7, 79.05, 76.9, 75.15, 73.45, 72.75, 67.6, 63.85]	[nan, 83.6, 77.68, 73.78, 71.0, 69.19, 66.93, 65.51, 65.0]	[86.85, 83.15, 78.13, 74.56, 71.83, 69.9, 67.76, 65.77, 64.87]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[224, 224]
68.35	66.8	66.97	0.0	[88.4, 84.6, 81.4, 78.5, 76.75, 75.0, 74.45, 71.7, 68.35]	[nan, 85.05, 79.4, 75.62, 72.96, 71.23, 69.11, 67.44, 66.8]	[88.4, 84.82, 80.07, 76.34, 73.72, 71.86, 69.87, 67.97, 66.97]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[224, 224]
61.75	62.16	62.12	0.0	[85.1, 79.7, 75.5, 72.95, 71.4, 69.3, 68.7, 65.15, 61.75]	[nan, 82.35, 76.65, 72.02, 69.28, 67.2, 64.91, 62.62, 62.16]	[85.1, 81.02, 76.27, 72.25, 69.7, 67.55, 65.45, 62.94, 62.12]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[224, 224]
53.65	56.06	55.79	0.0	[81.15, 73.3, 68.1, 66.15, 64.65, 61.75, 60.9, 56.6, 53.65]	[nan, 76.75, 70.48, 65.8, 63.11, 60.91, 59.12, 56.57, 56.06]	[81.15, 75.02, 69.68, 65.89, 63.42, 61.05, 59.37, 56.57, 55.79]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[224, 224]
67.78	66.58	66.71	0.09	[88.23, 83.83, 79.65, 77.42, 76.05, 74.88, 74.02, 71.87, 67.78]	[nan, 85.88, 79.24, 75.39, 72.38, 70.1, 68.56, 67.1, 66.58]	[88.23, 84.85, 79.37, 75.9, 73.12, 70.89, 69.34, 67.7, 66.71]	[0.33, 0.15, 0.17, 0.15, 0.13, 0.08, 0.15, 0.14, 0.09]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[384, 384]
63.4	63.35	63.35	0.03	[85.78, 80.22, 76.2, 74.07, 71.75, 70.37, 69.13, 66.77, 63.4]	[nan, 83.58, 76.65, 72.95, 70.42, 67.72, 65.53, 64.01, 63.35]	[85.78, 81.9, 76.5, 73.23, 70.68, 68.16, 66.05, 64.35, 63.35]	[0.29, 0.32, 0.41, 0.12, 0.19, 0.19, 0.19, 0.09, 0.03]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[384, 384]
59.6	57.81	58.01	0.13	[80.27, 74.15, 69.55, 67.25, 66.03, 64.27, 63.25, 61.58, 59.6]	[nan, 79.42, 71.2, 67.48, 64.39, 61.61, 60.21, 58.15, 57.81]	[80.27, 76.78, 70.65, 67.42, 64.71, 62.05, 60.64, 58.58, 58.01]	[0.85, 0.04, 0.17, 0.22, 0.44, 0.28, 0.21, 0.19, 0.13]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[384, 384]
66.8	66.02	66.11	0.2	[87.78, 83.02, 79.57, 77.48, 75.53, 74.02, 73.05, 70.5, 66.8]	[nan, 85.6, 78.77, 74.83, 71.64, 69.54, 68.11, 66.69, 66.02]	[87.78, 84.31, 79.03, 75.49, 72.42, 70.29, 68.82, 67.16, 66.11]	[0.56, 0.34, 0.4, 0.33, 0.35, 0.32, 0.26, 0.25, 0.2]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[384, 384]
51.98	51.05	51.15	0.11	[77.72, 70.6, 65.08, 62.47, 59.47, 57.18, 56.5, 53.73, 51.98]	[nan, 70.2, 63.94, 59.42, 56.87, 54.18, 52.85, 51.39, 51.05]	[77.72, 70.4, 64.32, 60.18, 57.39, 54.68, 53.37, 51.68, 51.15]	[0.25, 0.47, 0.54, 0.46, 0.36, 0.27, 0.21, 0.18, 0.11]	sun397_prototype_fscit_different_shots	sun397	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	40	40	397	9	checkpoint/sun397_prototype_fscit_different_shots	[384, 384]
