base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
94.29	56.56	58.33	0.0	[98.43, 96.14, 95.86, 95.29, 95.14, 95.14, 94.43, 94.29, 94.29, 94.29]	[nan, 88.75, 90.05, 87.42, 85.64, 77.97, 76.39, 56.13, 56.06, 56.56]	[98.43, 91.97, 91.61, 88.65, 86.72, 79.62, 78.01, 57.81, 57.86, 58.33]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.64, 90.59, 89.26, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.27, 92.37, 90.44, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[224, 224]
94.71	56.86	58.63	0.0	[98.0, 96.29, 95.57, 95.43, 95.29, 95.29, 94.86, 94.86, 94.86, 94.71]	[nan, 92.05, 91.49, 90.37, 87.97, 80.93, 80.08, 56.47, 56.38, 56.86]	[98.0, 93.94, 92.59, 91.16, 88.8, 82.31, 81.4, 58.27, 58.19, 58.63]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[224, 224]
92.0	54.41	56.17	0.0	[98.0, 94.86, 94.57, 94.0, 93.29, 93.29, 92.0, 92.0, 92.0, 92.0]	[nan, 88.34, 87.66, 87.07, 84.53, 76.97, 76.89, 53.62, 53.65, 54.41]	[98.0, 91.18, 89.49, 88.16, 85.52, 78.55, 78.24, 55.33, 55.47, 56.17]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[384, 384]
94.71	65.26	66.64	0.0	[99.0, 97.43, 96.86, 96.57, 96.57, 96.57, 95.0, 94.71, 94.71, 94.71]	[nan, 90.71, 88.19, 88.71, 87.11, 81.24, 81.11, 66.08, 64.95, 65.26]	[99.0, 93.59, 90.54, 89.94, 88.18, 82.67, 82.35, 67.43, 66.33, 66.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[224, 224]
90.14	58.14	59.63	0.0	[99.0, 93.29, 92.86, 92.86, 92.86, 92.71, 90.29, 90.14, 90.14, 90.14]	[nan, 87.41, 85.59, 86.02, 84.71, 77.68, 76.37, 58.67, 57.75, 58.14]	[99.0, 89.98, 87.58, 87.09, 85.63, 79.13, 77.59, 60.1, 59.25, 59.63]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[384, 384]
95.29	65.24	66.64	0.0	[98.57, 97.57, 97.29, 97.14, 97.0, 97.0, 95.57, 95.43, 95.43, 95.29]	[nan, 88.03, 88.46, 88.34, 87.48, 81.34, 81.19, 65.88, 64.85, 65.24]	[98.57, 92.12, 90.81, 89.71, 88.55, 82.9, 82.48, 67.39, 66.36, 66.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[224, 224]
96.14	64.16	65.66	0.0	[98.86, 97.71, 97.43, 97.29, 97.14, 97.0, 96.43, 96.14, 96.14, 96.14]	[nan, 91.74, 90.21, 89.79, 88.19, 77.92, 78.88, 64.94, 63.96, 64.16]	[98.86, 94.3, 92.13, 90.96, 89.2, 79.76, 80.45, 66.43, 65.51, 65.66]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-224-in21k	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[224, 224]
93.0	57.52	59.19	0.0	[97.86, 95.29, 95.0, 94.43, 94.14, 94.14, 93.14, 93.0, 93.0, 93.0]	[nan, 91.43, 90.32, 90.08, 86.8, 79.52, 79.67, 57.01, 57.1, 57.52]	[97.86, 93.15, 91.56, 90.76, 87.63, 80.99, 80.87, 58.8, 58.87, 59.19]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[384, 384]
93.86	56.49	58.24	0.0	[98.29, 96.29, 95.71, 95.14, 94.86, 94.86, 94.14, 94.0, 94.0, 93.86]	[nan, 90.51, 90.74, 90.53, 88.1, 83.05, 82.19, 56.35, 56.06, 56.49]	[98.29, 93.06, 92.04, 91.24, 88.86, 84.21, 83.26, 58.35, 57.99, 58.24]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_baseline	voc2007	./data	_baseline	64	0	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch32-384	vit-b16	1	10	FSCIT	False	100	15	8	0	1	None	5	0	500	[]	0	1	-1	1.0	False	True	False	False	2	2	20	10	checkpoint/voc2007_baseline	[384, 384]
