base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	incft_layers	epochs_incremental	consistency_loss_factor	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
95.57	62.84	64.38	0.11	[99.66, 97.66, 97.24, 97.05, 96.9, 96.9, 95.67, 95.57, 95.57, 95.57]	[nan, 92.33, 90.65, 89.24, 87.26, 80.12, 79.93, 63.46, 62.43, 62.84]	[99.66, 94.63, 92.4, 90.45, 88.35, 81.76, 81.34, 65.01, 64.04, 64.38]	[0.07, 0.16, 0.05, 0.07, 0.09, 0.09, 0.08, 0.11, 0.11, 0.11]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
95.53	62.9	64.44	0.07	[99.62, 97.76, 97.24, 97.05, 96.9, 96.9, 95.62, 95.53, 95.53, 95.53]	[nan, 92.36, 90.76, 89.34, 87.33, 80.16, 79.93, 63.54, 62.5, 62.9]	[99.62, 94.69, 92.47, 90.53, 88.41, 81.79, 81.33, 65.08, 64.1, 64.44]	[0.13, 0.09, 0.03, 0.03, 0.02, 0.01, 0.05, 0.05, 0.05, 0.07]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
95.71	62.89	64.43	0.06	[99.71, 97.71, 97.29, 97.09, 96.95, 96.95, 95.81, 95.71, 95.71, 95.71]	[nan, 92.57, 90.83, 89.28, 87.25, 80.1, 79.93, 63.49, 62.47, 62.89]	[99.71, 94.79, 92.54, 90.49, 88.34, 81.74, 81.35, 65.04, 64.08, 64.43]	[0.0, 0.18, 0.18, 0.08, 0.06, 0.06, 0.02, 0.08, 0.07, 0.06]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
63.81	60.85	60.99	4.9	[99.66, 66.38, 64.86, 64.76, 64.67, 64.67, 63.91, 63.81, 63.81, 63.81]	[nan, 93.19, 90.87, 88.25, 86.16, 78.09, 77.78, 61.23, 60.57, 60.85]	[99.66, 81.99, 83.8, 84.59, 83.74, 76.71, 76.53, 61.29, 60.7, 60.99]	[0.07, 18.07, 12.49, 8.5, 6.66, 7.28, 6.95, 5.39, 4.83, 4.9]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	1	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
94.24	62.77	64.24	0.54	[99.66, 96.9, 96.38, 96.1, 95.95, 95.95, 94.29, 94.29, 94.29, 94.24]	[nan, 93.64, 91.63, 89.63, 87.58, 80.18, 79.76, 63.33, 62.36, 62.77]	[99.66, 95.08, 92.88, 90.63, 88.53, 81.7, 81.06, 64.82, 63.91, 64.24]	[0.07, 0.28, 0.34, 0.15, 0.12, 0.33, 0.48, 0.64, 0.54, 0.54]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	pet	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
95.67	62.85	64.38	0.12	[99.62, 97.76, 97.29, 97.09, 96.95, 96.95, 95.76, 95.67, 95.67, 95.67]	[nan, 92.4, 90.78, 89.28, 87.26, 80.08, 79.89, 63.45, 62.44, 62.85]	[99.62, 94.71, 92.5, 90.49, 88.36, 81.73, 81.31, 65.0, 64.05, 64.38]	[0.13, 0.21, 0.22, 0.11, 0.13, 0.14, 0.06, 0.17, 0.14, 0.12]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	5	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
63.95	61.77	61.88	3.43	[99.66, 81.14, 77.86, 75.33, 75.19, 75.0, 64.05, 63.95, 63.95, 63.95]	[nan, 93.12, 91.14, 88.93, 86.49, 78.42, 78.29, 62.16, 61.42, 61.77]	[99.66, 88.13, 87.52, 86.8, 85.22, 78.07, 77.01, 62.17, 61.53, 61.88]	[0.07, 8.98, 6.83, 5.13, 4.31, 5.07, 6.09, 3.89, 3.43, 3.43]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
63.81	62.08	62.17	2.98	[99.71, 74.9, 70.43, 67.43, 67.33, 67.29, 63.9, 63.81, 63.81, 63.81]	[nan, 93.12, 91.24, 89.17, 86.9, 78.76, 78.43, 62.6, 61.83, 62.08]	[99.71, 85.53, 85.58, 85.77, 84.69, 77.56, 77.12, 62.62, 61.93, 62.17]	[0.0, 12.66, 9.51, 6.49, 5.0, 5.71, 5.85, 3.19, 2.81, 2.98]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
95.53	62.93	64.45	0.13	[99.62, 97.71, 97.24, 97.05, 96.91, 96.91, 95.62, 95.53, 95.53, 95.53]	[nan, 92.43, 90.73, 89.28, 87.26, 80.11, 79.91, 63.52, 62.5, 62.93]	[99.62, 94.7, 92.45, 90.48, 88.35, 81.75, 81.31, 65.06, 64.1, 64.45]	[0.07, 0.32, 0.18, 0.14, 0.14, 0.15, 0.07, 0.18, 0.15, 0.13]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	10	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
86.53	62.12	63.27	1.71	[99.66, 95.43, 94.53, 93.29, 93.14, 92.9, 86.57, 86.53, 86.53, 86.53]	[nan, 93.43, 91.4, 89.24, 87.1, 79.53, 79.18, 62.58, 61.72, 62.12]	[99.66, 94.32, 92.21, 89.86, 87.78, 80.8, 79.84, 63.72, 62.91, 63.27]	[0.07, 0.53, 0.49, 0.95, 0.86, 1.35, 2.11, 1.95, 1.74, 1.71]	voc2007_cap_incft	voc2007	./data	cap_incft	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	True	classifier+pet	3	1.0	100	15	8	2	3	LoRA	5	3	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	25	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_cap_incft	[224, 224]
