base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
95.72	62.94	64.48	0.05	[99.62, 97.81, 97.38, 97.19, 97.05, 97.05, 95.81, 95.72, 95.72, 95.72]	[nan, 92.4, 90.78, 89.37, 87.39, 80.27, 80.08, 63.6, 62.54, 62.94]	[99.62, 94.72, 92.52, 90.58, 88.48, 81.9, 81.49, 65.15, 64.15, 64.48]	[0.07, 0.11, 0.06, 0.03, 0.04, 0.01, 0.1, 0.02, 0.04, 0.05]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
73.38	60.52	61.12	2.87	[99.76, 95.19, 94.95, 94.47, 94.29, 93.95, 73.52, 73.48, 73.48, 73.38]	[nan, 93.7, 90.03, 88.71, 86.6, 79.22, 78.26, 60.74, 60.01, 60.52]	[99.76, 94.41, 91.35, 89.6, 87.47, 80.64, 77.83, 61.32, 60.66, 61.12]	[0.07, 0.71, 1.7, 1.05, 1.11, 1.02, 3.88, 3.3, 2.98, 2.87]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
0.0	23.79	22.68	8.8	[99.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[nan, 86.62, 59.68, 56.03, 53.9, 47.97, 42.94, 25.2, 24.37, 23.79]	[99.14, 50.35, 43.49, 47.29, 47.81, 43.16, 39.08, 23.89, 23.2, 22.68]	[0.35, 6.57, 10.01, 14.78, 15.79, 12.53, 13.55, 8.89, 8.75, 8.8]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	1.0	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
85.05	61.77	62.86	2.02	[99.66, 94.38, 93.29, 92.0, 91.86, 91.71, 85.29, 85.19, 85.19, 85.05]	[nan, 93.16, 91.19, 89.08, 86.94, 79.25, 78.85, 62.18, 61.36, 61.77]	[99.66, 93.73, 91.71, 89.53, 87.5, 80.44, 79.42, 63.27, 62.5, 62.86]	[0.07, 1.15, 0.91, 1.2, 1.03, 1.65, 2.59, 2.26, 2.02, 2.02]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
95.57	62.83	64.36	0.15	[99.71, 97.47, 97.15, 96.95, 96.81, 96.81, 95.67, 95.57, 95.57, 95.57]	[nan, 92.29, 90.74, 89.23, 87.22, 80.02, 79.88, 63.41, 62.41, 62.83]	[99.71, 94.53, 92.44, 90.42, 88.31, 81.65, 81.29, 64.96, 64.02, 64.36]	[0.0, 0.51, 0.42, 0.19, 0.22, 0.1, 0.04, 0.2, 0.19, 0.15]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
95.34	62.91	64.43	0.11	[99.71, 97.38, 97.05, 96.76, 96.62, 96.62, 95.38, 95.34, 95.34, 95.34]	[nan, 93.09, 91.24, 89.47, 87.38, 80.15, 79.92, 63.52, 62.51, 62.91]	[99.71, 94.97, 92.78, 90.59, 88.42, 81.75, 81.3, 65.06, 64.1, 64.43]	[0.0, 0.34, 0.29, 0.16, 0.14, 0.13, 0.03, 0.12, 0.13, 0.11]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.01	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
95.86	62.76	64.31	0.19	[99.57, 97.71, 97.38, 97.15, 97.0, 97.0, 95.95, 95.86, 95.86, 95.86]	[nan, 91.61, 90.13, 88.86, 87.0, 79.96, 79.92, 63.42, 62.34, 62.76]	[99.57, 94.24, 92.08, 90.14, 88.13, 81.62, 81.36, 64.99, 63.96, 64.31]	[0.11, 0.46, 0.36, 0.29, 0.21, 0.21, 0.19, 0.29, 0.22, 0.19]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	11	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
95.53	62.87	64.4	0.05	[99.62, 97.76, 97.24, 97.05, 96.91, 96.91, 95.62, 95.53, 95.53, 95.53]	[nan, 92.33, 90.69, 89.23, 87.22, 80.04, 79.84, 63.46, 62.45, 62.87]	[99.62, 94.67, 92.42, 90.44, 88.32, 81.69, 81.25, 65.01, 64.05, 64.4]	[0.07, 0.09, 0.04, 0.1, 0.12, 0.09, 0.02, 0.08, 0.07, 0.05]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	1.0	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
16.76	59.35	57.36	3.55	[99.66, 50.1, 42.53, 38.62, 38.29, 38.19, 17.19, 17.19, 17.19, 16.76]	[nan, 94.32, 91.35, 88.78, 85.91, 76.88, 76.15, 59.39, 59.11, 59.35]	[99.66, 75.76, 78.1, 80.96, 80.53, 72.96, 70.85, 57.2, 57.05, 57.36]	[0.07, 8.17, 6.41, 4.48, 3.28, 3.2, 2.95, 3.97, 3.64, 3.55]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.1	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	6	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	0	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
95.53	62.96	64.49	0.11	[99.48, 97.95, 97.48, 97.24, 97.09, 97.09, 95.62, 95.53, 95.53, 95.53]	[nan, 92.43, 90.67, 89.28, 87.34, 80.15, 79.94, 63.63, 62.59, 62.96]	[99.48, 94.81, 92.47, 90.51, 88.44, 81.8, 81.34, 65.17, 64.18, 64.49]	[0.17, 0.22, 0.18, 0.08, 0.07, 0.08, 0.05, 0.11, 0.11, 0.11]	voc2007_contrast_and_calibration	voc2007	./data	contrast_and_calibration	64	50	0.5	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	1.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	LoRA	5	0	-1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	10	0.1	-1	1.0	False	False	True	False	2	2	20	10	checkpoint/voc2007_contrast_and_calibration	[224, 224]
