base_last	incremental_last	all_last	all_std_last	base	incremental	all	all_std	exp_name	dataset	dataroot	result_key	batch_size_base	epochs_base	lr_base	schedule	milestones	step	decay	momentum	ce_loss_factor	moco_dim	moco_k	moco_m	moco_t	moco_loss_factor	num_views	hf_model_checkpoint	encoder	num_mlp	shot	fsl_setup	incft	test_batch_size	eval_freq	num_workers	seed	num_seeds	pet_cls	rank	pet_tuning_start_epoch	encoder_ft_start_layer	adapt_blocks	encoder_ft_start_epoch	encoder_lr_factor	limited_base_class	limited_base_samples	pet_on_teacher	update_base_classifier_with_prototypes	start_training_with_prototypes	add_bias_in_classifier	base_class	way	num_classes	sessions	save_path	size_crops
95.43	61.03	62.64	0.0	[98.86, 97.71, 97.43, 96.86, 96.57, 96.57, 95.43, 95.43, 95.43, 95.43]	[nan, 91.02, 90.32, 89.29, 87.17, 80.14, 79.48, 61.78, 60.55, 61.03]	[98.86, 93.89, 92.22, 90.47, 88.23, 81.69, 80.91, 63.42, 62.25, 62.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[224, 224]
87.29	45.79	47.75	0.0	[99.14, 89.86, 89.86, 89.14, 88.86, 88.86, 87.57, 87.43, 87.29, 87.29]	[nan, 88.54, 80.8, 50.8, 58.37, 57.54, 59.95, 47.81, 44.5, 45.79]	[99.14, 89.16, 83.18, 56.75, 61.81, 60.8, 62.44, 49.85, 46.68, 47.75]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[224, 224]
95.0	63.23	64.72	0.0	[98.86, 97.71, 97.29, 96.86, 96.71, 96.71, 95.0, 95.0, 95.0, 95.0]	[nan, 91.64, 90.59, 89.26, 87.4, 80.18, 79.94, 63.89, 62.84, 63.23]	[98.86, 94.27, 92.37, 90.44, 88.46, 81.79, 81.28, 65.39, 64.4, 64.72]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[224, 224]
84.05	47.2	48.93	0.36	[98.14, 91.28, 90.38, 88.86, 87.19, 87.14, 84.33, 84.1, 84.1, 84.05]	[nan, 91.91, 90.16, 69.88, 69.67, 67.17, 64.57, 48.63, 46.16, 47.2]	[98.14, 91.78, 90.22, 72.82, 71.64, 69.26, 66.35, 50.37, 48.07, 48.93]	[0.12, 1.01, 0.83, 1.44, 0.91, 0.41, 0.76, 0.65, 0.43, 0.36]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[384, 384]
79.57	43.04	44.76	0.74	[98.52, 88.71, 86.9, 85.0, 84.57, 83.95, 80.43, 79.95, 79.81, 79.57]	[nan, 90.3, 86.81, 64.79, 66.5, 64.35, 62.76, 43.44, 41.69, 43.04]	[98.52, 89.77, 86.82, 67.92, 68.53, 66.4, 64.34, 45.13, 43.57, 44.76]	[0.07, 0.94, 1.92, 3.67, 2.88, 2.77, 1.62, 0.5, 0.73, 0.74]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	1	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[384, 384]
93.19	59.0	60.61	0.7	[98.57, 95.66, 95.29, 94.71, 94.43, 94.43, 93.33, 93.19, 93.19, 93.19]	[nan, 91.26, 90.41, 89.89, 86.58, 79.63, 79.92, 59.07, 58.79, 59.0]	[98.57, 93.21, 91.73, 90.64, 87.47, 81.07, 81.12, 60.83, 60.51, 60.61]	[0.2, 0.4, 0.49, 0.49, 0.43, 1.01, 0.83, 0.91, 0.81, 0.7]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	10	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[384, 384]
93.52	56.12	57.88	0.06	[98.62, 96.05, 95.43, 94.9, 94.47, 94.47, 93.62, 93.52, 93.52, 93.52]	[nan, 91.92, 89.91, 89.36, 86.07, 78.76, 79.02, 55.98, 55.91, 56.12]	[98.62, 93.74, 91.42, 90.23, 87.02, 80.26, 80.33, 57.75, 57.73, 57.88]	[0.13, 0.24, 0.45, 0.77, 0.27, 0.38, 0.27, 0.08, 0.03, 0.06]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	8	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[384, 384]
93.43	59.15	60.75	0.0	[98.43, 96.57, 96.14, 95.86, 94.86, 94.86, 93.57, 93.43, 93.43, 93.43]	[nan, 92.78, 91.28, 82.59, 80.92, 76.72, 73.71, 61.52, 58.47, 59.15]	[98.43, 94.42, 92.52, 84.64, 82.5, 78.48, 75.48, 63.07, 60.14, 60.75]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[224, 224]
94.57	63.17	64.64	0.0	[99.0, 97.71, 97.14, 96.57, 96.43, 96.29, 94.57, 94.57, 94.57, 94.57]	[nan, 92.36, 91.76, 90.79, 88.44, 82.68, 82.52, 64.45, 62.95, 63.17]	[99.0, 94.68, 93.17, 91.7, 89.35, 84.07, 83.6, 65.89, 64.48, 64.64]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[224, 224]
91.57	51.24	53.13	0.0	[99.0, 94.0, 94.0, 93.57, 92.86, 92.71, 91.71, 91.57, 91.57, 91.57]	[nan, 91.85, 88.09, 59.46, 63.92, 63.88, 63.92, 53.72, 50.11, 51.24]	[99.0, 92.83, 89.68, 64.76, 67.19, 66.78, 66.41, 55.51, 52.14, 53.13]	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-base-patch16-224-in21k	vit-b16	0	2	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[224, 224]
91.0	50.67	52.56	0.76	[98.57, 93.91, 93.52, 92.95, 92.57, 92.57, 91.1, 91.0, 91.0, 91.0]	[nan, 92.4, 90.64, 79.8, 76.0, 70.25, 68.43, 51.47, 49.86, 50.67]	[98.57, 93.13, 91.41, 81.85, 77.87, 72.41, 70.45, 53.29, 51.83, 52.56]	[0.2, 0.04, 0.28, 1.98, 1.69, 0.82, 1.21, 0.39, 0.77, 0.76]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	4	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[384, 384]
92.76	58.93	60.52	0.72	[98.62, 96.24, 95.57, 94.62, 94.29, 94.29, 93.0, 92.81, 92.81, 92.76]	[nan, 93.53, 93.33, 92.97, 89.39, 84.16, 84.7, 60.02, 59.33, 58.93]	[98.62, 94.76, 93.89, 93.23, 89.95, 85.11, 85.44, 61.63, 60.97, 60.52]	[0.44, 0.32, 0.13, 0.08, 0.21, 0.09, 0.2, 0.53, 0.56, 0.72]	voc2007_prototype_fscit_different_shots	voc2007	./data	prototype_fscit_different_shots	64	0	0.001	Cosine	[60, 70]	40	0.0005	0.9	1.0	128	65536	0.999	0.07	0.0	2	google/vit-large-patch16-384	vit-b16	0	16	FSCIT	False	100	15	8	2	3	None	5	0	500	[]	0	1	-1	1.0	False	True	True	False	2	2	20	10	checkpoint/voc2007_prototype_fscit_different_shots	[384, 384]
